Date,Open,High,Low,Close,Volume
2025-01-29,102.0,103.4,101.75,102.4,15570258012
2025-01-30,102.8,103.3,102.25,102.9,23407997207
2025-01-31,103.15,103.75,102.0,102.65,17954048444
2025-02-03,102.95,103.5,102.0,102.25,10859811872
2025-02-04,103.0,103.0,102.1,102.25,15526994793
2025-02-05,102.2,102.85,100.0,102.0,16770357252
2025-02-06,101.7,103.75,101.4,102.15,11972740686
2025-02-07,101.3,102.8,101.3,102.15,2548252888
2025-02-10,101.7,102.6,101.5,101.95,2257022037
2025-02-11,102.4,102.4,100.85,101.2,6966143054
2025-02-12,101.5,101.5,100.5,100.95,2783214368
2025-02-13,100.0,102.5,100.0,101.6,4570375927
2025-02-14,102.7,102.7,101.25,102.35,6270349446
2025-02-17,102.3,102.75,100.95,102.0,5574116377
2025-02-18,103.35,103.35,102.15,102.75,6056010043
2025-02-19,103.5,103.5,102.5,102.55,4570487075
2025-02-20,102.7,102.95,102.15,102.65,6757792297
2025-02-21,103.0,103.0,102.1,102.6,5127264272
2025-02-24,102.95,103.0,102.2,102.4,7210790113
2025-02-25,102.7,102.7,102.2,102.5,6764665242
2025-02-26,102.8,102.8,101.75,102.15,3217699626
2025-02-27,102.5,102.5,100.65,100.7,11342081141
2025-02-28,100.7,101.25,100.1,100.45,5529241132
2025-03-05,100.4,101.85,99.5,99.9,3254928319
2025-03-06,100.85,100.85,97.2,97.6,18718141558
2025-03-07,99.19,99.24,97.51,98.5,5875775876
2025-03-10,100.2,100.25,97.0,97.01,2291664761
2025-03-11,100.0,100.0,96.35,97.8,10052604563
2025-03-12,98.1,99.94,98.01,98.9,11212513125
2025-03-13,99.1,100.0,97.11,98.0,1832856754
2025-03-14,98.99,99.25,97.55,98.67,5670361038
2025-03-17,98.89,99.5,96.25,97.0,4964657302
2025-03-18,97.9,97.9,91.05,92.5,12921211200
2025-03-19,92.8,97.4,89.75,96.9,42959901327
2025-03-20,97.0,98.79,95.13,95.55,16632215359
2025-03-21,96.0,97.5,93.49,95.0,20788685004
2025-03-25,95.0,95.99,94.1,94.8,429737608
2025-03-26,95.9,98.75,94.75,95.34,19800977765
2025-03-27,94.15,98.8,94.0,95.16,8552621917
2025-03-28,96.0,96.01,94.1,94.79,4253789722
2025-03-31,95.5,95.5,93.53,94.05,15363580961
2025-04-01,94.05,95.8,94.05,94.8,9643466239
2025-04-03,94.9,95.7,93.53,94.5,1247286979
2025-04-04,94.32,95.0,91.21,92.15,4543519403
2025-04-07,92.15,93.35,87.91,88.3,6277911459
2025-04-08,88.41,90.5,81.2,88.1,34981827780
2025-04-09,88.1,92.3,86.01,88.55,15872394139
2025-04-10,90.8,92.0,89.11,90.0,8494909130
2025-04-11,91.0,95.0,90.11,94.0,7793916930
2025-04-14,103.0,105.0,87.0,95.75,11563512096
2025-04-15,95.5,99.0,93.1,97.95,8948422030
2025-04-16,102.5,102.6,99.01,99.6,23878010536
2025-04-21,100.0,105.0,99.45,101.15,22085007429
2025-04-22,101.2,102.5,100.1,101.35,26436411
2025-04-23,102.95,102.95,100.4,100.65,4113442233
2025-04-24,102.7,102.7,100.1,101.15,4240134726
2025-04-25,101.95,102.25,101.0,101.55,2095569685
2025-04-28,102.15,102.15,100.8,101.5,1959704046
2025-04-29,102.15,102.2,100.8,101.1,4245410212
2025-04-30,102.9,102.9,100.55,101.0,5283506205
2025-05-05,101.0,101.9,100.15,100.4,3279904077
2025-05-06,100.45,101.15,99.74,100.8,5779975631
2025-05-07,102.0,103.0,100.85,102.7,18678732260
2025-05-08,103.35,104.6,101.8,103.9,8977078645
2025-05-09,105.0,105.05,103.95,104.7,11777974004
2025-05-12,106.8,106.8,104.7,105.7,17711546174
2025-05-13,105.1,106.5,105.1,105.9,15495810175
2025-05-14,107.0,107.0,105.2,105.9,16208877924
2025-05-15,105.75,106.55,105.5,105.9,13819938632
2025-05-16,106.9,106.9,105.8,106.15,6589134663
2025-05-19,107.1,107.95,106.1,106.85,12075220617
2025-05-20,107.65,107.65,106.9,107.1,7728976340
2025-05-21,107.55,108.0,106.0,106.45,5886222262
2025-05-22,107.0,107.0,105.65,106.0,12448607346
2025-05-23,106.0,106.35,103.5,105.25,8903949774
2025-05-26,105.3,106.25,103.6,105.9,5906014841
2025-05-27,106.0,106.5,103.7,106.45,14048035228
2025-05-28,106.45,108.5,106.45,107.9,16526520904
2025-05-29,108.75,109.0,107.1,108.15,9268496950
2025-05-30,108.85,109.95,108.35,109.0,15095525426
2025-06-02,110.0,110.0,108.0,109.3,12892128281
2025-06-03,109.3,109.9,108.05,109.45,15195326248
2025-06-04,109.4,110.9,108.7,109.55,15069357363
2025-06-05,109.55,110.3,108.05,108.8,25242208225
2025-06-06,108.3,109.25,107.65,109.0,23253213547
2025-06-09,109.9,110.4,108.9,110.3,23597079444
2025-06-10,111.95,111.95,110.2,110.65,21020694466
2025-06-11,111.7,111.7,109.8,110.2,9585209049
2025-06-12,110.75,111.4,110.15,111.0,19922661115
2025-06-13,111.0,112.5,110.7,111.85,14844796578
2025-06-17,112.0,112.0,110.45,111.1,7271507464
2025-06-18,111.0,111.7,110.1,110.7,7077720556
2025-06-19,111.85,111.85,110.55,110.85,5979569636
2025-06-23,111.0,111.65,108.65,109.15,8708572082
2025-06-24,110.5,110.5,109.0,109.2,13212370359
2025-06-25,109.2,109.7,108.5,108.9,4412474604
2025-06-26,108.8,109.3,106.9,107.7,35333110015
2025-06-27,108.2,109.0,107.35,108.45,17033242859
2025-06-30,109.7,109.7,106.05,107.4,12046357916
2025-07-01,108.3,108.3,105.55,106.45,15101306500
2025-07-02,106.5,108.95,106.0,107.85,12991371428
2025-07-03,107.95,109.0,107.7,108.0,13328287369
2025-07-04,109.45,109.5,107.9,108.85,14863498722
2025-07-07,109.9,109.9,108.2,108.95,3411499310
2025-07-08,109.0,109.9,109.0,109.6,4308266188
2025-07-10,109.6,110.95,109.4,109.55,4829466821
2025-07-11,110.75,110.75,108.85,109.2,9605451451
2025-07-14,109.7,109.7,108.6,108.9,13952864641
2025-07-15,108.5,109.25,105.5,107.75,18429304448
2025-07-16,108.3,108.35,107.1,107.85,3576762728
2025-07-17,108.75,108.75,106.85,107.15,10799908894
2025-07-18,108.3,109.0,106.15,106.25,11069742478
2025-07-21,107.75,107.75,103.55,105.0,6855825228
2025-07-22,105.1,106.2,103.0,104.1,6110268032
2025-07-23,104.1,107.5,103.6,105.8,7901150819
2025-07-24,104.8,108.2,104.8,107.2,6056842319
2025-07-25,107.2,108.3,106.05,106.2,1889395281
2025-07-28,106.5,107.15,103.75,105.2,3547633394
2025-07-29,104.9,105.95,103.3,104.5,9733857071
2025-07-30,104.35,105.9,103.75,104.9,17735514154
2025-07-31,104.15,107.5,103.85,107.4,14071375998
2025-08-01,107.55,109.0,106.6,108.25,6620228927
2025-08-04,107.45,109.5,107.4,108.55,9351800956
2025-08-05,108.25,109.65,108.0,109.0,5098059034
2025-08-06,109.55,110.4,109.05,109.8,27029558878
2025-08-07,110.65,110.65,109.2,109.3,8491252560
2025-08-08,110.15,110.15,108.65,109.65,4766870155
2025-08-11,110.4,110.4,108.9,109.7,9455037016
2025-08-12,110.05,110.1,108.6,109.1,6212508583
2025-08-13,109.8,110.2,108.0,108.7,4095536924
2025-08-14,109.35,109.4,106.65,107.6,6781489112
2025-08-18,108.8,108.8,106.75,107.25,3611539976
2025-08-19,107.3,110.7,106.6,106.3,3018366038
2025-08-20,108.0,109.25,104.1,106.4,4086179378
2025-08-21,107.1,107.2,105.4,106.35,4224636323
2025-08-22,107.0,107.6,105.4,107.15,1008741663
2025-08-25,107.15,108.15,104.5,105.0,1942527292
2025-08-26,104.0,106.7,103.5,105.0,14065125662
2025-08-27,106.5,107.1,104.3,105.9,4711553914
2025-08-28,106.1,108.6,105.5,107.6,7428961103
2025-08-29,108.7,109.4,106.85,107.45,4647638897
2025-09-01,107.5,109.0,106.45,107.15,5230434285
2025-09-02,107.15,107.5,105.05,105.55,5387578926
2025-09-03,106.15,106.3,105.2,105.2,3566678532
2025-09-04,105.1,107.5,105.0,107.05,12324850086
2025-09-05,108.1,109.0,107.1,108.4,3659600230
