Date,Open,High,Low,Close,Volume
2025-01-29,102.25,102.25,101.55,101.9,16715083876
2025-01-30,102.25,102.5,101.6,102.5,20658161845
2025-01-31,103.45,103.45,102.0,102.4,3950654488
2025-02-03,102.9,102.9,101.75,102.2,2681210694
2025-02-04,101.5,102.5,101.5,102.15,10741585653
2025-02-05,101.5,103.0,101.5,102.1,5654860130
2025-02-06,103.0,103.0,102.0,102.2,12826141531
2025-02-07,102.55,102.6,101.9,102.15,6257368864
2025-02-10,103.0,103.0,101.75,101.75,9439336049
2025-02-11,102.5,102.5,100.0,101.3,5902258852
2025-02-12,102.15,102.15,100.9,101.0,5916585671
2025-02-13,101.0,102.5,101.0,101.8,14763394083
2025-02-14,102.8,103.5,102.05,102.8,13365938011
2025-02-17,103.0,103.8,100.5,102.5,10374265381
2025-02-18,102.5,104.15,100.0,103.25,23300816386
2025-02-19,103.85,104.5,102.9,103.05,16599557878
2025-02-20,103.2,103.4,102.65,103.05,11269591231
2025-02-21,103.55,103.55,102.9,103.0,23238109546
2025-02-24,103.4,103.7,102.95,103.1,18304441079
2025-02-25,103.45,103.6,103.15,103.35,13677901424
2025-02-26,103.55,103.55,102.2,103.25,6970716536
2025-02-27,103.4,103.55,102.05,102.3,17757996321
2025-02-28,102.9,102.9,101.8,102.3,9019705044
2025-03-05,102.9,102.9,101.3,101.5,702716087
2025-03-06,102.0,102.0,99.75,100.4,11647733727
2025-03-07,101.25,101.9,99.99,101.2,5295927631
2025-03-10,104.0,104.0,100.1,100.8,7950410781
2025-03-11,102.1,102.1,99.3,101.2,7857676489
2025-03-12,102.2,102.35,100.8,101.65,14867830842
2025-03-13,102.5,102.8,100.7,101.5,2135025780
2025-03-14,102.8,102.8,97.15,102.0,11158265363
2025-03-17,102.45,103.4,100.7,100.85,3546212312
2025-03-18,100.9,102.1,96.03,97.25,16230425032
2025-03-19,98.97,100.5,96.5,100.5,11136117234
2025-03-20,102.0,102.0,99.31,99.9,4241902934
2025-03-21,100.4,100.5,98.0,99.1,8481258126
2025-03-25,100.0,100.0,98.0,98.35,1972152394
2025-03-26,99.89,100.0,98.35,99.59,8077157038
2025-03-27,101.75,101.75,99.5,100.0,11618689184
2025-03-28,100.0,101.5,100.0,100.4,3411542621
2025-03-31,100.95,101.4,98.5,100.45,4624187177
2025-04-01,100.5,102.45,100.0,101.05,6046204664
2025-04-03,102.7,102.7,100.0,100.65,2761197367
2025-04-04,101.0,102.0,98.5,98.8,3520448761
2025-04-07,98.0,98.79,95.03,96.99,5567383167
2025-04-08,98.8,98.81,94.05,97.3,22198000152
2025-04-09,97.0,99.4,94.5,99.0,12566741659
2025-04-10,100.0,102.5,91.3,99.0,15539279414
2025-04-11,99.9,104.9,99.1,101.0,7135410106
2025-04-14,104.0,113.0,101.0,102.0,5839306439
2025-04-15,100.0,104.0,100.0,102.7,9841125848
2025-04-16,104.9,107.0,102.6,104.9,14215349795
2025-04-21,106.8,112.0,104.1,105.0,5927717124
2025-04-22,105.0,105.95,102.5,103.6,14580000
2025-04-23,103.8,104.45,102.1,103.3,5323677344
2025-04-24,103.0,104.3,103.0,103.9,5059470499
2025-04-25,105.0,105.0,103.1,104.4,4727936766
2025-04-28,104.9,105.0,104.4,104.9,5350512305
2025-04-29,104.9,106.5,104.1,105.0,6335590085
2025-04-30,108.0,108.0,105.35,105.65,3036132472
2025-05-05,105.45,106.9,104.5,105.65,1878637117
2025-05-06,105.5,106.2,104.6,105.5,2428047157
2025-05-07,106.0,106.65,104.8,106.0,6132328634
2025-05-08,106.9,109.45,106.1,107.0,11116566963
2025-05-09,108.0,109.95,106.9,108.8,23705327761
2025-05-12,109.0,110.0,108.8,109.2,10721835266
2025-05-13,110.0,111.0,108.55,109.2,10717522754
2025-05-14,109.3,109.5,108.25,109.45,11919902405
2025-05-15,109.4,110.7,108.65,109.0,5420896955
2025-05-16,108.1,109.5,108.1,109.0,6662367616
2025-05-19,109.95,109.95,108.35,109.85,12660857066
2025-05-20,110.4,110.45,109.4,109.95,11086586029
2025-05-21,109.1,110.65,108.6,109.25,6321461210
2025-05-22,109.2,111.35,109.0,109.2,4339695510
2025-05-23,109.25,110.45,108.8,109.6,3028560819
2025-05-26,109.6,111.2,106.5,109.5,5100613707
2025-05-27,108.6,110.3,108.15,109.75,7116697247
2025-05-28,110.2,110.7,108.6,110.15,11408973115
2025-05-29,110.15,111.35,108.0,110.55,8667232426
2025-05-30,111.0,111.9,109.5,111.1,8002163458
2025-06-02,111.6,112.1,110.05,111.15,6152726571
2025-06-03,111.65,111.7,110.15,111.1,7377131072
2025-06-04,111.75,111.75,110.6,111.0,10277509558
2025-06-05,110.9,111.3,109.6,110.85,10330759927
2025-06-06,110.3,111.3,109.9,111.1,5746820407
2025-06-09,111.1,111.65,110.15,111.25,9903376790
2025-06-10,111.5,112.15,110.75,111.0,6671543157
