Date,Open,High,Low,Close,Volume
2025-01-29,102.0,102.85,101.6,102.1,14550299449
2025-01-30,102.5,102.85,101.75,102.5,11057470495
2025-01-31,103.45,103.45,101.8,102.3,3205131109
2025-02-03,102.9,102.9,101.65,102.05,2435628976
2025-02-04,102.7,102.7,101.6,102.0,8804532965
2025-02-05,102.95,102.95,100.0,101.9,12182689585
2025-02-06,102.5,102.5,101.6,101.8,13782141497
2025-02-07,102.0,102.4,101.05,101.85,8190372812
2025-02-10,101.85,102.25,101.4,101.65,7758790038
2025-02-11,101.65,101.95,100.5,100.7,7682134554
2025-02-12,100.3,101.25,100.3,100.9,8997132907
2025-02-13,101.9,102.45,100.1,101.5,13110715232
2025-02-14,102.9,102.9,100.65,102.25,1728414530
2025-02-17,102.5,102.8,100.6,101.9,2032351060
2025-02-18,102.7,102.8,101.5,102.55,10534536607
2025-02-19,103.25,103.25,102.35,102.5,3238487966
2025-02-20,102.8,102.8,102.0,102.35,10259066420
2025-02-21,102.8,102.8,102.0,102.25,2607015239
2025-02-24,102.6,102.6,101.9,102.15,3190138913
2025-02-25,102.4,102.45,101.3,102.2,4874365829
2025-02-26,102.5,102.5,101.75,102.1,4730762025
2025-02-27,102.45,102.45,100.5,100.65,7067420731
2025-02-28,100.6,101.5,100.0,100.5,8180876586
2025-03-05,100.55,102.15,99.6,100.1,899258734
2025-03-06,100.0,100.85,97.01,97.7,27148466105
2025-03-07,99.5,99.5,97.5,98.51,13567104631
2025-03-10,99.05,100.2,97.75,98.2,5386039358
2025-03-11,98.2,99.7,97.21,98.7,7527704480
2025-03-12,99.8,100.5,98.71,99.49,13633916946
2025-03-13,100.55,100.55,98.11,99.45,2976411027
2025-03-14,98.75,100.35,98.75,99.9,2939143550
2025-03-17,98.02,100.0,97.75,97.55,12897184530
2025-03-18,97.15,97.15,92.0,94.15,10176615698
2025-03-19,94.15,96.9,92.1,96.9,15223347921
2025-03-20,98.25,99.9,95.7,96.25,9034563951
2025-03-21,96.0,97.75,92.8,95.25,29056993991
2025-03-25,95.74,95.75,93.6,94.9,666891019
2025-03-26,95.0,96.9,94.5,95.5,12395605531
2025-03-27,95.0,97.0,95.0,96.45,3709693307
2025-03-28,98.4,98.4,94.25,96.35,5763951105
2025-03-31,94.2,97.49,94.15,96.25,7803487525
2025-04-01,96.25,98.5,96.0,96.35,2448572092
2025-04-03,96.0,96.49,94.0,95.8,1843234414
2025-04-04,96.1,96.1,93.0,93.65,4386487362
2025-04-07,94.24,94.24,88.26,89.25,6838199906
2025-04-08,91.99,92.0,85.8,89.15,17755545266
2025-04-09,92.99,93.0,88.51,92.4,26342298144
2025-04-10,95.0,95.0,89.0,92.3,1191512853
2025-04-11,94.99,98.0,90.1,96.5,4733894553
2025-04-14,104.9,104.95,96.1,97.55,1488900211
2025-04-15,99.5,102.4,96.41,98.45,7360481124
2025-04-16,101.05,102.75,99.0,101.75,12927037942
2025-04-21,102.5,103.2,98.5,100.75,5950263803
2025-04-22,103.0,103.2,100.25,101.5,100
2025-04-23,102.95,103.0,100.3,100.6,2055677284
2025-04-24,100.5,101.95,100.1,101.5,2100303824
2025-04-25,101.0,103.7,101.0,101.9,4046515248
2025-04-28,102.3,102.3,101.0,101.75,2429444721
2025-04-29,101.8,102.2,100.55,101.6,2770232732
2025-04-30,101.95,102.9,101.5,101.95,1152527111
2025-05-05,102.8,102.8,100.25,101.6,1206720025
2025-05-06,102.4,102.4,101.0,101.8,1232329130
2025-05-07,102.8,104.0,101.25,102.4,4643208078
2025-05-08,104.6,104.6,102.3,104.35,9764087269
2025-05-09,103.5,107.3,103.5,106.0,6953195430
2025-05-12,107.5,107.5,106.0,106.25,3757754662
2025-05-13,106.1,107.9,105.5,106.4,9573759782
2025-05-14,105.6,108.5,105.0,106.7,13443228669
2025-05-15,106.5,108.4,106.3,106.7,4207657298
2025-05-16,107.95,107.95,105.0,107.0,2715293126
2025-05-19,107.95,107.95,105.7,107.2,11589542626
2025-05-20,107.9,107.9,107.0,107.0,2555334712
2025-05-21,108.0,108.0,106.0,106.4,6547918898
2025-05-22,107.0,107.0,105.6,105.75,6436854525
2025-05-23,106.15,106.75,105.25,105.65,10502761871
2025-05-26,106.3,106.8,102.5,106.0,7059265638
2025-05-27,106.8,107.0,104.1,106.85,12953409092
2025-05-28,106.9,108.95,106.8,108.05,19086317906
2025-05-29,108.0,108.85,105.8,107.9,2692677581
2025-05-30,108.8,110.15,107.4,108.8,8215396039
2025-06-02,109.0,110.45,108.0,109.25,6519031877
2025-06-03,109.2,109.85,108.7,109.5,12829696223
2025-06-04,110.0,110.1,108.8,109.4,19365512835
2025-06-05,109.3,110.0,107.55,108.8,12793110137
2025-06-06,108.8,109.25,107.8,109.1,3520668974
2025-06-09,108.3,110.35,107.8,110.2,22347563702
2025-06-10,112.45,112.45,109.7,110.5,10086945716
2025-06-11,110.15,111.0,109.75,110.15,5481518374
2025-06-12,110.2,112.0,109.8,111.0,8864742192
2025-06-13,112.9,112.9,110.3,111.85,9946022325
2025-06-17,111.9,112.5,111.05,111.3,10987793158
2025-06-18,112.65,112.7,109.65,111.25,12684586736
2025-06-19,112.0,112.0,111.0,111.5,4033768194
2025-06-23,111.25,112.35,109.0,109.85,998818054
2025-06-24,111.0,111.0,109.25,110.15,2587468320
2025-06-25,112.05,112.05,108.5,109.1,1918884457
2025-06-26,108.95,109.5,106.6,107.85,6618934840
2025-06-27,107.3,109.25,106.5,108.4,8235984764
2025-06-30,107.5,108.75,106.0,107.7,7234775090
2025-07-01,107.15,108.4,104.5,106.65,13367264696
2025-07-02,106.2,108.15,106.1,107.95,23553720462
2025-07-03,108.9,109.4,107.6,108.2,12446078167
2025-07-04,108.9,109.7,108.1,109.0,10264725669
2025-07-07,109.0,110.05,108.85,109.05,3905285523
2025-07-08,110.0,110.1,108.9,109.8,9190005818
2025-07-10,109.1,110.95,109.1,109.75,4383032782
2025-07-11,111.65,111.65,108.65,109.25,18422476887
2025-07-14,110.15,110.3,108.0,108.75,10461068606
2025-07-15,109.0,109.1,106.0,108.05,14239793648
2025-07-16,107.35,108.85,107.35,108.0,4189835397
2025-07-17,108.6,108.7,107.25,107.35,5100987043
2025-07-18,107.8,112.4,106.55,106.75,12693254432
2025-07-21,108.5,108.5,105.15,105.85,2775465733
2025-07-22,105.1,106.7,103.5,105.15,4602359115
2025-07-23,105.5,108.5,104.3,106.6,4157813397
2025-07-24,107.0,108.95,106.4,108.1,13106873979
2025-07-25,109.15,109.15,107.35,107.9,7555269678
2025-07-28,108.6,108.65,105.5,106.65,538796234
2025-07-29,105.95,107.2,104.9,105.85,8111130771
2025-07-30,106.5,106.5,105.1,105.4,13555994570
2025-07-31,106.2,108.4,103.35,107.7,10502661613
2025-08-01,106.45,109.5,106.45,109.1,7884294136
2025-08-04,110.0,110.65,109.15,110.3,13830947665
2025-08-05,109.65,111.9,109.65,110.5,3696166671
2025-08-06,110.8,114.75,110.65,111.0,27695991865
2025-08-07,111.5,112.5,109.8,110.8,5616907829
2025-08-08,111.6,111.8,109.55,110.5,2035467482
2025-08-11,111.5,111.7,109.75,110.35,6078142308
2025-08-12,109.7,111.45,109.65,110.0,8564937749
2025-08-13,109.05,111.1,108.75,109.7,3737361543
2025-08-14,110.75,111.0,106.7,108.1,9842967771
2025-08-18,108.1,108.75,107.1,107.25,10008889334
2025-08-19,107.95,110.0,107.25,107.25,1163724976
2025-08-20,109.8,109.8,107.15,107.25,1169107524
2025-08-21,107.3,108.55,106.55,107.0,3612577802
2025-08-22,108.25,108.5,107.2,108.25,4201838592
2025-08-25,109.2,109.2,106.55,106.9,5400954813
2025-08-26,105.8,107.9,105.5,106.6,7334098157
2025-08-27,108.8,108.8,106.05,107.0,3923772149
2025-08-28,109.0,109.9,106.8,109.7,5992342454
2025-08-29,109.05,111.5,109.05,109.6,2720459915
2025-09-01,110.5,110.5,108.3,109.1,2914447211
2025-09-02,108.15,108.75,106.85,108.4,1772667821
2025-09-03,107.85,109.95,107.3,107.6,7057997751
2025-09-04,108.45,109.1,106.7,108.95,7464240022
2025-09-05,109.5,112.5,108.55,109.75,4362146563
2025-09-08,107.95,110.0,103.0,109.0,3793625972
2025-09-09,108.05,109.65,107.75,108.25,7377507453
2025-09-10,108.05,110.75,108.0,109.3,19386754590
2025-09-11,109.0,111.75,109.0,110.95,21012222965
2025-09-12,112.0,112.0,108.55,110.95,10803300311
2025-09-15,111.9,111.95,107.0,109.0,5998652192
2025-09-16,109.1,110.25,108.6,109.05,7040955853
2025-09-17,109.55,109.95,107.1,108.3,986812713
2025-09-18,108.2,108.2,97.5,103.0,12173384864
2025-09-19,106.35,106.35,96.75,101.0,13503612133
2025-09-22,104.05,108.5,101.5,106.0,9535570776
2025-09-23,105.6,111.6,105.6,107.5,6665471299
2025-09-24,107.15,112.4,107.15,109.35,21530959796
2025-09-25,108.25,110.0,106.05,106.75,3782554559
2025-09-26,107.6,107.6,101.55,104.8,4947697482
2025-09-29,105.8,105.8,100.6,102.7,3434405723
2025-09-30,103.3,103.3,98.0,100.95,2532718584
2025-10-01,101.2,107.95,98.0,101.25,5451686095
2025-10-02,101.05,106.0,101.05,102.8,3595726350
2025-10-03,103.65,106.1,102.1,105.5,6869924119
2025-10-06,105.45,107.95,103.05,107.0,11605358739
2025-10-07,108.0,108.0,104.1,104.0,3272763928
2025-10-08,105.7,105.7,100.0,102.55,2318389040
2025-10-09,102.6,111.9,101.6,111.0,15691853750
2025-10-13,105.6,113.4,105.6,112.7,6534862188
2025-10-14,111.5,113.95,108.25,111.65,3266368967
