Date,Open,High,Low,Close,Volume
2023-10-30,37500.0,37500.0,36500.0,37000.0,278230
2023-10-31,38000.0,38000.0,36900.0,38000.0,329337
2023-11-01,39000.0,39900.0,38000.0,38500.0,458002
2023-11-02,39000.0,39800.0,38500.0,39200.0,210087
2023-11-03,40000.0,40680.0,39000.0,40001.0,25329
2023-11-07,40000.0,41000.0,39400.0,40800.0,305384
2023-11-08,40800.0,42000.0,40800.0,42000.0,1590
2023-11-09,43000.0,43500.0,43000.0,43500.0,1473
2023-11-10,43500.0,43900.0,43300.0,43900.0,228493
2023-11-13,45000.0,45000.0,42210.0,43300.0,3989
2023-11-14,43950.0,44000.0,42010.0,43300.0,46596
2023-11-15,43400.0,43400.0,41050.0,42450.0,204380
2023-11-16,43000.0,44000.0,42600.0,43000.0,7563
2023-11-17,42570.0,43000.0,41710.0,43000.0,104009
2023-11-21,43430.0,49000.0,41925.0,48500.0,5929
2023-11-22,48020.0,51500.0,47675.5,51400.0,66802
2023-11-23,52500.0,54000.0,50000.0,52000.0,606292
2023-11-24,52000.0,55950.0,50444.0,55500.0,49005
2023-11-27,55940.0,57000.0,52924.5,55600.0,1585343
2023-11-28,55050.0,56000.0,52787.0,53950.0,253354
2023-11-29,53425.0,55400.0,50500.0,52500.0,473055
2023-11-30,51985.0,55000.0,51101.0,54500.0,451488
2023-12-01,54500.0,57000.0,54100.0,56500.0,922443
2023-12-04,56500.0,58320.0,56000.0,57500.0,2338688
2023-12-05,57000.0,59750.0,56500.0,57400.0,462570
2023-12-06,57000.0,58500.0,55800.0,57500.0,738181
2023-12-07,57500.0,60206.0,57005.0,58000.0,535566
2023-12-11,58500.0,59500.0,56850.0,59250.0,39641
2023-12-12,60000.0,65600.0,59500.0,65600.0,162263
2023-12-13,65600.0,72000.0,62000.0,70000.0,610756
2023-12-14,70000.0,73000.0,67433.5,70500.0,1863751
2023-12-15,74000.0,74000.0,69980.0,71499.0,42473
2023-12-18,71499.0,71499.0,67950.0,70500.0,74596
2023-12-19,70500.0,71899.5,68000.0,68300.0,117831
2023-12-20,68300.0,68300.0,64600.0,65850.0,164139
2023-12-21,65202.0,70000.0,64550.0,68000.0,717075
2023-12-22,67320.0,68500.0,65962.0,67000.0,862604
2023-12-26,66340.0,69900.0,65660.0,67400.0,175398
2023-12-27,66750.0,69000.0,66065.0,66900.0,471644
2023-12-28,68000.0,70900.0,64900.0,68100.0,563337
2023-12-29,68100.0,71000.0,66060.0,70400.0,5185255
2024-01-02,72000.0,74000.0,67000.0,71601.0,750666
2024-01-03,69860.0,78000.0,69860.0,76105.0,1118124
2024-01-04,76900.0,85000.0,76300.0,81000.0,2441940
2024-01-05,81000.0,88500.0,81000.0,87550.0,1317515
2024-01-08,86680.0,90000.0,84000.0,84000.0,1469122
2024-01-09,83500.0,87500.0,81580.0,85500.0,481452
2024-01-10,87000.0,90000.0,83790.0,87810.0,2515275
2024-01-11,89500.0,89500.0,86000.0,86900.0,343434
2024-01-12,86040.0,86040.0,81710.0,84000.0,238419
2024-01-15,84000.0,88500.0,83500.0,84800.0,346893
