Date,Open,High,Low,Close,Volume
2019-07-11,1570.0,1570.0,1570.0,1570.0,6
2019-07-12,1570.0,1570.0,1570.0,1570.0,0
2019-07-15,1570.0,1570.0,1570.0,1570.0,0
2019-07-16,1570.0,1570.0,1570.0,1570.0,0
2019-07-18,1570.0,1570.0,1570.0,1570.0,0
2019-07-25,1674.0,1684.5,1674.0,1681.0,27
2019-07-29,1674.0,1684.5,1674.0,1681.0,0
2019-07-30,1802.0,1802.0,1802.0,1802.0,4
2019-07-31,1849.5,1849.5,1849.5,1849.5,17
2019-08-01,1920.0,1920.0,1920.0,1920.0,300
2019-08-05,1920.0,1920.0,1920.0,1920.0,0
2019-08-08,1926.5,1926.5,1926.5,1926.5,4
2019-08-12,1926.5,1926.5,1926.5,1926.5,0
2019-08-14,1926.5,1926.5,1926.5,1926.5,0
2019-08-15,1926.5,1926.5,1926.5,1926.5,0
2019-08-20,1926.5,1926.5,1926.5,1926.5,0
2019-08-21,2378.5,2378.5,2378.5,2378.5,6
2019-08-23,2378.5,2378.5,2378.5,2378.5,0
2019-08-26,2378.5,2378.5,2378.5,2378.5,0
2019-08-28,2378.5,2378.5,2378.5,2378.5,0
2019-08-29,2378.5,2378.5,2378.5,2378.5,0
2019-08-30,2378.5,2378.5,2378.5,2378.5,0
2019-09-02,2378.5,2378.5,2378.5,2378.5,0
2019-09-03,2387.0,2387.0,2387.0,2387.0,6
2019-09-04,2387.0,2387.0,2387.0,2387.0,0
2019-09-05,2387.0,2387.0,2387.0,2387.0,0
2019-09-06,2387.0,2387.0,2387.0,2387.0,0
2019-09-10,2750.0,2750.0,2750.0,2750.0,1
2019-09-11,2750.0,2750.0,2750.0,2750.0,0
2019-09-12,2750.0,2750.0,2750.0,2750.0,0
2019-09-16,2750.0,2750.0,2750.0,2750.0,0
2019-09-18,2750.0,2750.0,2750.0,2750.0,0
2019-09-20,2750.0,2750.0,2750.0,2750.0,0
2019-09-23,2950.0,2950.0,2950.0,2950.0,1
2019-09-24,2678.0,2678.0,2644.5,2644.5,2
2019-09-25,2678.0,2678.0,2644.5,2644.5,0
2019-09-26,2678.0,2678.0,2644.5,2644.5,0
2019-09-27,2678.0,2678.0,2644.5,2644.5,0
2019-09-30,2678.0,2678.0,2644.5,2644.5,0
2019-10-01,2678.0,2678.0,2644.5,2644.5,0
2019-10-02,2678.0,2678.0,2644.5,2644.5,0
2019-10-03,2678.0,2678.0,2644.5,2644.5,0
2019-10-07,2678.0,2678.0,2644.5,2644.5,0
2019-10-09,2690.0,2695.5,2690.0,2695.5,140
2019-10-10,2695.0,2695.0,2693.0,2693.0,1018
2019-10-11,2799.0,2799.0,2799.0,2799.0,89
2019-10-15,2799.0,2799.0,2799.0,2799.0,0
2019-10-16,2745.0,2745.0,2737.0,2740.5,138
2019-10-18,2745.0,2745.0,2737.0,2740.5,0
2019-10-23,2980.0,2980.0,2909.5,2909.5,201
2019-10-24,2420.5,2471.5,2399.5,2462.0,618
2019-10-25,2370.0,2500.0,2370.0,2460.5,59
