Date,Open,High,Low,Close,Volume
2020-09-07,84.0,85.56,83.5,84.7,623837154
2020-09-08,84.9,84.9,83.0,83.95,800746825
2020-09-09,83.2,85.0,83.0,84.7,470201395
2020-09-10,84.7,84.99,84.0,84.8,285267511
2020-09-11,84.99,85.15,84.5,84.71,100036367
2020-09-14,84.71,85.09,83.8,84.65,159402714
2020-09-15,86.0,86.0,84.1,84.65,286098876
2020-09-16,84.4,85.0,84.0,84.75,381082044
2020-09-17,84.0,84.94,84.0,84.7,166457978
2020-09-18,84.9,85.29,84.5,85.08,634152926
2020-09-21,84.6,85.25,84.0,85.0,338290634
2020-09-22,84.05,85.35,84.05,85.1,201368112
2020-09-23,84.3,85.48,83.54,83.99,220191951
2020-09-24,83.1,83.95,82.0,82.15,194378169
2020-09-25,84.0,84.0,81.5,82.58,173414658
2020-09-28,82.0,82.94,82.0,82.31,136475720
2020-09-29,82.05,82.6,82.05,82.55,79266054
2020-09-30,82.6,83.98,82.3,83.8,137043795
2020-10-01,83.7,84.65,83.2,83.8,107438247
2020-10-02,82.5,85.3,82.5,84.98,198346140
2020-10-05,84.0,85.4,83.6,84.6,64313606
2020-10-06,83.6,84.6,83.21,83.5,180114347
2020-10-07,82.3,83.6,82.12,82.5,112616717
2020-10-08,83.2,83.2,81.2,81.95,121533559
2020-10-09,81.0,82.25,79.0,79.85,137216649
2020-10-13,78.8,79.5,75.46,77.61,131075768
2020-10-14,78.0,79.6,77.0,78.9,183689362
2020-10-15,78.0,78.3,74.6,74.75,53144236
2020-10-16,74.0,77.39,74.0,77.0,123994864
2020-10-19,76.0,78.0,74.85,77.6,39380657
2020-10-20,78.95,79.0,77.0,78.0,99687089
2020-10-21,78.0,78.0,75.99,76.0,16916234
2020-10-22,77.6,77.6,74.0,74.1,55899847
2020-10-23,74.1,74.9,73.5,74.15,83405767
2020-10-26,74.1,74.72,70.1,70.1,35995060
2020-10-27,70.0,70.75,67.1,69.0,124959259
2020-10-28,69.0,70.0,67.1,68.1,160328874
2020-10-29,68.5,71.45,67.75,70.84,250056463
2020-10-30,70.0,73.45,70.0,72.85,268366864
2020-11-02,72.75,73.9,71.0,73.9,120697087
2020-11-03,74.99,77.4,73.25,76.5,231443116
2020-11-04,76.5,78.15,76.5,77.99,158710929
2020-11-05,78.5,78.5,77.5,77.7,323199862
2020-11-06,79.5,79.5,76.2,76.95,1581999
2020-11-09,76.95,79.4,76.95,78.94,124062690
2020-11-10,78.9,79.5,77.55,78.5,48553403
2020-11-11,78.5,80.74,78.25,80.6,119577470
2020-11-12,80.6,84.75,79.0,84.6,362358491
2020-11-13,84.0,86.5,84.0,84.84,243810453
2020-11-16,84.0,85.45,83.1,83.45,76426163
2020-11-17,82.5,83.97,80.0,82.0,103480064
2020-11-18,83.29,83.3,81.65,82.2,171799651
2020-11-19,82.22,83.0,82.0,82.3,119003701
2020-11-20,82.0,82.64,82.0,82.64,112324228
2020-11-24,82.9,83.1,81.7,82.5,95978436
2020-11-25,82.0,83.0,81.5,82.26,61870829
2020-11-26,82.23,82.89,81.75,82.4,99884489
2020-11-27,83.37,84.37,82.45,82.55,48859459
2020-11-30,81.5,83.0,81.5,82.3,84839773
2020-12-01,82.25,83.2,81.01,82.95,107390634
2020-12-02,82.9,84.7,82.75,83.3,234775133
2020-12-03,83.0,84.2,83.0,84.15,291386927
2020-12-04,83.0,85.55,83.0,85.45,60517374
2020-12-09,85.0,86.0,84.5,85.5,49957153
2020-12-10,85.5,85.69,84.8,85.4,39771749
2020-12-11,85.0,85.25,83.0,84.0,13578979
2020-12-14,83.0,83.8,82.0,82.45,34157404
2020-12-15,83.0,83.0,81.2,82.45,138769369
2020-12-16,82.99,83.0,82.5,83.0,150738648
2020-12-17,82.1,83.49,82.0,82.95,32780384
2020-12-18,82.99,83.99,82.5,82.7,103690122
2020-12-21,82.5,82.75,81.85,82.3,48350395
2020-12-22,83.2,83.3,81.81,83.3,197866567
2020-12-23,84.0,84.99,82.5,83.55,480947801
2020-12-28,83.45,85.5,82.75,85.5,82634848
2020-12-29,85.5,86.49,84.9,86.19,72002648
2020-12-30,86.95,87.3,86.0,87.3,80148828
2021-01-04,87.35,87.95,85.65,86.9,181718869
2021-01-05,86.9,89.75,86.6,88.0,421904142
2021-01-06,89.95,89.95,87.51,88.49,217422395
2021-01-07,88.15,89.5,88.15,89.2,217174358
2021-01-08,90.0,90.0,88.7,89.0,104229553
2021-01-11,89.95,89.95,86.05,87.9,76877384
2021-01-12,89.34,89.5,87.25,88.25,118412794
2021-01-13,88.49,88.5,87.52,87.8,16364142
2021-01-14,87.7,89.4,87.7,88.2,81357302
2021-01-15,85.6,88.94,85.6,88.7,71658748
2021-01-18,89.95,90.2,88.2,89.1,113226720
2021-01-19,89.1,91.8,89.1,91.1,216231656
2021-01-20,91.77,92.0,91.2,91.85,208187130
2021-01-21,91.45,93.44,90.9,92.5,119683163
2021-01-22,92.5,94.09,92.5,93.05,351939124
2021-01-25,93.0,94.0,91.6,93.9,171620677
2021-01-26,94.5,95.5,92.9,95.05,224885047
2021-01-27,96.29,96.39,95.02,96.17,67012012
2021-01-28,96.0,96.6,95.5,96.4,101931382
2021-01-29,96.5,97.0,96.0,96.8,217781034
2021-02-01,96.8,97.98,94.5,97.5,82915024
2021-02-02,98.45,100.0,97.0,100.0,87127580
2021-02-03,100.0,102.25,99.55,100.5,164899733
2021-02-04,101.9,101.9,99.6,99.75,276813096
