Date,Open,High,Low,Close,Volume
2019-01-02,13.4,13.7,13.05,13.7,352199
2019-01-03,13.65,14.0,13.3,13.85,590299
2019-01-04,14.0,14.85,14.0,14.7,594980
2019-01-07,14.6,15.05,14.35,14.95,1019029
2019-01-08,14.95,15.5,14.85,15.2,651509
2019-01-09,15.2,15.6,15.05,15.4,1129004
2019-01-10,15.4,15.95,15.15,15.9,781411
2019-01-11,15.85,16.0,15.5,15.75,406532
2019-01-14,15.75,16.15,15.4,15.75,565689
2019-01-15,15.75,15.85,14.9,15.05,844211
2019-01-16,14.95,15.45,14.75,15.25,821218
2019-01-17,15.3,15.45,14.95,15.05,439435
2019-01-18,15.2,15.4,15.0,15.05,831658
2019-01-21,15.0,15.4,14.9,15.2,423214
2019-01-22,15.15,15.2,14.6,14.85,380449
2019-01-23,14.85,15.25,14.6,15.2,646323
2019-01-24,15.1,15.4,14.95,15.25,782229
2019-01-25,15.3,15.5,15.05,15.15,881087
2019-01-28,14.9,15.1,14.6,14.85,255755
2019-01-29,14.8,15.2,14.6,15.15,476094
2019-01-30,15.3,15.5,15.0,15.05,700683
2019-01-31,15.25,15.4,15.05,15.15,558761
2019-02-01,15.15,15.5,15.0,15.5,1121282
2019-02-04,15.6,15.85,15.1,15.15,1204270
2019-02-05,15.05,15.3,15.0,15.15,740474
2019-02-06,15.3,15.4,15.0,15.2,936159
2019-02-07,15.3,15.4,14.8,15.35,716248
2019-02-08,15.45,15.55,15.0,15.45,615529
2019-02-11,15.45,15.6,15.2,15.35,400315
2019-02-12,15.35,15.35,15.05,15.2,571942
2019-02-13,15.35,15.35,14.85,15.1,918578
2019-02-14,15.05,15.75,14.95,15.05,352426
2019-02-15,15.05,15.95,15.05,15.8,1182664
2019-02-18,16.0,16.75,16.0,16.6,2251751
2019-02-19,16.7,16.9,15.75,16.05,1242852
2019-02-20,16.1,16.35,15.2,15.35,1420709
2019-02-21,15.55,15.6,15.05,15.1,902983
2019-02-22,15.0,15.55,15.0,15.35,813470
2019-02-25,15.75,15.75,15.0,15.2,907930
2019-02-26,15.2,15.4,14.75,15.0,817649
2019-02-27,15.2,15.2,14.5,14.7,719552
2019-02-28,14.65,15.15,14.2,14.6,371328
2019-03-01,14.7,14.95,14.3,14.55,1607289
2019-03-06,14.5,14.5,13.9,14.1,630210
2019-03-07,14.1,14.45,13.8,13.9,1103895
2019-03-08,13.8,14.35,13.5,13.7,722897
2019-03-11,14.1,14.1,13.65,13.85,764293
2019-03-12,13.9,14.35,13.7,14.25,803481
2019-03-13,14.3,14.9,14.2,14.6,951701
2019-03-14,14.8,15.0,14.5,14.85,1496781
2019-03-15,15.2,15.3,14.6,15.0,671992
2019-03-18,15.2,15.5,14.65,15.5,1443605
2019-03-19,15.6,16.0,14.85,15.0,820813
2019-03-20,15.2,15.3,14.65,14.8,1468565
2019-03-21,14.8,15.0,14.35,14.5,371836
2019-03-22,14.45,14.65,14.0,14.1,412399
2019-03-25,14.0,14.45,13.95,14.0,491401
2019-03-26,14.0,14.6,13.8,14.45,725644
2019-03-27,14.45,14.75,13.8,14.7,1027738
2019-03-28,14.7,15.2,14.5,15.05,827952
2019-03-29,15.15,15.65,14.75,15.6,1396030
2019-04-01,15.8,16.0,14.65,14.75,1007169
2019-04-03,14.75,14.9,14.3,14.75,535395
2019-04-04,14.75,15.15,14.55,14.75,1705435
2019-04-05,14.95,15.3,14.85,15.05,677753
2019-04-08,15.25,15.35,14.65,15.0,417453
2019-04-09,15.15,15.15,14.0,14.05,1168932
2019-04-10,14.2,14.75,14.1,14.7,750474
2019-04-11,14.45,14.45,13.65,14.1,668008
2019-04-12,14.25,14.35,13.3,13.4,1088729
2019-04-15,13.35,13.8,12.75,12.85,1639226
2019-04-16,12.9,13.45,12.85,13.0,1854337
2019-04-17,12.95,13.55,12.6,12.75,2054250
2019-04-22,12.85,12.9,12.15,12.25,1375386
2019-04-23,12.35,12.7,12.2,12.2,1553028
2019-04-24,12.1,12.4,11.1,11.2,1716197
2019-04-25,11.0,11.75,10.8,11.2,2875208
2019-04-26,11.55,12.0,11.0,11.65,2713025
2019-04-29,11.8,12.25,11.3,11.35,1048472
2019-04-30,11.3,11.75,11.3,11.55,485972
2019-05-02,11.6,11.85,11.4,11.7,725798
2019-05-03,11.9,12.6,11.65,12.45,1560564
2019-05-06,12.35,13.35,12.05,13.25,1863579
2019-05-07,13.25,13.25,12.6,13.15,1131222
2019-05-08,13.15,13.8,13.15,13.7,1726759
2019-05-09,13.8,14.0,13.25,13.65,1273467
2019-05-10,13.65,13.9,13.25,13.55,580871
2019-05-13,13.6,13.85,13.25,13.55,403589
2019-05-14,13.55,14.15,13.4,13.5,601231
2019-05-15,13.75,13.75,12.95,13.4,939214
2019-05-16,13.4,13.6,13.1,13.2,461156
2019-05-17,13.1,13.5,12.9,13.2,942234
2019-05-20,13.2,13.25,12.9,13.0,220958
2019-05-21,13.1,13.5,12.8,13.0,738096
2019-05-22,13.0,13.3,12.4,12.8,564913
2019-05-23,12.9,12.9,12.4,12.6,491442
2019-05-24,12.85,13.2,12.6,12.9,791413
2019-05-27,13.0,13.0,12.7,12.9,327549
2019-05-28,12.95,13.2,12.55,12.8,845718
2019-05-29,12.8,13.0,12.5,12.8,349649
2019-05-30,12.55,13.1,12.55,12.6,470434
2019-05-31,12.6,12.7,12.2,12.35,1518279
2019-06-03,12.3,12.45,12.0,12.3,1140788
2019-06-04,12.35,12.8,12.0,12.45,978571
2019-06-05,12.65,12.7,12.15,12.2,626033
2019-06-06,12.3,12.7,12.1,12.65,1022013
2019-06-07,12.65,12.85,12.4,12.6,845660
2019-06-10,12.6,12.8,12.4,12.55,800463
2019-06-11,12.55,13.2,12.55,13.1,1619535
2019-06-12,13.5,13.75,13.15,13.35,2718379
2019-06-13,13.4,13.7,13.0,13.35,1238075
2019-06-14,13.5,13.7,13.25,13.5,1701643
2019-06-18,13.5,13.8,13.05,13.35,1043798
2019-06-19,13.3,13.45,12.8,12.85,967413
2019-06-21,12.85,13.2,12.45,12.6,754688
2019-06-24,12.5,13.0,12.45,12.65,1952683
2019-06-25,12.65,13.1,12.6,13.0,1129926
2019-06-26,13.2,13.3,12.5,12.6,1889109
2019-06-27,12.85,12.95,12.55,12.8,1725348
2019-06-28,12.75,13.85,12.75,13.8,2282634
2019-07-01,14.0,14.2,13.55,13.8,1288058
2019-07-02,13.95,14.15,13.6,13.75,600014
2019-07-03,13.75,14.15,13.6,13.7,1173122
2019-07-04,13.7,14.0,13.65,13.75,449550
2019-07-05,13.75,14.4,13.6,14.35,1090214
2019-07-10,14.45,14.95,13.95,14.85,1636646
2019-07-11,14.55,15.2,14.55,15.1,1563916
2019-07-12,15.2,15.2,14.5,14.75,953141
2019-07-15,14.85,14.85,14.1,14.2,947457
2019-07-16,14.2,14.4,13.8,14.0,506463
2019-07-17,13.9,14.2,13.65,13.8,766107
2019-07-18,13.8,13.85,13.4,13.5,502639
2019-07-19,13.5,13.7,13.1,13.5,532477
2019-07-22,13.6,13.6,12.9,13.4,1214613
2019-07-23,13.45,13.55,12.9,13.0,941399
2019-07-24,13.2,13.6,12.95,13.55,746228
2019-07-25,13.85,13.85,13.0,13.15,651306
2019-07-26,13.0,13.75,13.0,13.75,866276
2019-07-29,13.85,14.3,13.7,14.2,790733
2019-07-30,14.25,14.4,13.95,14.1,963437
2019-07-31,14.3,14.35,13.9,13.95,1426604
2019-08-01,14.05,14.15,13.8,13.9,734735
2019-08-02,13.95,14.35,13.7,14.3,853949
2019-08-05,14.25,14.5,13.85,14.5,1323282
2019-08-06,14.65,14.65,14.15,14.3,1073154
2019-08-07,14.5,14.5,13.8,14.45,1123770
2019-08-08,14.55,14.55,14.0,14.15,383701
2019-08-09,14.15,14.5,14.0,14.4,1155008
2019-08-12,11.0,13.0,10.8,10.85,2247878
2019-08-13,11.0,12.0,11.0,11.75,4863219
2019-08-14,12.2,12.2,10.7,10.9,6113407
2019-08-15,11.35,12.3,11.15,12.15,5329667
2019-08-16,12.2,12.7,12.2,12.4,3357735
2019-08-20,12.2,12.2,11.3,12.1,2551116
2019-08-21,12.1,13.3,12.0,12.95,3295261
2019-08-22,13.1,13.7,12.9,13.0,2403690
2019-08-23,13.4,13.4,12.4,12.55,962994
2019-08-26,12.9,13.0,12.2,12.6,980010
2019-08-27,12.85,12.85,11.65,11.65,2347779
2019-08-28,11.65,12.1,11.6,11.75,1786894
2019-08-29,11.25,11.85,11.05,11.5,1247126
2019-08-30,11.2,11.7,10.9,11.0,5037445
2019-09-02,11.25,11.7,11.2,11.6,1928022
2019-09-03,11.5,11.8,10.45,11.1,2918572
2019-09-04,11.15,12.3,11.15,12.15,2289202
2019-09-05,12.1,13.0,12.1,12.75,2264764
2019-09-06,13.0,13.3,12.5,12.9,781259
