Date,Open,High,Low,Close,Volume
2015-12-30,85.7,85.7,85.7,85.7,0
2016-01-05,85.0,85.0,85.0,85.0,742
2016-01-06,85.0,0.0,0.0,85.0,0
2016-01-07,85.0,0.0,0.0,85.0,0
2016-01-08,85.0,0.0,0.0,85.0,0
2016-01-11,82.0,82.0,82.0,82.0,184
2016-01-12,82.0,0.0,0.0,82.0,0
2016-01-13,82.0,0.0,0.0,82.0,0
2016-01-14,82.0,0.0,0.0,82.0,0
2016-01-15,82.0,0.0,0.0,82.0,0
2016-01-18,82.0,0.0,0.0,82.0,0
2016-01-29,82.0,82.0,82.0,82.0,130
2016-02-01,82.0,0.0,0.0,82.0,0
2016-02-02,82.0,0.0,0.0,82.0,0
2016-02-03,82.0,0.0,0.0,82.0,0
2016-02-04,82.0,0.0,0.0,82.0,0
2016-02-05,82.0,0.0,0.0,82.0,0
2016-02-16,90.15,90.15,90.15,90.15,102
2016-02-17,89.0,89.0,89.0,89.0,100
2016-02-18,89.0,0.0,0.0,89.0,0
2016-02-19,89.0,0.0,0.0,89.0,0
2016-02-22,89.0,0.0,0.0,89.0,0
2016-02-23,89.0,0.0,0.0,89.0,0
2016-02-24,89.0,0.0,0.0,89.0,0
2016-02-25,115.1,115.1,115.1,115.1,400
2016-02-26,115.1,0.0,0.0,115.1,0
2016-02-29,115.0,115.0,115.0,115.0,418
2016-03-01,115.0,0.0,0.0,115.0,0
2016-03-02,115.0,0.0,0.0,115.0,0
2016-03-03,130.0,131.0,130.0,131.0,8914
2016-03-04,132.0,132.0,132.0,132.0,28
2016-03-07,132.0,0.0,0.0,132.0,0
2016-03-08,132.0,0.0,0.0,132.0,0
2016-03-09,132.0,0.0,0.0,132.0,0
2016-03-10,132.0,0.0,0.0,132.0,0
2016-03-11,133.0,133.0,133.0,133.0,116
2016-03-14,133.0,0.0,0.0,133.0,0
2016-03-15,133.0,133.0,133.0,133.0,1500
2016-03-16,122.75,122.75,122.75,122.75,5966
2016-03-17,122.75,0.0,0.0,122.75,0
2016-03-18,122.75,0.0,0.0,122.75,0
2016-03-21,122.75,0.0,0.0,122.75,0
2016-03-22,122.75,0.0,0.0,122.75,0
2016-03-23,122.75,0.0,0.0,122.75,0
2016-03-30,133.0,133.0,133.0,133.0,616
2016-03-31,134.0,134.0,134.0,134.0,112
2016-04-01,134.0,0.0,0.0,134.0,0
2016-04-04,134.0,0.0,0.0,134.0,0
2016-04-05,134.0,0.0,0.0,134.0,0
2016-04-06,134.0,0.0,0.0,134.0,0
2016-04-07,134.0,0.0,0.0,134.0,0
2016-04-22,141.0,141.0,141.0,141.0,60
2016-04-25,141.0,0.0,0.0,141.0,0
2016-04-26,141.0,0.0,0.0,141.0,0
2016-04-27,141.0,0.0,0.0,141.0,0
2016-04-28,141.0,0.0,0.0,141.0,0
2016-04-29,141.0,0.0,0.0,141.0,0
2016-05-02,140.35,140.35,140.35,140.35,3830
2016-05-03,140.35,0.0,0.0,140.35,0
2016-05-04,140.35,0.0,0.0,140.35,0
2016-05-05,140.35,0.0,0.0,140.35,0
2016-05-06,140.3,140.3,140.3,140.3,70
2016-05-09,140.3,0.0,0.0,140.3,0
2016-05-10,122.0,122.0,122.0,122.0,1000
2016-05-11,122.0,0.0,0.0,122.0,0
2016-05-12,122.0,0.0,0.0,122.0,0
2016-05-13,122.0,0.0,0.0,122.0,0
2016-05-16,122.0,122.0,122.0,122.0,44
2016-05-17,122.0,0.0,0.0,122.0,0
2016-05-18,122.0,0.0,0.0,122.0,0
2016-05-19,122.0,122.0,122.0,122.0,190
2016-05-20,122.0,0.0,0.0,122.0,0
2016-05-23,122.0,0.0,0.0,122.0,0
2016-05-24,122.0,0.0,0.0,122.0,0
