Date,Open,High,Low,Close,Volume
2025-06-04,114.9,114.9,108.3,108.85,54506560290
2025-06-05,109.9,111.0,108.65,109.0,37756456661
2025-06-06,111.7,111.7,109.05,110.55,21241971081
2025-06-09,110.65,113.0,110.65,112.1,20800082017
2025-06-10,113.5,113.5,110.5,110.95,28194999404
2025-06-11,111.4,111.4,110.05,110.4,11463562755
2025-06-12,111.15,111.5,109.55,110.45,44054744047
2025-06-13,110.9,111.0,109.95,110.55,24564268434
2025-06-17,111.0,111.2,109.1,109.45,11775578250
2025-06-18,109.55,109.8,108.5,108.9,8499865181
2025-06-19,109.4,109.85,108.65,109.2,14003402291
2025-06-23,108.65,110.6,107.2,107.3,16008217682
2025-06-24,109.4,109.4,106.6,108.9,19463156748
2025-06-25,108.5,109.5,107.8,108.95,5474749005
2025-06-26,112.65,112.65,108.0,108.3,6412702522
2025-06-27,109.0,109.25,107.6,108.85,8144137110
2025-06-30,109.9,109.9,106.55,107.5,10733276077
2025-07-01,109.75,109.8,106.75,106.95,8434998710
2025-07-02,107.55,107.8,106.7,107.55,11985535347
2025-07-03,107.4,108.9,105.0,107.4,6559343542
2025-07-04,107.65,108.5,107.65,108.35,6550829651
2025-07-07,109.0,109.0,107.25,107.55,6100121436
2025-07-08,107.6,108.95,106.85,108.9,7150629346
2025-07-10,109.0,110.6,108.8,109.75,12059049846
2025-07-11,112.0,112.0,109.0,109.5,4028936088
2025-07-14,110.45,110.45,108.0,109.05,4610631822
2025-07-15,109.0,109.4,106.75,108.0,11690920035
2025-07-16,109.9,109.9,106.8,107.35,3186015671
2025-07-17,107.1,109.0,106.8,106.95,5931596248
2025-07-18,107.15,108.0,106.0,105.5,10972548312
2025-07-21,106.3,107.0,102.8,104.05,14266899412
2025-07-22,104.4,106.9,102.0,104.6,11857031460
2025-07-23,105.05,107.85,103.7,105.1,9460014959
2025-07-24,106.0,107.0,104.85,105.5,2317733671
2025-07-25,106.0,107.95,104.55,106.1,9961065700
2025-07-28,107.6,107.6,105.05,105.75,6281632223
2025-07-29,104.0,106.3,104.0,106.3,3518133549
2025-07-30,107.0,107.0,104.35,106.5,912162833
2025-07-31,106.9,108.0,105.5,107.25,9720928272
2025-08-01,108.3,108.95,105.6,107.4,7598383264
2025-08-04,106.45,108.65,106.4,106.8,1316215203
2025-08-05,106.8,107.7,106.5,107.5,274689248
2025-08-06,107.4,108.6,107.3,108.0,6824723723
2025-08-07,108.75,108.75,106.85,107.75,4687786072
2025-08-08,106.65,108.35,106.65,108.25,2081760557
2025-08-11,107.15,109.95,107.05,108.6,3891084571
2025-08-12,109.45,109.95,108.0,109.8,4061348191
2025-08-13,108.7,112.4,108.7,112.0,3520653340
2025-08-14,110.85,112.3,108.5,110.35,9018235205
2025-08-18,109.2,111.75,108.0,110.45,365606248
2025-08-19,110.95,111.0,108.25,109.55,1232509280
2025-08-20,110.05,111.35,109.0,109.4,1473839935
2025-08-21,112.7,112.7,107.0,108.6,5653413040
2025-08-22,111.25,111.3,106.5,109.2,4875684616
2025-08-25,107.05,109.0,105.55,106.8,4182184920
2025-08-26,105.55,109.45,105.5,105.8,626347968
2025-08-27,105.15,106.0,104.1,104.85,2067728070
2025-08-28,103.1,104.95,102.5,104.1,4957972971
2025-08-29,104.95,104.95,102.75,104.0,596217330
2025-09-01,103.25,105.95,101.4,101.75,400168319
2025-09-02,101.8,102.45,98.05,98.75,3797327675
2025-09-03,99.89,100.85,97.0,97.0,6604891414
2025-09-04,99.87,99.87,96.2,97.3,3814780228
2025-09-05,97.51,99.6,96.56,97.55,3370949078
2025-09-08,94.97,94.97,85.52,88.0,3884259231
2025-09-09,90.0,90.2,88.0,89.0,6146673173
2025-09-10,89.0,91.89,89.0,90.75,19530002530
2025-09-11,90.22,94.48,90.22,93.65,14295069470
2025-09-12,94.2,95.19,90.25,92.0,7937779218
2025-09-15,93.3,93.3,88.0,89.25,2006032350
2025-09-16,90.01,91.34,89.0,89.3,3975636883
2025-09-17,90.89,90.89,86.9,87.0,2719609230
2025-09-18,87.21,87.89,77.0,80.0,8224969607
2025-09-19,80.0,84.3,77.25,79.91,7119755323
2025-09-22,82.3,91.0,82.3,89.3,3310415531
2025-09-23,88.5,94.0,88.4,91.75,9817195273
2025-09-24,92.02,97.5,92.01,94.99,6672115184
2025-09-25,95.79,95.79,90.6,91.0,2724932404
2025-09-26,93.64,93.99,85.0,89.19,1425815722
2025-09-29,89.0,92.0,86.6,88.4,4164836915
2025-09-30,87.1,90.74,86.1,87.8,1087054408
2025-10-01,85.5,88.9,84.82,87.4,2617540336
2025-10-02,89.9,89.98,84.0,88.5,216044508
2025-10-03,88.6,90.75,87.21,88.74,3613572790
2025-10-06,89.0,91.4,86.1,88.9,2259498048
2025-10-07,89.49,89.49,83.0,86.94,249102183
2025-10-08,90.9,90.9,81.76,87.9,717884004
2025-10-09,85.73,94.5,85.72,93.0,19153889658
2025-10-13,94.0,99.0,94.0,96.5,4237320418
2025-10-14,97.99,98.82,89.0,95.0,4725464229
2025-10-15,96.99,98.0,92.21,96.0,2262588566
2025-10-16,97.99,97.99,92.0,96.5,3769037784
2025-10-17,97.99,98.8,94.51,97.0,1098152759
2025-10-20,98.99,99.5,96.05,98.0,4148901141
2025-10-21,99.0,102.0,96.51,98.5,2848150743
2025-10-22,100.85,100.85,96.55,99.75,2008484320
2025-10-23,100.0,100.25,99.2,99.59,5591079199
2025-10-24,98.0,100.5,97.0,99.9,467214531
2025-10-27,112.0,124.0,108.1,110.3,20585321535
2025-10-28,110.0,112.0,104.1,111.0,5728734786
2025-10-29,109.15,115.0,109.15,114.9,3512690405
2025-10-30,116.0,117.85,113.55,117.0,14614577829
2025-10-31,118.0,119.0,114.0,116.05,7991869648
2025-11-03,115.0,118.95,114.0,116.75,10630336639
2025-11-04,115.65,116.45,114.65,116.35,5486258775
2025-11-05,117.8,117.8,116.0,116.7,6517735917
2025-11-06,116.7,117.95,116.0,117.0,123342433
2025-11-07,118.0,118.0,115.25,115.4,1813330387
2025-11-10,115.4,117.7,115.4,116.3,4551292070
2025-11-11,117.95,118.3,115.0,117.15,10672518263
2025-11-12,117.0,118.2,117.0,117.65,23518807148
2025-11-13,118.55,118.9,116.8,117.4,7423097010
2025-11-14,118.0,118.0,115.5,117.5,5007828853
2025-11-17,118.85,118.85,117.0,117.7,11498760871
2025-11-18,117.75,118.0,116.6,117.6,1342779746
2025-11-19,117.0,118.2,117.0,117.95,1271553741
2025-11-20,119.0,119.0,117.3,117.4,6175756059
2025-11-21,119.0,119.0,117.75,118.4,10409082
2025-11-25,117.4,119.0,115.8,117.0,3529163760
2025-11-26,116.9,118.5,116.9,117.95,1038573446
2025-11-27,119.0,119.0,116.75,117.75,599639804
2025-11-28,105.85,105.9,103.1,104.5,3221166827
2025-12-01,106.5,106.5,104.0,105.1,8423705925
2025-12-02,106.0,107.2,104.8,106.75,8755222054
2025-12-03,107.55,108.5,107.0,107.45,2597515354
2025-12-04,107.5,109.5,107.05,107.8,214286445
2025-12-05,110.0,111.25,108.05,108.9,2631177580
2025-12-09,109.1,109.9,107.3,108.3,274494962
2025-12-10,108.2,111.9,108.2,109.75,4960197379
2025-12-11,110.6,110.6,108.85,109.4,2600284783
2025-12-12,109.8,111.15,109.25,110.4,2479889889
2025-12-15,110.5,110.6,107.35,109.75,935952248
2025-12-16,110.2,110.35,107.15,109.95,5209814826
2025-12-17,109.1,110.9,109.1,110.2,462990505
2025-12-18,109.7,111.6,109.7,110.3,3656369135
2025-12-19,109.0,112.3,108.55,110.85,548464975
2025-12-22,110.0,111.45,109.2,110.7,302674179
2025-12-23,110.7,111.35,109.95,110.4,219488508
2025-12-24,110.9,111.0,110.5,111.0,3672298
2025-12-26,111.0,112.45,108.75,110.0,206063454
2025-12-29,110.0,111.0,109.35,109.5,220927367
2025-12-30,109.9,112.0,108.1,109.75,429591264
2026-01-02,110.4,111.1,109.1,109.75,549265674
2026-01-05,110.4,111.3,109.25,110.0,132491068
2026-01-06,109.9,111.35,109.6,110.85,4214518378
2026-01-07,110.5,111.6,110.0,111.35,1461660109
2026-01-08,111.1,112.1,110.65,111.5,316957222
2026-01-09,111.6,113.25,111.5,112.9,579064214
2026-01-12,112.6,113.5,112.0,113.2,1207769311
2026-01-13,113.0,114.0,112.1,112.65,699497557
2026-01-14,113.85,114.45,112.3,114.0,75346536
2026-01-15,114.55,115.0,112.85,114.7,2678523414
2026-01-16,115.0,116.05,113.55,114.3,848659773
2026-01-19,111.5,116.4,111.1,114.15,283991913
2026-01-20,115.0,115.0,112.55,114.0,4977698579
2026-01-21,115.0,115.0,113.3,114.05,1114139869
2026-01-22,115.0,115.0,113.5,113.5,727137680
2026-01-23,112.25,113.9,112.0,113.75,1147107746
2026-01-26,114.7,114.7,113.15,113.9,1622236293
2026-01-27,114.55,116.5,112.9,115.25,1171830254
2026-01-28,116.4,116.4,114.05,115.0,2004372873
2026-01-29,114.0,116.4,114.0,115.3,487400246
2026-01-30,116.5,118.3,115.25,116.5,905014783
2026-02-02,113.7,118.0,113.7,116.5,943282708
2026-02-03,114.7,117.85,114.7,116.25,4377365056
2026-02-04,118.5,118.5,116.05,116.5,1171104961
2026-02-05,116.4,117.0,114.3,116.4,1101324398
2026-02-06,115.95,116.95,114.75,113.9,406955856
2026-02-09,114.3,117.2,113.9,115.9,580765200
2026-02-10,117.0,117.0,115.45,116.0,1679842608
2026-02-11,116.95,117.0,115.3,115.9,634885056
2026-02-12,115.5,116.95,115.5,116.7,429121273
