Date,Open,High,Low,Close,Volume
2024-03-13,133.0,135.8,130.0,135.8,1596379302
2024-03-14,134.25,139.25,134.25,139.0,5175304380
2024-03-15,139.25,145.0,137.0,143.25,1776507945
2024-03-18,142.0,149.5,141.5,148.0,1728136598
2024-03-19,148.0,154.0,141.0,149.0,1210585618
2024-03-20,155.0,155.0,144.6,147.3,2422416034
2024-03-21,147.0,155.0,146.0,153.25,1416637187
2024-03-22,157.75,161.0,148.0,151.0,1887213807
2024-03-25,149.5,154.0,147.0,148.9,2724677871
2024-03-26,149.0,154.45,149.0,150.85,2602446393
2024-03-27,151.0,154.0,148.25,152.0,496437356
2024-04-03,152.0,155.0,147.55,152.0,957069096
2024-04-04,153.5,153.5,151.0,152.25,1461468273
2024-04-05,154.0,156.8,151.9,153.3,2215062085
2024-04-08,151.8,158.0,149.5,154.6,3050918371
2024-04-09,155.2,158.5,154.5,155.8,4815439164
2024-04-10,155.9,162.0,155.0,156.9,4634139562
2024-04-11,156.6,164.5,154.2,164.05,2841409544
2024-04-12,165.0,166.0,159.75,163.0,2484987992
2024-04-15,161.5,166.75,158.35,161.75,4798603666
2024-04-16,163.7,166.55,157.05,164.1,2268255709
2024-04-17,165.0,168.0,162.5,163.05,2646854225
2024-04-18,163.0,164.9,158.5,163.0,3928126945
2024-04-19,161.55,164.0,160.7,163.75,2759760311
2024-04-22,164.5,164.5,157.55,160.5,237128465
2024-04-23,159.0,159.0,152.55,156.0,781109229
2024-04-24,154.5,159.0,151.5,158.45,1363740952
2024-04-25,157.0,161.8,154.0,157.0,1411451533
2024-04-26,155.5,158.9,147.45,151.35,1092140934
2024-04-29,150.0,151.95,145.0,149.0,2617512024
2024-04-30,151.0,152.75,147.95,149.95,925403659
2024-05-02,148.5,159.95,148.0,151.75,2950974428
2024-05-03,150.5,156.95,147.0,154.05,2797443373
2024-05-06,152.6,160.0,149.5,158.75,1766543415
2024-05-07,161.0,161.0,154.0,160.0,3922471491
2024-05-08,161.0,163.45,155.8,160.6,3182325098
2024-05-09,159.0,167.0,157.5,161.75,1511582522
2024-05-10,161.0,166.0,161.0,162.0,597409202
2024-05-13,160.5,170.0,155.0,161.9,867883552
2024-05-14,164.0,168.95,158.8,164.85,2593609923
2024-05-15,163.2,166.95,161.05,163.5,992665100
2024-05-16,163.5,166.5,162.0,162.15,23663844
2024-05-17,160.7,172.5,160.7,163.75,690976005
2024-05-20,166.0,169.95,163.75,165.4,1693932854
2024-05-21,165.4,168.5,162.2,167.5,1554737788
2024-05-22,167.75,169.5,162.6,165.95,1040867945
2024-05-23,164.4,169.0,162.1,166.6,2055356706
2024-05-24,166.6,170.0,165.1,166.25,4154933460
2024-05-27,164.6,169.0,163.4,165.35,1740023252
2024-05-28,163.8,172.0,160.5,163.9,1812832761
2024-05-29,161.05,167.45,161.05,162.5,616804684
2024-05-30,161.0,164.9,157.0,159.0,2932680432
2024-05-31,162.0,162.1,154.4,160.0,1779862552
2024-06-03,158.5,161.15,157.25,160.5,1146728178
2024-06-04,159.0,162.25,157.45,161.95,172315685
2024-06-05,163.0,164.9,160.25,162.75,2350678133
2024-06-06,162.0,165.0,159.05,161.0,1703293844
2024-06-07,159.4,166.25,157.5,160.55,389254073
2024-06-10,159.0,164.9,157.4,160.1,991649392
2024-06-11,158.5,162.0,157.65,159.1,965381890
2024-06-12,157.0,161.45,157.0,160.75,139482143
2024-06-13,160.75,163.85,154.05,158.4,2261062580
2024-06-14,158.0,162.65,158.0,161.0,212232320
2024-06-18,161.0,164.4,158.25,161.25,1896802437
2024-06-19,164.4,165.0,160.75,161.4,309660532
2024-06-24,160.2,165.0,157.45,159.45,1670436475
2024-06-25,160.0,161.0,157.0,158.0,393552327
2024-06-26,157.5,162.0,154.7,157.0,1575017114
2024-06-27,155.5,160.95,154.25,157.25,2086136476
2024-06-28,155.8,162.0,151.55,158.7,437381344
2024-07-01,158.7,164.95,156.05,157.5,404624387
2024-07-02,162.0,162.0,155.55,158.1,4434829578
2024-07-03,158.1,162.0,158.1,160.6,3467909296
2024-07-04,164.95,164.95,158.0,162.9,2210975594
2024-07-05,163.0,169.9,160.8,161.9,4919291402
2024-07-08,161.95,163.9,160.75,161.45,2277128160
2024-07-10,161.75,168.0,158.15,162.5,1977485324
2024-07-11,161.0,168.95,159.5,163.2,1582788090
2024-07-12,163.15,170.0,160.5,166.3,2084688473
2024-07-15,165.0,170.0,160.15,164.5,1008883933
2024-07-16,166.0,169.0,159.7,162.75,2257536420
2024-07-17,160.0,166.0,160.0,161.5,1089096799
2024-07-18,160.0,166.9,160.0,163.0,790555593
2024-07-19,164.0,166.75,162.0,163.5,2242489178
2024-07-22,162.0,169.95,161.5,164.25,1973638054
2024-07-23,164.0,166.0,162.05,163.9,2044854141
2024-07-24,164.0,166.0,162.3,164.0,2889079243
2024-07-25,163.95,164.5,158.1,161.5,1601656554
2024-07-26,160.0,163.0,158.45,161.0,1243933530
2024-07-29,162.8,165.0,156.5,157.0,1767673526
2024-07-30,158.45,159.95,155.0,158.5,656145654
2024-07-31,160.2,160.2,155.1,156.45,2102594064
2024-08-01,155.0,158.9,151.6,156.0,1347074924
2024-08-02,158.0,159.25,155.3,157.6,830251380
2024-08-05,156.0,160.0,154.0,158.2,839523009
2024-08-06,156.8,159.95,156.8,159.25,1470471167
2024-08-07,159.25,160.5,157.0,159.0,866020050
2024-08-08,159.0,162.0,159.0,160.15,935992246
2024-08-09,158.6,162.85,157.4,160.7,2077807121
2024-08-12,156.0,163.9,156.0,161.4,1813549269
2024-08-13,160.0,163.95,160.0,162.5,1126625767
2024-08-14,162.15,165.0,162.15,163.5,3029265366
2024-08-15,165.0,166.0,164.3,165.7,2647419497
2024-08-16,164.25,169.0,164.25,169.0,1310946649
2024-08-19,174.95,174.95,167.0,168.35,5343065646
2024-08-20,170.0,170.0,166.85,169.7,283911193
2024-08-21,169.8,171.2,164.6,170.4,2195412122
2024-08-22,172.5,172.5,169.55,171.4,1309806231
2024-08-23,172.9,172.9,170.05,171.9,969161234
2024-08-26,172.8,172.95,171.5,172.9,1111539529
2024-08-27,172.1,177.0,172.1,175.0,887007130
2024-08-28,176.0,177.0,173.65,175.2,1748201937
2024-08-29,173.05,177.95,173.05,175.0,2750651610
2024-08-30,177.95,177.95,172.05,174.9,611642230
2024-09-02,172.0,176.25,172.0,174.25,671800479
2024-09-03,174.0,175.75,173.5,174.2,251120045
2024-09-04,173.0,175.45,173.0,174.0,872823697
2024-09-05,176.5,176.5,173.3,175.0,299022728
2024-09-06,173.0,176.45,173.0,175.25,423194134
2024-09-09,177.0,177.0,173.1,174.75,600435374
2024-09-10,174.95,176.0,173.05,175.25,452964373
2024-09-11,173.55,178.0,173.55,176.65,575292297
2024-09-12,175.0,183.5,175.0,176.9,728491779
2024-09-13,177.3,179.45,177.3,178.25,1715807391
2024-09-16,179.35,179.35,176.55,178.0,677731380
2024-09-17,180.0,180.0,176.6,177.3,575690913
2024-09-18,179.5,179.5,175.15,176.6,715519656
2024-09-19,174.1,178.95,174.1,176.25,347354258
2024-09-20,178.25,178.25,175.15,177.0,1686710959
2024-09-23,177.55,179.0,174.25,177.4,1447327940
2024-09-24,178.5,183.0,176.0,178.55,449381742
2024-09-25,180.0,180.0,176.7,178.3,750516261
2024-09-26,179.5,179.5,176.55,178.8,1339761972
2024-09-27,180.4,180.4,177.0,178.9,3253055408
2024-09-30,180.75,190.0,177.05,179.5,696221155
2024-10-01,179.5,181.0,177.0,179.75,1872734624
2024-10-02,179.05,182.05,179.05,180.5,191586242
2024-10-03,180.7,183.65,179.75,180.75,614650318
2024-10-04,180.75,181.5,179.75,181.2,91662248
2024-10-07,181.2,182.35,177.6,181.4,879743541
2024-10-08,183.0,183.0,181.5,181.55,1355437570
2024-10-09,185.0,187.0,181.6,183.0,1243953717
2024-10-10,188.4,188.4,182.15,183.25,852240320
2024-10-14,188.2,199.75,181.85,182.9,282427300
2024-10-15,184.0,184.0,180.25,182.0,1414080538
2024-10-16,181.05,186.9,178.4,180.25,1074987892
2024-10-17,182.0,182.0,179.35,179.9,1729259193
2024-10-18,180.75,180.95,178.75,180.0,693974068
2024-10-21,181.95,181.95,178.5,179.95,640038874
2024-10-22,181.95,181.95,179.1,179.95,1177875757
2024-10-23,181.0,181.0,179.75,180.25,1442781783
2024-10-24,181.0,181.0,177.05,180.15,2134519637
2024-10-25,180.5,181.65,179.55,181.5,3224648831
2024-10-28,183.65,183.65,180.45,182.0,8984332680
2024-10-29,184.0,184.0,182.0,182.5,8421522217
2024-10-30,183.95,183.95,182.6,183.0,3637544480
2024-10-31,183.05,185.0,183.05,184.4,2024655589
2024-11-01,186.5,189.8,185.05,187.95,3903836930
2024-11-04,192.7,192.7,187.55,189.4,2885723828
2024-11-05,193.0,193.0,188.05,188.6,2920693932
2024-11-06,188.6,190.0,180.05,189.75,26300861
2024-11-07,188.45,190.0,188.4,189.4,277268686
2024-11-08,189.0,193.2,187.25,190.5,1246951162
2024-11-11,190.05,192.8,186.0,191.3,2818241430
2024-11-12,189.55,193.0,189.55,191.15,893970345
2024-11-13,194.5,194.9,190.5,194.25,6875977179
2024-11-14,197.95,199.0,192.55,194.6,1377630919
2024-11-15,198.75,198.75,194.7,195.5,1930491479
2024-11-19,194.15,205.0,194.15,195.05,723113874
2024-11-20,195.0,199.95,192.65,195.4,936704482
2024-11-21,195.7,198.9,194.05,195.65,1636087144
2024-11-22,198.0,198.0,195.05,196.0,354330695
2024-11-25,198.0,200.0,195.3,196.2,2178118529
2024-11-26,193.75,198.0,193.75,195.9,800326541
2024-11-27,193.8,200.0,192.9,196.1,1697293205
2024-11-28,196.1,200.0,195.2,196.5,1062072893
2024-11-29,200.8,200.8,194.4,196.65,1973213947
2024-12-02,199.9,201.35,194.15,196.3,2472053519
2024-12-03,195.0,198.35,195.0,196.85,1046508985
2024-12-04,196.8,198.0,194.55,195.75,522169847
2024-12-05,198.05,198.05,194.85,195.7,260311162
2024-12-06,195.75,203.5,194.2,197.4,334287067
2024-12-09,203.25,203.25,197.0,197.4,508951855
2024-12-10,198.0,200.9,195.35,197.15,1950957881
2024-12-11,197.7,197.75,196.1,196.9,1930292298
2024-12-12,199.5,199.5,196.05,197.15,2086673478
2024-12-13,196.05,199.35,196.05,198.85,6823297533
2024-12-16,197.9,199.8,197.9,198.6,3508076789
2024-12-17,199.6,199.6,198.1,198.7,1941532188
2024-12-18,199.5,199.65,197.75,199.0,2606648826
2024-12-19,199.7,199.7,199.05,199.5,3029572127
2024-12-20,200.0,203.0,199.9,200.7,1843781393
2024-12-23,204.9,204.9,200.05,201.25,3223365924
2024-12-24,201.25,203.0,199.2,201.25,16320165
