Date,Open,High,Low,Close,Volume
2024-04-10,137.9,145.0,137.0,143.0,3370504701
2024-04-11,143.0,153.0,143.0,151.0,859105885
2024-04-12,152.0,153.15,147.25,148.5,3673177683
2024-04-15,149.5,149.75,147.7,147.7,1988680609
2024-04-16,150.0,152.5,147.2,147.95,2989529868
2024-04-17,150.0,150.0,147.6,148.0,3131100287
2024-04-18,153.65,153.65,148.25,149.0,7764702165
2024-04-19,151.0,151.0,148.7,149.0,10613133646
2024-04-22,149.5,151.5,148.0,149.0,12648377184
2024-04-23,150.75,150.75,148.8,149.5,7713634372
2024-04-24,149.35,149.9,142.0,149.3,7944650995
2024-04-25,148.0,151.0,148.0,151.0,5020648903
2024-04-26,151.0,151.0,138.65,144.6,472152450
2024-04-29,140.5,148.75,140.0,144.0,427421419
2024-04-30,140.0,148.0,135.0,139.0,1117340582
2024-05-02,135.0,144.4,135.0,141.5,83587448
2024-05-03,137.5,142.0,132.65,137.9,639472237
2024-05-06,136.6,143.7,134.0,143.5,219164037
2024-05-07,142.5,150.0,139.5,143.5,66093781
2024-05-08,142.5,147.0,139.7,141.0,107182733
2024-05-09,142.0,145.4,141.65,144.5,520609100
2024-05-10,143.5,147.0,142.0,145.0,473459833
2024-05-13,143.6,145.25,141.5,144.5,7416658
2024-05-14,145.0,146.1,141.8,143.15,55310803
2024-05-15,145.0,149.0,141.0,148.9,741809
2024-05-16,149.0,149.0,147.5,148.5,2242435
2024-05-17,151.0,151.0,140.0,142.0,2557709
2024-05-20,142.0,147.95,142.0,149.0,18898241
2024-05-21,149.0,151.5,140.4,144.5,76527387
2024-05-22,144.45,144.45,140.0,139.0,411001169
2024-05-23,140.0,141.0,138.0,138.0,8386781
2024-05-24,140.0,147.0,140.0,146.9,43246002
2024-05-27,151.0,151.0,143.55,143.55,87204035
2024-05-28,142.2,147.85,139.0,141.0,16084396
2024-05-29,139.0,142.9,139.0,142.9,12515382
2024-05-30,141.5,147.0,140.5,143.5,35460004
2024-05-31,144.0,148.95,138.0,148.95,21161435
2024-06-03,147.5,153.0,142.0,146.0,25982391
2024-06-04,145.0,149.35,145.0,145.0,1577615
2024-06-05,145.0,145.0,134.0,141.25,4072301060
2024-06-06,141.25,141.9,140.0,139.05,322853772
2024-06-07,140.0,140.5,138.0,139.9,166969404
2024-06-10,138.6,141.0,137.0,137.5,202917160
2024-06-11,136.5,139.5,136.5,138.0,13484593
2024-06-12,140.0,141.4,138.0,140.8,14694396
2024-06-13,139.4,148.0,138.0,140.5,799923
2024-06-14,139.2,144.0,138.1,139.0,141670392
2024-06-18,137.8,141.0,136.4,139.0,7274017
2024-06-19,136.6,143.0,136.6,140.75,304698815
2024-06-24,139.5,143.1,138.35,139.0,62399374
2024-06-25,137.8,141.0,136.5,138.75,113293145
2024-06-26,138.75,138.75,136.0,136.05,15692186
2024-06-27,136.05,136.05,134.8,136.0,541208923
2024-06-28,134.8,140.0,134.8,136.75,17618618
