Date,Open,High,Low,Close,Volume
2024-04-30,107.0,107.0,105.0,105.75,149000100
2024-05-02,106.0,106.4,104.75,105.25,860156883
2024-05-03,105.75,106.25,105.25,106.25,1507646361
2024-05-06,105.5,108.7,105.5,108.15,1951935862
2024-05-07,109.0,109.0,107.25,108.0,3313399702
2024-05-08,109.0,110.0,108.5,109.2,2033079955
2024-05-09,111.0,111.0,108.8,109.65,1266962847
2024-05-10,111.0,111.0,109.25,110.15,200668961
2024-05-13,110.1,110.5,108.6,109.75,35979236
2024-05-14,108.8,112.9,107.85,112.5,703048948
2024-05-15,110.6,113.5,109.0,110.25,200277673
2024-05-16,109.25,110.8,109.25,110.75,5406885
2024-05-17,110.75,113.5,108.6,109.7,100997879
2024-05-20,111.0,111.0,108.8,110.05,2160930854
2024-05-21,110.2,114.0,109.5,110.5,641291574
2024-05-22,111.5,111.5,107.5,108.85,1072812729
2024-05-23,108.8,110.0,108.0,109.0,610290029
2024-05-24,108.0,111.0,108.0,109.05,2104519717
2024-05-27,108.0,109.75,107.5,107.7,5311459
2024-05-28,106.8,109.0,105.1,108.9,969587179
2024-05-29,108.9,109.5,107.1,107.25,300537197
2024-05-30,110.0,110.0,107.0,108.0,52213282
2024-05-31,108.0,108.0,105.0,107.8,111734661
2024-06-03,108.8,108.8,107.8,108.15,1975440399
2024-06-04,107.5,110.5,107.5,110.15,997267623
2024-06-05,108.5,112.0,108.5,111.8,1389210891
2024-06-06,111.8,113.0,109.0,109.5,299148203
2024-06-07,108.5,112.5,107.15,109.1,2245925114
2024-06-10,110.0,110.4,108.2,109.75,3319308
2024-06-11,108.8,110.9,108.0,110.4,2074532236
2024-06-12,112.0,112.0,110.0,110.5,59310783
2024-06-13,109.4,110.5,107.75,110.5,86310916
2024-06-14,111.0,111.0,109.5,110.4,71041457
2024-06-18,110.0,110.9,108.5,108.5,28354266
2024-06-19,109.0,110.8,109.0,109.0,5335
2024-06-24,108.0,111.0,108.0,110.0,15407152
2024-06-25,110.0,110.0,106.8,107.5,2919868970
2024-06-26,106.0,110.0,106.0,108.0,362982314
2024-06-27,107.5,108.0,105.0,108.0,339986010
2024-06-28,108.0,111.0,106.0,109.5,1236604264
2024-07-01,109.0,109.0,106.0,107.5,16763049
2024-07-02,106.5,109.0,105.5,109.0,929758
2024-07-03,109.0,111.0,109.0,110.25,61140180
2024-07-04,109.5,111.85,109.5,110.9,25131683
2024-07-05,112.0,112.2,108.8,110.75,2700853731
2024-07-08,113.4,113.4,108.6,109.75,20957387
2024-07-10,108.0,113.0,107.0,109.75,82499
2024-07-11,108.8,112.0,106.5,111.5,396112063
2024-07-12,114.0,117.0,108.5,114.0,369419392
2024-07-15,113.0,115.0,110.25,112.0,145529877
2024-07-16,113.0,113.0,111.0,111.0,827481
2024-07-17,109.0,113.0,109.0,110.0,35692827
2024-07-18,109.0,111.25,108.65,110.25,453931
2024-07-19,109.2,109.2,106.0,108.1,21077733
2024-07-22,107.2,109.9,105.5,109.55,1139192197
2024-07-23,109.5,110.5,108.5,109.6,204401930
2024-07-24,109.6,109.7,107.0,109.0,815852531
2024-07-25,109.5,109.5,105.8,109.5,41531032
2024-07-26,109.5,109.5,106.0,106.7,2283243973
2024-07-29,106.3,108.5,103.4,104.0,1691667047
2024-07-30,103.0,107.0,102.55,105.6,787644132
2024-07-31,105.9,105.9,102.25,103.9,231126872
2024-08-01,103.0,104.2,102.0,102.5,37060117
2024-08-02,102.5,106.0,102.5,105.0,596030038
2024-08-05,107.0,108.25,103.7,105.35,784092820
2024-08-06,104.4,107.0,104.4,106.0,787725499
2024-08-07,106.5,106.5,105.9,106.3,1211005845
2024-08-08,105.5,107.8,105.5,106.75,326973995
2024-08-09,107.5,107.5,106.25,107.25,915329624
2024-08-12,108.5,109.0,107.25,108.0,1247524449
2024-08-13,107.75,109.5,107.75,109.0,1238450916
2024-08-14,108.0,111.0,108.0,110.0,721497482
2024-08-15,109.0,112.5,108.65,111.5,2178358597
2024-08-16,112.4,116.0,110.4,114.5,5022628535
2024-08-19,115.9,115.9,112.5,113.75,554657014
2024-08-20,112.8,115.35,112.5,114.5,1175084849
2024-08-21,115.5,116.9,114.2,115.0,163735037
2024-08-22,115.0,115.9,112.8,115.2,663714511
2024-08-23,114.5,117.0,114.5,116.0,61463929
2024-08-26,114.1,117.0,114.0,116.5,293888688
2024-08-27,117.5,118.0,116.0,117.0,162777189
2024-08-28,116.25,119.0,116.25,117.75,144774460
2024-08-29,119.0,119.0,117.25,117.25,5330466
