Date,Open,High,Low,Close,Volume
2024-11-01,92.0,92.0,91.2,91.2,8490475
2024-11-04,94.0,94.0,91.5,92.8,94117310
2024-11-05,92.0,96.61,92.0,96.61,3022518
2024-11-06,97.0,97.0,97.0,97.0,334809
2024-11-07,94.6,97.0,94.0,95.0,2514042
2024-11-08,95.0,95.0,93.0,93.5,1614166
2024-11-11,92.0,96.75,92.0,96.75,3762023
2024-11-12,98.0,98.0,93.5,94.6,1688763
2024-11-13,93.5,98.0,93.5,95.21,205727508
2024-11-14,95.3,98.5,95.3,98.25,4089463
2024-11-15,98.25,100.0,95.1,95.6,1127439
2024-11-19,95.2,100.0,95.2,99.75,12191723
2024-11-20,99.75,104.9,94.11,94.51,19351354
2024-11-21,94.5,100.95,94.5,96.5,115592910
2024-11-22,95.01,99.98,95.01,96.75,43083495
2024-11-25,93.25,99.9,92.01,95.72,20247310
2024-11-26,99.8,102.0,95.4,97.25,238420966
2024-11-27,94.63,100.0,94.63,97.5,125757347
2024-11-28,99.98,99.98,95.04,98.0,122096435
2024-11-29,96.0,100.0,95.02,98.25,44316319
2024-12-02,100.0,101.0,95.9,96.9,39446105
2024-12-03,100.0,100.95,96.46,97.99,6745653
2024-12-04,100.0,100.95,96.5,96.75,475599052
2024-12-05,99.0,100.0,95.5,96.0,65220690
2024-12-06,100.0,100.0,96.51,97.9,11523946
2024-12-09,100.6,100.6,95.5,98.4,37300691
2024-12-10,100.0,101.6,96.3,100.5,36442418
2024-12-11,100.6,100.65,95.6,98.0,4927396
2024-12-12,95.0,99.99,95.0,99.99,23496607
2024-12-13,104.9,105.0,97.01,102.3,10797292
2024-12-16,102.7,105.0,98.16,99.9,9169110
2024-12-17,100.2,102.8,98.15,102.35,4005055
2024-12-18,102.55,102.55,96.77,100.0,37890343
2024-12-19,100.3,100.8,98.35,100.7,17105904
2024-12-20,100.6,100.6,97.01,99.99,8685353
2024-12-23,100.5,100.6,97.02,99.38,20756656
2024-12-24,99.8,100.9,98.1,100.8,2768748
2024-12-26,100.9,107.0,99.22,101.5,61333106
2024-12-27,105.5,105.5,100.0,102.0,29407997
2024-12-30,101.8,102.0,101.5,101.9,868848
2025-01-02,101.0,103.45,98.5,101.4,150983964
2025-01-03,101.6,101.6,99.21,101.4,1197922
2025-01-06,101.7,101.8,99.2,101.35,1262518
2025-01-07,101.8,102.3,99.2,101.9,15178977
2025-01-08,102.4,102.4,100.1,102.0,760657
2025-01-09,102.4,106.0,99.9,102.15,1736784
2025-01-10,105.9,106.0,100.6,102.3,772620
2025-01-13,102.45,106.0,102.0,103.2,17819126
2025-01-14,103.4,105.0,102.0,104.0,783732772
2025-01-15,109.0,112.0,102.15,104.0,27782928
2025-01-16,106.0,106.0,102.15,105.0,879664
2025-01-17,105.5,105.5,102.15,104.95,19024880
2025-01-20,105.1,105.1,101.95,104.95,28003991
2025-01-21,102.25,107.0,102.25,104.7,145163944
2025-01-22,105.0,105.0,104.0,104.9,5739794
2025-01-23,105.0,105.9,103.1,104.4,105166795
2025-01-24,104.5,105.0,103.5,104.35,70199084
2025-01-27,108.0,108.0,103.55,104.75,5729137
2025-01-28,104.7,105.0,102.4,104.9,10068280
2025-01-29,104.0,105.3,104.0,104.95,35094346
2025-01-30,104.05,105.2,104.05,105.2,30988849
2025-01-31,105.35,105.95,105.0,105.85,215193616
2025-02-03,106.0,106.0,104.1,105.95,41266861
2025-02-04,106.2,106.2,104.5,106.1,11353458
2025-02-05,106.3,106.3,104.55,106.3,4929280
2025-02-06,106.3,109.0,105.8,106.55,4371765
2025-02-07,106.6,109.9,106.6,106.9,13630754
2025-02-10,107.1,109.85,106.0,107.0,36166692
2025-02-11,104.6,109.7,104.6,107.0,17641668
2025-02-12,106.05,117.0,106.05,108.0,7427160
2025-02-13,108.2,109.9,106.75,108.1,15099036
2025-02-14,108.3,113.1,108.3,108.55,74306375
2025-02-17,108.6,110.0,104.95,108.0,5849638
2025-02-18,107.35,109.6,106.75,108.95,4895052
2025-02-19,109.0,110.0,106.1,108.6,28213241
2025-02-20,108.8,110.0,106.65,107.5,94793568
2025-02-21,107.8,109.65,106.05,107.95,8080765
2025-02-24,109.6,109.6,106.05,107.15,51965354
2025-02-25,107.15,108.45,106.55,108.45,18104810
2025-02-26,108.4,109.7,106.75,109.7,5230661
2025-02-27,109.9,109.9,106.1,108.0,10094313
2025-02-28,109.0,114.5,106.05,107.75,3374724
2025-03-05,107.0,108.0,105.0,108.0,6309971
2025-03-06,107.0,107.05,105.4,107.05,11297773
2025-03-07,104.25,108.0,104.25,105.0,6630357
2025-03-10,106.0,108.4,104.4,107.95,30415085
2025-03-11,107.9,107.9,106.05,107.5,29362210
2025-03-12,107.0,108.9,105.2,107.5,22110795
2025-03-13,107.7,108.25,106.45,107.15,1125661766
2025-03-14,106.3,108.25,106.3,107.75,491563938
2025-03-17,109.5,109.5,105.2,107.85,18668507
2025-03-18,108.2,110.0,106.5,110.0,89102169
2025-03-19,112.0,112.0,107.25,108.65,115312442
2025-03-20,109.5,109.5,105.5,108.9,752248024
2025-03-21,109.9,109.9,106.15,109.4,39189200
2025-03-25,109.6,109.85,108.3,109.3,10107983
2025-03-26,108.2,112.0,107.35,109.0,15811605
2025-03-27,109.3,110.8,107.3,109.35,35150148
2025-03-28,109.95,110.0,108.7,109.65,421374747
2025-03-31,110.0,110.0,108.05,109.9,516715735
2025-04-01,110.0,112.0,110.0,111.0,307430252
2025-04-03,113.0,116.0,110.0,111.3,842608637
2025-04-04,113.1,113.1,108.5,112.0,89387603
2025-04-07,112.0,114.0,108.25,111.8,342862070
2025-04-08,111.0,113.0,111.0,111.3,479755193
2025-04-09,114.0,115.0,108.25,112.0,197908379
2025-04-10,113.0,113.0,108.0,111.9,1496404668
2025-04-11,112.1,118.0,112.0,115.0,362161887
2025-04-14,115.0,120.0,115.0,115.4,2023616863
2025-04-15,120.0,122.0,115.5,115.75,957269133
2025-04-16,118.0,125.0,115.5,116.5,768265110
2025-04-21,121.0,122.2,113.05,115.9,229795488
2025-04-22,115.9,118.0,112.55,113.45,1000474
2025-04-23,118.0,118.0,112.5,114.5,1532812607
2025-04-24,111.0,116.95,111.0,114.25,406648443
2025-04-25,116.0,116.0,113.35,114.1,1338130053
2025-04-28,113.85,116.0,113.85,114.1,7415328589
2025-04-29,114.5,114.5,112.1,113.0,2335605543
2025-04-30,113.2,115.0,112.15,114.1,1484157426
2025-05-05,114.0,115.25,113.5,114.2,653037516
2025-05-06,114.9,115.4,112.05,114.6,3369123403
2025-05-07,114.8,117.0,113.45,114.85,221178771
2025-05-08,114.9,116.0,114.1,115.0,1578699323
2025-05-09,115.3,115.95,113.05,115.4,2350053466
2025-05-12,115.6,116.0,114.55,115.2,2489530945
2025-05-13,115.5,116.45,113.25,115.3,3981733921
2025-05-14,115.5,116.0,115.0,115.5,2557549135
2025-05-15,116.0,118.95,114.4,116.25,8966510099
2025-05-16,117.0,117.0,116.2,116.45,3953810276
2025-05-19,119.9,120.9,115.1,116.5,4252059652
2025-05-20,116.8,116.8,116.35,116.55,491817643
2025-05-21,120.0,120.0,116.1,116.6,6617777102
2025-05-22,116.6,118.15,116.3,116.75,1123823286
2025-05-23,116.7,117.5,115.25,116.95,5477128676
2025-05-26,119.0,119.0,116.95,117.25,618674725
2025-05-27,121.0,121.0,117.0,117.15,841962291
2025-05-28,117.5,121.0,117.2,117.45,1701980511
2025-05-29,118.5,118.5,117.2,117.75,1734553295
2025-05-30,117.7,118.25,117.2,117.9,11369722934
2025-06-02,118.9,120.0,117.4,118.2,1497111402
2025-06-03,117.95,119.5,117.25,118.0,3342817081
2025-06-04,118.2,119.75,117.45,117.5,2673444271
2025-06-05,119.5,119.5,117.45,117.8,2489314682
2025-06-06,118.5,120.65,117.5,118.05,1553842549
2025-06-09,119.5,119.5,117.55,117.85,314747410
2025-06-10,118.45,118.45,116.2,117.75,3535501289
2025-06-11,118.5,122.0,117.6,117.95,3491663465
2025-06-12,118.5,118.5,117.3,117.6,2830257778
2025-06-13,118.85,118.85,117.75,118.15,5426498305
2025-06-17,118.15,119.35,117.6,118.2,1984325665
2025-06-18,118.9,118.9,117.5,118.35,3688936471
2025-06-19,119.0,119.0,118.1,118.65,4004984056
