Date,Open,High,Low,Close,Volume
2024-10-31,95.0,95.0,94.1,94.4,199528307
2024-11-01,94.4,96.5,94.4,96.5,4516164458
2024-11-04,100.0,100.0,95.5,96.99,542497414
2024-11-05,96.0,97.0,96.0,96.25,589598308
2024-11-06,97.0,97.5,97.0,97.2,548126
2024-11-07,99.0,99.0,94.0,96.5,1521043859
2024-11-08,99.0,99.5,94.25,97.5,1923055257
2024-11-11,94.5,98.7,94.0,97.85,645250217
2024-11-12,99.5,99.5,97.1,98.0,1857061290
2024-11-13,99.7,101.35,95.0,99.1,5911010120
2024-11-14,100.0,100.0,97.8,99.2,2756804423
2024-11-15,100.1,101.0,98.0,100.35,2749007795
2024-11-19,101.5,101.5,99.5,100.4,19487089
2024-11-20,99.7,101.0,99.7,100.25,25211299
2024-11-21,100.0,101.0,99.0,100.35,428588515
2024-11-22,103.0,103.0,99.55,100.5,115328338
2024-11-25,99.0,103.0,99.0,100.95,423432343
2024-11-26,101.0,101.5,99.0,99.9,61917379
2024-11-27,100.0,103.0,99.1,101.0,5219478
2024-11-28,105.9,105.9,94.0,100.3,97788890
2024-11-29,100.3,101.0,98.31,100.5,576812678
2024-12-02,102.0,102.0,100.5,101.4,338023602
2024-12-03,101.3,102.0,100.1,100.25,224895585
2024-12-04,101.95,102.95,100.0,101.0,363509080
2024-12-05,101.5,101.5,95.1,100.6,330780344
2024-12-06,102.5,105.0,100.05,101.5,926882794
2024-12-09,102.5,102.5,98.1,101.4,333837511
2024-12-10,98.8,103.5,98.8,102.5,259111371
2024-12-11,104.5,105.0,98.01,103.0,312245723
2024-12-12,104.0,104.0,100.05,101.9,731420072
2024-12-13,103.25,103.25,100.1,101.5,154177732
2024-12-16,101.5,104.0,99.6,101.6,5141351462
2024-12-17,104.0,104.0,101.2,102.5,1764799861
2024-12-18,102.5,104.5,101.5,102.4,157393675
2024-12-19,104.7,104.7,101.25,102.0,215686250
2024-12-20,102.0,103.0,102.0,102.75,1697800997
2024-12-23,101.0,104.7,100.2,103.5,393705506
2024-12-24,106.0,106.0,101.0,105.5,976485
2024-12-26,105.4,106.0,102.1,103.0,1953170292
2024-12-27,105.0,109.0,101.8,107.0,604508473
2024-12-30,108.0,109.05,101.85,104.0,611238519
2025-01-02,104.0,110.05,101.3,102.8,895522511
2025-01-03,101.9,105.25,101.9,105.25,457926860
2025-01-06,110.0,110.0,103.0,105.5,12530187
2025-01-07,107.5,107.5,102.1,105.9,25154353
2025-01-08,105.9,110.0,103.55,106.0,508028115
2025-01-09,109.0,110.0,104.5,105.65,1506964337
2025-01-10,102.6,108.5,102.6,105.75,1358608
2025-01-13,104.8,112.1,104.8,104.95,15439063
2025-01-14,105.0,111.2,103.65,106.5,3222575985
2025-01-15,109.6,111.0,104.7,107.5,6019697
2025-01-16,111.5,111.5,104.75,107.45,15001192
2025-01-17,108.0,108.0,105.05,107.0,6417243
2025-01-20,104.05,108.9,104.05,106.25,5660213
2025-01-21,109.4,109.9,105.05,107.0,155913572
2025-01-22,110.2,110.2,105.35,107.5,56577732
2025-01-23,105.2,111.0,105.2,108.0,998197183
2025-01-24,106.05,111.0,106.05,108.9,4830184
2025-01-27,108.9,112.0,105.75,107.0,10386260
2025-01-28,109.95,110.0,107.0,107.2,53842278
2025-01-29,110.4,111.0,107.1,108.0,450753702
2025-01-30,109.95,109.95,107.15,108.0,63435427
2025-01-31,112.0,113.1,107.3,108.05,30482115
2025-02-03,107.5,118.5,107.45,108.0,916001420
2025-02-04,107.8,110.5,107.8,108.5,299295872
2025-02-05,108.55,110.0,108.3,108.5,1042471871
2025-02-06,108.25,112.9,108.2,111.0,47921483
2025-02-07,111.0,111.0,108.2,108.65,476913850
2025-02-10,108.65,109.85,108.55,109.15,2268787914
2025-02-11,108.65,109.95,107.5,109.1,842300284
2025-02-12,109.8,109.8,108.55,109.25,1980497684
2025-02-13,110.05,110.05,108.75,109.4,5409706747
2025-02-14,109.5,110.3,108.8,110.3,2937589613
2025-02-17,110.3,110.85,109.25,110.05,1123842883
2025-02-18,110.1,112.0,109.5,109.65,3220946733
2025-02-19,107.35,112.5,107.35,109.85,1264072164
2025-02-20,109.85,110.5,109.4,110.2,723403733
2025-02-21,111.0,111.0,108.7,110.4,311199320
2025-02-24,110.4,111.5,107.9,110.25,993811790
2025-02-25,110.3,111.5,107.9,110.15,795953929
2025-02-26,111.35,111.4,109.5,110.45,768409216
2025-02-27,111.5,111.5,110.0,110.0,2636707585
2025-02-28,110.0,111.5,110.0,110.8,9351362887
2025-03-05,110.0,112.0,110.0,110.95,5752641280
2025-03-06,111.0,111.25,109.0,111.0,12125422280
2025-03-07,109.9,111.5,109.9,111.5,7097814655
2025-03-10,110.35,112.0,110.35,111.3,1516606600
2025-03-11,110.5,112.0,110.5,111.35,1818843391
2025-03-12,110.05,111.95,110.05,111.45,39919840842
2025-03-13,110.7,112.0,110.7,111.75,7440818549
2025-03-14,111.6,112.5,111.5,112.15,3948354393
2025-03-17,112.15,113.0,111.05,112.3,2141640238
2025-03-18,110.65,113.0,110.65,112.0,3633424511
2025-03-19,112.8,112.8,110.45,113.0,12535217674
2025-03-20,115.0,115.0,111.95,112.6,9270671871
2025-03-21,113.1,113.1,112.0,112.8,2525783591
2025-03-25,113.0,114.55,112.25,112.9,3151397835
2025-03-26,111.65,113.9,111.65,112.95,6160477740
2025-03-27,112.9,113.5,112.65,113.35,5906090927
2025-03-28,113.2,114.95,113.2,113.9,13551633082
2025-03-31,113.5,114.95,113.5,114.1,2604394929
2025-04-01,115.0,115.0,113.7,114.55,3672256002
2025-04-03,115.0,115.0,113.25,114.3,2973694480
2025-04-04,115.0,115.0,114.05,114.55,1238695567
2025-04-07,116.0,116.0,113.05,114.35,385260826
2025-04-08,113.25,118.0,113.25,114.75,3258434993
