Date,Open,High,Low,Close,Volume
2019-05-10,42.0,45.0,41.060001,41.57,186322500
2019-05-13,38.790001,39.240002,36.080002,37.099998,79442400
2019-05-14,38.310001,39.959999,36.849998,39.959999,46661100
2019-05-15,39.369999,41.880001,38.950001,41.290001,36086100
2019-05-16,41.48,44.060001,41.25,43.0,38115500
2019-05-17,41.98,43.290001,41.27,41.91,20225700
2019-05-20,41.189999,41.68,39.459999,41.59,29222300
2019-05-21,42.0,42.240002,41.25,41.5,10802900
2019-05-22,41.049999,41.279999,40.5,41.25,9089500
2019-05-23,40.799999,41.09,40.02,40.470001,11119900
2019-05-24,41.279999,41.509998,40.5,41.509998,8786800
2019-05-28,41.700001,41.799999,40.599998,40.950001,13391600
2019-05-29,40.52,40.709999,39.146999,39.939999,14060400
2019-05-30,40.07,40.380001,39.5,39.799999,26451900
2019-05-31,41.150002,41.57,39.41,40.41,23209800
2019-06-03,40.743999,41.849998,40.240002,41.25,16605300
2019-06-04,42.560001,42.880001,40.700001,42.75,23432100
2019-06-05,42.869999,45.66,42.5,45.0,28609600
2019-06-06,45.0,45.75,44.279999,44.919998,16403700
2019-06-07,44.919998,45.669998,44.130001,44.16,12654700
2019-06-10,44.02,44.59,42.529999,42.610001,11618700
2019-06-11,43.220001,43.650002,41.799999,42.450001,9095000
2019-06-12,42.52,42.650002,41.709999,42.169998,5965300
2019-06-13,43.049999,44.349998,42.799999,44.310001,10178900
2019-06-14,44.75,44.799999,43.110001,43.23,7902200
2019-06-17,43.279999,44.078999,42.93,43.779999,6557600
2019-06-18,44.299999,44.889999,43.75,43.860001,7313600
2019-06-19,44.459999,45.5,43.950001,44.860001,10331500
2019-06-20,45.029999,45.290001,43.509998,43.860001,9567400
2019-06-21,43.849998,44.139999,43.380001,44.0,4974000
2019-06-24,44.0,44.07,42.82,43.09,5985100
2019-06-25,43.279999,43.790001,42.443001,43.09,5753300
2019-06-26,43.25,43.400002,42.360001,42.5,8109100
2019-06-27,43.349998,45.299999,43.200001,45.130001,20155100
2019-06-28,45.099998,47.080002,45.080002,46.380001,28657000
2019-07-01,46.98,47.040001,44.060001,44.27,17660500
2019-07-02,44.549999,44.68,43.75,44.0,11881300
2019-07-03,44.0,44.459999,43.790001,44.23,3380000
2019-07-05,44.310001,44.549999,43.009998,43.529999,8239500
2019-07-08,43.59,43.849998,42.75,42.950001,9304100
2019-07-09,43.18,44.23,42.98,44.200001,5251600
2019-07-10,44.48,44.799999,43.560001,43.700001,9746500
2019-07-11,44.099998,44.290001,43.310001,43.990002,8050900
2019-07-12,44.16,44.240002,43.389999,43.990002,8760500
2019-07-15,44.200001,44.700001,43.970001,44.529999,5811200
2019-07-16,44.599998,44.98,44.02,44.130001,5613300
2019-07-17,44.060001,44.349998,43.52,43.619999,5854100
2019-07-18,43.5,43.849998,43.189999,43.709999,4078700
2019-07-19,43.900002,44.085999,43.16,43.18,4021000
2019-07-22,43.25,43.720001,43.009998,43.689999,3815300
2019-07-23,43.75,44.310001,43.110001,43.360001,5110100
2019-07-24,43.360001,43.869999,43.360001,43.759998,3775700
2019-07-25,43.720001,43.959999,43.209999,43.400002,4412000
2019-07-26,43.419998,44.959999,43.389999,44.52,7598800
2019-07-29,45.0,45.626999,43.119999,43.880001,8652200
2019-07-30,43.709999,43.740002,42.490002,42.59,7686300
2019-07-31,42.599998,42.98,41.84,42.139999,5970800
2019-08-01,42.139999,42.535999,41.0,41.310001,7349700
2019-08-02,41.029999,41.060001,39.950001,40.400002,8225700
2019-08-05,39.349998,39.419998,38.432999,39.049999,9799300
2019-08-06,39.68,40.807999,38.360001,39.150002,8570300
