Date,Open,High,Low,Close,Volume
2021-03-07,1646.0,1646.0,1645.0,1645.0,141
2021-03-08,1670.0,1670.0,1633.0,1660.5,36
2021-03-09,1659.5,1659.5,1610.0,1610.0,29
2021-03-10,1601.0,1620.0,1520.0,1620.0,712
2021-03-11,1632.0,1635.0,1610.0,1610.0,183929
2021-03-14,1624.5,1624.5,1587.0,1600.5,66
2021-03-15,1629.0,1631.5,1612.5,1612.5,69
2021-03-16,1637.0,1649.0,1624.0,1637.0,146143
2021-03-17,1656.5,1685.0,1623.0,1659.5,90516
2021-03-18,1700.0,1700.0,1640.5,1677.0,407
2021-03-21,1689.0,1689.0,1653.0,1673.0,145823
2021-03-22,1685.5,1689.0,1669.0,1679.5,1064
2021-03-24,1679.5,1679.5,1620.0,1645.5,109
2021-03-25,1677.0,1677.0,1653.0,1664.0,179835
2021-03-28,1675.0,1699.0,1654.5,1699.0,82
2021-03-29,1750.0,1750.0,1652.5,1669.0,51
2021-03-30,1673.0,1688.0,1659.0,1680.5,128
2021-04-04,1671.5,1680.5,1657.5,1675.0,115861
2021-04-05,1667.5,1668.0,1620.5,1655.0,298
2021-04-06,1673.0,1676.0,1657.0,1661.5,120836
2021-04-07,1687.5,1702.0,1664.0,1675.0,77194
2021-04-08,1708.5,1735.5,1708.5,1729.0,140763
2021-04-11,1750.0,1776.0,1732.5,1746.0,56695
2021-04-12,1766.5,1766.5,1721.0,1736.0,38709
2021-04-13,1750.0,1780.0,1730.0,1737.5,42978
2021-04-14,1767.5,1832.0,1767.5,1799.0,67323
2021-04-15,1780.0,1808.5,1778.5,1804.5,1142
2021-04-18,1826.5,1826.5,1787.5,1803.0,338
2021-04-19,1830.0,1899.0,1801.5,1847.0,49468
2021-04-20,1871.0,1898.0,1835.5,1865.0,31267
2021-04-21,1856.5,1913.0,1836.5,1913.0,14792
2021-04-22,1849.0,1881.0,1835.0,1880.5,313
2021-04-25,1868.0,1869.5,1858.0,1865.5,545
2021-04-26,1820.0,1875.0,1820.0,1875.0,3250
2021-04-27,1876.0,1902.5,1871.0,1885.5,144550
2021-04-28,1900.0,1930.5,1888.5,1926.0,320
2021-04-29,1928.5,1929.0,1902.0,1911.0,239
2021-05-02,1938.0,1995.0,1935.0,1970.5,14216
2021-05-03,1970.0,2017.0,1951.0,1988.0,22846
2021-05-04,1984.0,2050.0,1974.0,1995.5,45319
2021-05-05,2000.0,2053.0,1992.0,2031.0,76051
2021-05-06,2038.5,2038.5,1998.0,2020.0,225
2021-05-09,2020.0,2053.0,2001.5,2027.0,623
2021-05-10,1997.0,1997.0,1966.0,1971.5,173
2021-05-11,1983.0,1983.0,1938.0,1951.5,883
2021-05-12,1974.5,1991.5,1960.0,1986.5,947
2021-05-13,1984.0,1985.0,1961.0,1980.5,77883
2021-05-16,1997.5,2003.5,1963.0,1998.0,353
2021-05-17,1989.0,2036.0,1960.0,2027.5,873
2021-05-18,2017.5,2032.5,1985.0,2032.5,249
2021-05-19,2035.0,2058.0,2015.5,2050.0,73119
2021-05-20,2060.0,2084.5,2060.0,2078.5,130
2021-05-25,2061.5,2077.0,2033.0,2061.5,16400
2021-05-26,2100.0,2100.0,2051.5,2066.0,56787
2021-05-27,2089.0,2089.0,2041.5,2068.5,575
2021-05-30,2100.0,2175.0,2055.0,2067.0,106
2021-05-31,2055.0,2068.0,2041.0,2057.0,1718
2021-06-01,2060.0,2072.5,2032.5,2068.5,68645
2021-06-02,2040.0,2090.5,2035.0,2077.5,1079
2021-06-03,2081.0,2084.0,2050.0,2058.5,16476
2021-06-06,2056.0,2056.0,2006.0,2010.5,868
2021-06-07,2002.5,2040.5,2002.0,2031.5,167
2021-06-08,2040.0,2053.0,2010.0,2032.5,8
2021-06-09,2046.5,2046.5,1984.0,2024.5,41053
2021-06-10,2021.5,2021.5,1975.0,1995.0,221
2021-06-13,1999.0,1999.0,1964.0,1992.0,16888
2021-06-14,1989.0,2010.0,1977.0,2010.0,64
2021-06-15,2005.0,2019.0,1989.5,1999.0,1
2021-06-16,1998.0,2024.0,1984.5,2017.0,16901
2021-06-17,1979.0,1994.0,1975.0,1987.0,20996
2021-06-21,2022.0,2095.0,2021.0,2087.0,29757
2021-06-22,2034.0,2037.0,2015.0,2032.0,83547
2021-06-23,2062.0,2062.0,2037.0,2048.0,65264
2021-06-24,2048.0,2129.0,2048.0,2101.5,1532
2021-06-27,2081.5,2090.5,2052.0,2075.0,1097
2021-06-28,2090.0,2095.0,2039.5,2058.0,53805
2021-06-30,2111.5,2138.0,2083.0,2126.5,857
2021-07-01,2140.0,2154.0,2124.5,2151.0,745
2021-07-04,2150.0,2197.5,2150.0,2166.0,213
2021-07-05,2160.0,2170.0,2130.0,2157.0,3699
2021-07-07,2170.0,2174.0,2135.0,2170.0,681
2021-07-11,2229.0,2229.0,2153.5,2161.0,435
2021-07-12,2169.0,2187.0,2169.0,2185.5,46074
2021-07-14,2180.0,2230.5,2158.5,2229.0,25038
2021-07-15,2232.5,2246.5,2220.0,2229.5,2373
2021-07-18,2239.0,2239.0,2103.5,2199.0,960
2021-07-19,2210.0,2278.5,2210.0,2237.0,1351
2021-07-20,2250.0,2262.0,2232.0,2259.5,1195
2021-07-21,2231.0,2276.0,2231.0,2260.0,45976
2021-07-22,2295.5,2295.5,2276.0,2283.5,1572
2021-07-25,2245.0,2273.5,2239.5,2255.5,135032
2021-07-26,2253.0,2273.5,2141.0,2267.0,24322
2021-07-27,2261.0,2285.0,2232.0,2285.0,74664
2021-07-28,2258.5,2267.5,2238.0,2255.5,1227
2021-07-29,2255.0,2278.5,2246.5,2265.0,196
2021-08-01,2270.0,2295.5,2262.0,2289.5,1580
2021-08-02,2290.0,2317.0,2280.5,2304.0,868
2021-08-03,2339.0,2339.0,2285.0,2293.5,3053
2021-08-04,2263.5,2263.5,2201.0,2234.0,60033
2021-08-05,2270.0,2270.0,2220.0,2233.5,27332
2021-08-08,2280.0,2280.0,2201.5,2202.0,70127
2021-08-09,2220.0,2221.5,2199.0,2220.5,210
2021-08-10,2217.5,2220.0,2181.0,2182.0,60309
2021-08-11,2185.0,2195.5,2142.0,2149.5,1912
2021-08-12,2152.0,2216.0,2145.0,2189.5,378
2021-08-16,2226.5,2289.0,2226.5,2270.0,384
2021-08-17,2262.0,2262.0,2237.5,2256.0,272
2021-08-18,2278.5,2339.0,2278.5,2339.0,3066
2021-08-19,2337.0,2347.0,2318.5,2339.0,949
2021-08-22,2300.0,2327.5,2268.5,2300.0,4329
2021-08-23,2271.0,2274.0,2250.0,2263.0,752
2021-08-24,2234.5,2263.0,2234.5,2249.0,60581
2021-08-25,2246.0,2260.0,2220.0,2258.5,1264
2021-08-26,2210.5,2271.5,2210.5,2255.0,248
2021-08-29,2361.0,2361.0,2210.0,2226.0,378
2021-08-30,2255.5,2256.0,2216.0,2230.0,18990
2021-08-31,2215.0,2259.0,2194.0,2251.0,5706
2021-09-01,2256.0,2293.5,2256.0,2290.5,278
2021-09-02,2293.0,2293.0,2265.5,2290.5,527
2021-09-05,2290.5,2299.0,2290.0,2299.0,49
2021-09-06,2278.0,2278.0,2261.0,2275.5,530
2021-09-07,2277.0,2305.5,2240.0,2242.0,3070
2021-09-08,2272.5,2288.5,2249.0,2287.5,908
2021-09-09,2244.5,2287.5,2210.0,2234.0,42414
2021-09-12,2234.0,2271.5,2160.0,2215.5,286
2021-09-13,2219.0,2300.5,2219.0,2246.0,27750
2021-09-14,2255.0,2286.5,2243.5,2259.5,220
2021-09-15,2240.0,2290.0,2216.0,2258.0,419
2021-09-16,2298.0,2316.0,2291.0,2315.0,507
2021-09-19,2315.0,2322.5,2257.0,2261.0,3364
2021-09-20,2200.5,2341.0,2200.5,2314.5,323
2021-09-21,2322.0,2328.5,2300.0,2315.0,80
2021-09-22,2352.0,2355.5,2347.0,2350.0,135
2021-09-23,2350.0,2371.5,2350.0,2369.5,2993
2021-09-26,2380.0,2387.5,2359.0,2377.0,4043
2021-09-27,2380.0,2380.0,2342.5,2361.5,1093
2021-09-28,2334.0,2373.5,2334.0,2368.0,554
2021-09-29,2360.0,2360.0,2268.5,2284.0,167
2021-09-30,2299.0,2340.0,2237.5,2302.0,2138
2021-10-03,2253.5,2339.5,2245.0,2264.5,872
2021-10-04,2257.0,2300.5,2257.0,2289.5,292
2021-10-05,2287.5,2300.0,2244.0,2284.0,332
2021-10-06,2357.5,2370.0,2345.0,2361.5,769
2021-10-11,2370.0,2377.0,2341.0,2356.0,172
2021-10-12,2300.0,2365.5,2300.0,2360.5,426
2021-10-13,2438.5,2483.0,2438.5,2472.5,715
2021-10-14,2475.0,2538.0,2475.0,2531.0,555
2021-10-17,2520.0,2525.0,2503.0,2519.5,899
2021-10-18,2499.5,2530.0,2499.5,2503.5,346
2021-10-19,2532.0,2610.0,2532.0,2596.5,544
2021-10-20,2615.0,2655.0,2604.0,2655.0,1020
2021-10-21,2695.0,2743.0,2683.5,2730.5,732
2021-10-24,2741.0,2747.0,2707.5,2719.0,6284
2021-10-25,2699.0,2784.5,2699.0,2770.5,1871
2021-10-26,2798.0,2815.0,2758.5,2791.0,18795
2021-10-27,2830.0,2840.0,2797.0,2826.5,1617
2021-10-28,2840.0,2918.0,2840.0,2909.0,925
2021-10-31,2932.5,2965.0,2895.0,2953.0,1972
2021-11-01,2980.5,2984.0,2944.0,2974.5,381
2021-11-02,3000.0,3000.5,2947.0,2960.5,1475
2021-11-03,2980.0,2986.0,2953.5,2984.5,401
2021-11-04,3017.5,3019.0,2962.0,2997.0,351
2021-11-07,2997.0,3034.5,2982.5,3019.5,537
2021-11-08,3014.5,3028.5,2949.0,2994.0,1493
2021-11-09,2995.0,2995.0,2929.0,2973.5,599
2021-11-10,2967.5,3014.5,2950.0,2990.5,1003
2021-11-11,2995.0,3032.0,2928.5,3032.0,2364
2021-11-14,3064.5,3064.5,2854.5,2865.0,255
2021-11-15,2915.0,2925.0,2870.0,2915.5,304
2021-11-16,2920.0,2932.0,2884.0,2926.5,995
2021-11-17,2957.0,2957.0,2889.5,2905.0,433
2021-11-18,2948.5,2949.0,2859.0,2899.0,1012
2021-11-22,2854.0,2941.0,2832.0,2939.5,608
2021-11-23,2898.5,2970.0,2898.5,2954.5,1106
2021-11-24,2946.0,3180.0,2946.0,3100.0,76
2021-11-25,2950.0,3000.0,2800.0,2900.0,883
2021-11-28,2932.0,2932.0,2825.0,2911.5,147
2021-11-29,2900.0,2908.0,2854.0,2895.5,306
2021-11-30,2908.0,2987.0,2908.0,2981.5,810
2021-12-01,2961.5,2974.0,2900.0,2974.0,279
2021-12-02,3014.0,3014.0,2958.0,2992.0,222
2021-12-05,2956.0,3073.0,2956.0,3052.0,634
2021-12-06,3080.0,3098.5,3002.5,3052.5,2802
2021-12-08,3089.0,3089.0,3009.5,3029.0,411
2021-12-09,3030.0,3042.5,2988.0,3034.0,419
2021-12-12,3029.5,3042.5,2934.0,2978.5,1054
2021-12-13,2980.0,3001.0,2940.0,2976.5,289
2021-12-14,2985.0,3003.5,2901.5,2969.5,462
2021-12-15,3062.0,3063.0,2992.5,3032.0,408
2021-12-16,3103.0,3103.0,3013.5,3031.0,499
2021-12-19,3026.5,3100.0,2959.0,3056.5,756
2021-12-20,3096.5,3096.5,3059.0,3090.0,507
2021-12-21,3091.5,3136.0,3090.0,3130.5,509
2021-12-22,3200.0,3200.0,3056.0,3084.5,257
2021-12-26,3085.5,3088.5,2981.5,2985.5,184
2021-12-27,2975.5,3057.0,2975.5,3031.0,833
2021-12-28,2980.5,3101.0,2980.5,3061.5,484
2021-12-29,3150.0,3173.0,3074.0,3091.5,197
2022-01-02,3070.0,3121.5,3045.0,3115.5,241
2022-01-03,3173.0,3173.0,3040.0,3050.5,2421
2022-01-04,3040.0,3110.0,3040.0,3095.0,232
2022-01-05,3110.0,3110.0,2974.0,2995.0,1219
2022-01-06,2995.0,2995.0,2912.0,2995.0,350
2022-01-09,2995.0,3006.0,2927.0,2999.0,420
2022-01-10,2999.0,3061.0,2979.0,3000.0,983
2022-01-11,3068.0,3068.0,2990.0,3056.5,747
2022-01-12,3056.0,3056.0,2951.0,2985.0,338
2022-01-13,2994.0,3004.0,2940.0,2966.5,434
2022-01-16,2940.5,3115.5,2940.5,2999.0,144
