Date,Open,High,Low,Close,Volume
2022-07-25,1629.0,1630.5,1610.0,1622.5,366
2022-07-26,1534.0,1546.0,1501.5,1511.0,205
2022-07-27,1574.0,1713.5,1570.0,1660.0,6315
2022-07-28,1594.0,1594.0,1475.0,1525.0,6626
2022-07-29,1526.0,1539.5,1374.5,1412.5,3891
2022-08-01,1415.0,1415.0,1312.5,1364.5,1390
2022-08-02,1385.0,1517.5,1336.0,1485.0,497
2022-08-03,1626.0,1729.0,1626.0,1695.5,11526
2022-08-04,1691.0,1705.5,1604.5,1665.5,1106
2022-08-05,1645.0,1770.0,1621.0,1691.5,4531
2022-08-08,1927.0,1970.0,1771.0,1839.5,6101
2022-08-09,1705.0,1739.0,1594.0,1654.5,19293
2022-08-10,1714.5,1948.5,1641.5,1931.0,12888
2022-08-11,1950.5,1991.5,1779.0,1809.0,5670
2022-08-12,1900.0,2010.0,1900.0,1991.0,1408
2022-08-16,1830.5,2120.0,1763.0,2055.0,21725
2022-08-17,2035.5,2035.5,1857.0,1905.0,7192
2022-08-18,1861.5,1873.0,1803.0,1835.5,5486
2022-08-19,1835.0,1835.0,1705.5,1731.5,4832
2022-08-22,1687.0,1688.0,1569.5,1596.5,3204
2022-08-23,1625.0,1664.0,1585.0,1607.0,1319
2022-08-24,1649.5,1677.0,1603.0,1608.5,1701
2022-08-25,1635.5,1703.0,1612.0,1660.0,3253
2022-08-26,1658.5,1658.5,1475.0,1485.5,11067
2022-08-29,1502.0,1509.0,1465.0,1501.5,10681
2022-08-30,1485.0,1490.5,1441.5,1490.5,2442
2022-08-31,1550.0,1570.0,1495.0,1544.0,1810
2022-09-01,1475.0,1519.0,1440.0,1516.5,942
2022-09-02,1475.0,1519.0,1440.0,1516.5,0
2022-09-05,1584.0,1584.0,1584.0,1584.0,5
2022-09-06,1389.0,1413.5,1355.0,1402.0,1280
2022-09-07,1432.0,1520.0,1432.0,1498.0,1660
2022-09-08,1498.0,1533.0,1474.0,1520.5,1102
2022-09-09,1580.0,1606.5,1550.0,1558.0,8571
2022-09-12,1614.5,1615.0,1529.0,1575.0,1305
2022-09-13,1474.0,1474.0,1400.0,1414.5,4302
2022-09-14,1390.0,1425.0,1363.5,1425.0,3534
2022-09-15,1499.0,1569.0,1472.0,1529.5,2223
2022-09-16,1464.5,1482.0,1435.0,1465.0,3158
2022-09-19,1410.0,1436.0,1370.0,1430.0,1652
2022-09-20,1416.0,1429.5,1376.0,1398.0,7812
2022-09-21,1443.5,1520.0,1418.5,1424.0,3452
2022-09-22,1357.0,1358.0,1326.0,1345.0,3744
2022-09-23,1305.0,1382.0,1301.5,1345.0,849
2022-09-26,1389.0,1390.5,1290.0,1298.0,922
2022-09-27,1359.5,1365.0,1293.0,1293.0,2942
2022-09-28,1334.0,1376.0,1329.0,1376.0,407
2022-09-29,1279.5,1293.0,1240.0,1282.0,833
2022-09-30,1320.0,1339.5,1290.0,1298.0,7307
2022-10-03,1291.5,1291.5,1258.0,1273.5,5628
2022-10-04,1360.0,1396.0,1331.5,1395.5,6960
2022-10-05,1327.0,1358.5,1305.0,1355.5,6022
2022-10-06,1371.5,1408.0,1340.5,1394.5,2649
2022-10-11,1284.5,1472.0,1269.0,1398.5,32721
2022-10-12,1468.0,1539.0,1452.0,1516.5,2384
2022-10-13,1490.0,1586.0,1453.0,1527.0,3192
2022-10-14,1491.0,1494.0,1415.5,1440.0,1906
2022-10-17,1508.0,1508.0,1425.0,1428.5,733
2022-10-18,1522.0,1580.0,1488.0,1504.5,1066
2022-10-19,1449.5,1449.5,1354.5,1377.5,16234
2022-10-20,1442.0,1495.0,1379.5,1379.5,3298
2022-10-21,1346.5,1346.5,1290.0,1333.0,4848
2022-10-24,1303.0,1313.0,1225.0,1286.5,1160
2022-10-25,1360.5,1449.0,1360.5,1433.5,5261
2022-10-26,1459.0,1531.5,1445.5,1448.5,7595
2022-10-27,1397.5,1452.0,1397.5,1440.0,11555
2022-10-28,1412.5,1450.0,1399.0,1450.0,559
2022-10-31,1465.0,1475.0,1424.5,1429.0,223
2022-11-01,1470.0,1475.5,1336.5,1339.5,6168
2022-11-02,1307.0,1332.0,1243.0,1245.5,6815
2022-11-03,1201.0,1252.5,1201.0,1211.0,2554
2022-11-04,1217.0,1231.5,1150.0,1185.0,7932
2022-11-07,1147.0,1150.0,1089.0,1125.0,18122
2022-11-08,1132.5,1180.0,1070.0,1160.0,4699
2022-11-09,1159.0,1159.0,858.5,1042.5,46733
2022-11-10,1150.0,1333.0,1119.5,1326.0,10282
2022-11-11,1326.0,1424.5,1326.0,1390.5,9370
2022-11-14,1350.0,1350.0,1260.0,1287.5,3225
2022-11-15,1339.0,1483.0,1295.0,1388.0,12634
2022-11-16,1390.0,1390.0,1222.0,1302.0,17985
2022-11-17,1265.0,1314.0,1245.0,1314.0,8791
2022-11-18,1340.0,1348.5,1255.0,1286.5,4076
2022-11-22,1209.5,1245.5,1185.0,1212.5,660
2022-11-23,1221.0,1221.0,1195.0,1198.0,2519
2022-11-24,1201.0,1201.0,1201.0,1201.0,4
2022-11-25,1197.0,1210.5,1190.0,1204.0,671
2022-11-28,1221.5,1239.5,1153.0,1186.0,4355
2022-11-29,1237.5,1265.0,1200.0,1201.0,752
2022-11-30,1184.0,1194.0,1150.0,1174.0,570
2022-12-01,1295.0,1320.0,1222.5,1240.0,9276
2022-12-02,1200.0,1237.0,1200.0,1228.5,11612
2022-12-05,1211.5,1215.0,1140.5,1148.0,1180
2022-12-06,1139.0,1170.0,1116.0,1167.5,4667
2022-12-07,1148.0,1152.0,1128.5,1135.5,118
2022-12-12,1150.0,1163.0,1138.0,1159.5,676
