Date,Open,High,Low,Close,Volume
2019-01-02,11.51,11.8,11.5,11.65,256800
2019-01-03,11.52,11.7,11.52,11.58,106400
2019-01-04,11.67,12.03,11.67,11.98,182700
2019-01-07,12.0,12.17,11.96,12.09,212500
2019-01-08,12.2,12.25,12.09,12.18,197100
2019-01-09,12.24,12.48,12.22,12.4,259700
2019-01-10,12.32,12.46,12.21,12.46,120900
2019-01-11,12.4,12.4,12.25,12.28,93600
2019-01-14,12.15,12.35,12.02,12.3,103800
2019-01-15,12.32,12.42,12.3,12.33,160900
2019-01-16,12.35,12.46,12.35,12.43,158800
2019-01-17,12.35,12.39,12.23,12.29,164000
2019-01-18,12.32,12.42,12.3,12.38,344500
2019-01-22,12.25,12.27,12.12,12.15,213000
2019-01-23,12.08,12.33,12.08,12.19,137600
2019-01-24,12.15,12.32,12.14,12.28,134100
2019-01-25,12.33,12.67,12.28,12.66,205400
2019-01-28,12.58,12.67,12.54,12.56,141100
2019-01-29,12.69,12.79,12.6,12.72,125500
2019-01-30,12.8,12.82,12.52,12.6,276800
2019-01-31,12.6,12.78,12.6,12.7,170400
2019-02-01,12.69,12.73,12.33,12.61,379500
2019-02-04,12.53,12.95,12.53,12.94,256100
2019-02-05,12.82,13.29,12.82,13.24,442200
2019-02-06,13.25,13.25,12.97,12.98,151500
2019-02-07,12.97,12.99,12.84,12.88,172900
2019-02-08,12.9,12.9,12.73,12.79,75300
2019-02-11,12.92,12.94,12.76,12.8,88600
2019-02-12,12.85,12.87,12.7,12.7,101600
2019-02-13,12.7,12.75,12.59,12.62,131400
2019-02-14,12.55,12.69,12.54,12.62,76800
2019-02-15,12.66,12.8,12.64,12.78,137300
2019-02-19,12.71,12.74,12.62,12.68,239500
2019-02-20,12.68,12.85,12.65,12.81,93500
2019-02-21,12.78,12.79,12.62,12.75,94700
2019-02-22,12.7,12.84,12.6,12.75,122300
2019-02-25,12.75,12.85,12.66,12.69,107000
2019-02-26,12.6,12.74,12.58,12.61,321400
2019-02-27,12.53,12.66,12.5,12.58,120700
2019-02-28,12.55,12.58,12.31,12.37,255900
2019-03-01,12.4,12.47,12.26,12.29,101800
2019-03-04,12.22,12.29,12.09,12.16,144300
2019-03-05,12.11,12.2,12.11,12.18,87700
2019-03-06,12.19,12.28,12.17,12.18,62400
2019-03-07,12.13,12.14,12.03,12.09,67800
2019-03-08,11.98,12.09,11.87,12.08,112800
2019-03-11,12.01,12.23,12.01,12.21,73500
2019-03-12,12.19,12.29,12.19,12.23,80600
2019-03-13,12.32,12.38,12.22,12.35,59900
2019-03-14,12.32,12.45,12.31,12.45,107000
2019-03-15,12.54,12.61,12.5,12.61,57100
2019-03-18,12.53,12.69,12.51,12.6,109600
2019-03-19,12.65,12.8,12.61,12.64,64300
2019-03-20,12.58,12.76,12.52,12.71,122800
2019-03-21,12.71,12.77,12.57,12.63,217300
2019-03-22,12.5,12.52,12.34,12.36,272000
2019-03-25,12.4,12.55,12.34,12.49,104400
2019-03-26,12.5,12.69,12.5,12.64,68800
2019-03-27,12.65,12.71,12.47,12.51,160800
2019-03-28,12.51,12.51,12.36,12.4,75700
2019-03-29,12.41,12.54,12.41,12.49,121100
2019-04-01,12.64,12.86,12.58,12.83,354800
2019-04-02,12.86,12.89,12.74,12.76,104800
2019-04-03,12.89,12.94,12.8,12.86,144000
2019-04-04,12.86,12.89,12.78,12.87,63100
2019-04-05,12.85,12.94,12.84,12.88,124300
2019-04-08,12.9,12.99,12.88,12.92,145900
2019-04-09,12.97,12.97,12.84,12.87,148600
2019-04-10,12.89,12.95,12.85,12.86,120200
2019-04-11,12.84,12.86,12.73,12.8,118000
2019-04-12,12.8,12.87,12.71,12.73,101700
2019-04-15,12.73,12.73,12.55,12.55,145200
2019-04-16,12.59,12.63,12.47,12.47,100000
2019-04-17,12.5,12.56,12.46,12.51,51300
2019-04-18,12.51,12.51,12.36,12.43,64800
2019-04-22,12.4,12.5,12.4,12.43,54700
2019-04-23,12.43,12.5,12.38,12.5,225700
2019-04-24,12.41,12.49,12.17,12.19,139200
2019-04-25,12.15,12.2,12.06,12.09,106900
2019-04-26,12.07,12.22,12.07,12.17,80100
2019-04-29,12.2,12.23,12.11,12.13,75000
2019-04-30,12.08,12.17,12.04,12.12,93500
2019-05-01,12.12,12.2,12.04,12.05,59700
2019-05-02,12.06,12.07,11.88,11.9,138000
2019-05-03,11.96,12.15,11.96,12.15,122500
2019-05-06,12.0,12.05,11.87,11.93,127100
2019-05-07,11.9,11.95,11.7,11.71,164400
2019-05-08,11.7,11.8,11.64,11.69,78000
2019-05-09,11.55,11.59,11.45,11.54,121900
2019-05-10,11.57,11.63,11.44,11.62,110000
2019-05-13,11.39,11.44,11.25,11.31,144200
2019-05-14,11.49,11.56,11.43,11.48,72100
2019-05-15,11.44,11.61,11.44,11.61,132200
2019-05-16,11.68,11.68,11.56,11.64,109600
2019-05-17,11.51,11.66,11.5,11.61,47800
2019-05-20,11.56,11.65,11.51,11.6,59300
2019-05-21,11.57,11.68,11.57,11.65,59200
2019-05-22,11.65,11.69,11.54,11.6,83200
2019-05-23,11.42,11.48,11.37,11.45,106800
2019-05-24,11.46,11.54,11.41,11.46,63400
2019-05-28,11.47,11.58,11.47,11.5,88100
2019-05-29,11.5,11.5,11.27,11.37,149700
2019-05-30,11.37,11.47,11.35,11.41,98900
2019-05-31,11.35,11.56,11.31,11.56,64100
2019-06-03,11.53,11.71,11.53,11.71,155200
2019-06-04,11.79,11.85,11.75,11.8,231300
2019-06-05,11.83,11.83,11.65,11.68,51300
2019-06-06,11.59,11.74,11.58,11.69,83300
2019-06-07,11.69,11.87,11.69,11.86,54500
2019-06-10,11.88,11.9,11.78,11.83,59900
2019-06-11,11.84,11.94,11.84,11.92,40900
2019-06-12,11.9,11.99,11.87,11.91,46400
2019-06-13,11.92,11.99,11.88,11.97,95000
2019-06-14,11.93,11.93,11.78,11.87,48100
2019-06-17,11.86,11.9,11.79,11.8,42100
2019-06-18,11.82,11.99,11.72,11.95,156300
2019-06-19,11.99,12.03,11.91,11.98,176900
2019-06-20,12.07,12.27,12.07,12.25,148300
2019-06-21,12.2,12.23,12.16,12.2,117100
2019-06-24,12.26,12.32,12.16,12.17,228400
2019-06-25,12.19,12.24,12.06,12.07,119300
2019-06-26,12.09,12.14,12.06,12.09,77300
2019-06-27,11.98,12.02,11.9,11.97,89200
2019-06-28,11.97,12.15,11.97,12.15,74300
2019-07-01,12.12,12.18,12.0,12.01,118400
2019-07-02,12.03,12.15,12.01,12.09,76000
2019-07-03,12.09,12.16,12.03,12.12,47700
2019-07-05,12.02,12.03,11.88,12.02,81800
2019-07-08,11.93,11.99,11.88,11.92,99000
2019-07-09,11.88,11.94,11.77,11.91,145900
2019-07-10,11.98,12.09,11.93,11.97,102500
2019-07-11,11.97,12.13,11.89,11.96,186900
2019-07-12,11.94,11.98,11.81,11.91,135900
2019-07-15,11.92,11.95,11.61,11.69,150000
2019-07-16,11.62,11.78,11.62,11.65,83700
2019-07-17,11.65,11.7,11.6,11.64,57900
2019-07-18,11.55,11.67,11.51,11.64,152200
2019-07-19,11.67,11.7,11.6,11.6,132800
2019-07-22,11.69,11.7,11.56,11.6,90900
2019-07-23,11.57,11.59,11.53,11.54,100900
2019-07-24,11.44,11.46,11.35,11.36,91700
2019-07-25,11.29,11.31,10.98,11.0,320100
2019-07-26,11.0,11.1,11.0,11.06,77500
2019-07-29,11.1,11.15,10.98,10.99,186400
2019-07-30,10.9,11.03,10.9,11.01,64300
2019-07-31,10.99,11.13,10.9,11.03,119500
2019-08-01,11.06,11.06,10.77,10.82,227500
2019-08-02,10.7,10.78,10.65,10.68,128300
2019-08-05,10.51,10.56,10.36,10.41,154100
2019-08-06,10.41,10.5,10.32,10.4,156200
2019-08-07,10.3,10.35,10.19,10.27,320800
2019-08-08,10.32,10.47,10.29,10.45,176200
2019-08-09,10.5,10.52,10.3,10.33,74200
2019-08-12,10.3,10.38,10.25,10.26,73000
2019-08-13,10.25,10.39,10.22,10.33,113300
2019-08-14,10.3,10.3,10.0,10.01,170600
2019-08-15,10.05,10.08,9.96,10.01,117900
2019-08-16,10.05,10.22,10.05,10.17,137200
2019-08-19,10.29,10.37,10.23,10.37,123300
2019-08-20,10.34,10.45,10.34,10.4,40400
2019-08-21,10.5,10.58,10.47,10.58,71800
2019-08-22,10.58,10.6,10.49,10.53,44500
2019-08-23,10.47,10.49,10.23,10.25,106700
2019-08-26,10.27,10.33,10.23,10.27,76000
2019-08-27,10.35,10.35,10.18,10.27,67900
2019-08-28,10.17,10.41,10.17,10.38,58700
2019-08-29,10.38,10.46,10.38,10.43,47000
2019-08-30,10.46,10.6,10.46,10.6,79800
2019-09-03,10.6,10.6,10.51,10.56,84200
2019-09-04,10.58,10.71,10.58,10.7,130300
2019-09-05,10.79,10.88,10.77,10.82,260300
2019-09-06,10.85,10.94,10.77,10.91,112800
2019-09-09,10.96,10.99,10.89,10.9,95500
2019-09-10,10.9,11.05,10.9,11.03,136500
2019-09-11,11.08,11.2,11.08,11.18,106000
2019-09-12,11.08,11.2,11.03,11.11,183500
2019-09-13,11.14,11.25,11.13,11.2,92300
2019-09-16,11.21,11.27,11.19,11.25,135900
2019-09-17,11.14,11.29,11.1,11.28,123600
2019-09-18,11.2,11.24,11.01,11.09,110500
2019-09-19,11.03,11.16,11.03,11.1,50000
2019-09-20,11.06,11.22,11.06,11.21,79100
2019-09-23,11.11,11.24,11.1,11.24,48300
2019-09-24,11.22,11.22,11.12,11.16,115700
2019-09-25,11.05,11.17,11.0,11.14,102900
2019-09-26,11.2,11.23,11.08,11.14,96400
2019-09-27,11.11,11.12,10.95,10.96,94100
2019-09-30,10.94,11.05,10.89,11.0,137900
2019-10-01,10.93,11.03,10.81,10.84,80000
2019-10-02,10.78,10.83,10.72,10.78,122300
2019-10-03,10.78,10.85,10.74,10.82,50800
2019-10-04,10.79,10.98,10.79,10.94,273200
2019-10-07,10.93,10.94,10.86,10.88,98500
2019-10-08,10.83,10.89,10.77,10.8,60500
2019-10-09,10.87,10.9,10.82,10.86,59400
2019-10-10,10.81,11.1,10.81,11.09,83400
2019-10-11,11.19,11.24,11.11,11.11,116700
2019-10-14,11.0,11.08,10.99,11.0,28300
2019-10-15,11.01,11.11,11.01,11.05,41900
2019-10-16,10.99,11.06,10.98,11.02,31600
2019-10-17,11.0,11.1,10.9,10.99,92800
2019-10-18,10.96,11.05,10.96,11.02,62500
2019-10-21,10.98,11.1,10.98,10.99,44000
2019-10-22,11.08,11.1,10.95,10.97,35400
2019-10-23,10.9,11.09,10.9,11.06,66200
2019-10-24,11.06,11.07,10.93,10.94,121500
2019-10-25,10.98,11.02,10.94,11.01,69400
2019-10-28,11.06,11.07,10.99,11.01,54100
2019-10-29,10.97,10.99,10.94,10.97,54600
2019-10-30,10.93,11.02,10.85,10.93,139000
2019-10-31,10.87,10.93,10.78,10.87,80500
2019-11-01,10.89,11.01,10.83,10.97,56100
2019-11-04,11.04,11.32,11.04,11.32,113400
2019-11-05,11.39,11.42,11.31,11.32,76600
2019-11-06,11.39,11.39,11.28,11.31,39900
2019-11-07,11.39,11.39,11.3,11.31,35700
2019-11-08,11.36,11.36,11.23,11.23,52100
2019-11-11,11.12,11.21,11.07,11.18,20000
2019-11-12,11.16,11.23,11.14,11.18,47300
2019-11-13,11.07,11.12,11.04,11.07,46200
2019-11-14,10.97,11.11,10.89,11.1,57900
2019-11-15,11.14,11.2,11.13,11.2,46500
2019-11-18,11.1,11.17,11.05,11.05,47000
2019-11-19,11.0,11.11,11.0,11.1,42100
2019-11-20,11.01,11.15,11.01,11.04,471200
2019-11-21,11.0,11.06,10.96,10.99,35400
2019-11-22,11.02,11.09,10.96,11.0,48500
2019-11-25,10.97,11.07,10.97,11.05,90400
2019-11-26,11.01,11.01,10.92,11.0,38700
2019-11-27,10.88,10.95,10.88,10.94,31700
2019-11-29,10.9,10.91,10.78,10.82,73600
2019-12-02,10.78,10.82,10.69,10.71,90700
2019-12-03,10.67,10.78,10.64,10.78,173500
2019-12-04,10.71,10.86,10.71,10.83,84200
2019-12-05,10.84,10.92,10.81,10.86,114500
2019-12-06,10.87,11.08,10.87,11.07,114200
2019-12-09,10.99,11.06,10.83,10.83,80500
2019-12-10,10.85,10.87,10.79,10.82,62800
2019-12-11,10.84,11.0,10.83,10.96,117800
2019-12-12,10.96,11.17,10.96,11.13,88800
2019-12-13,11.11,11.13,11.0,11.04,58200
2019-12-16,11.07,11.15,11.0,11.01,81900
2019-12-17,10.95,11.0,10.89,10.92,77500
2019-12-18,10.87,10.98,10.84,10.96,66900
2019-12-19,11.0,11.04,10.94,11.02,69900
2019-12-20,11.0,11.08,10.98,10.99,87700
2019-12-23,10.99,11.04,10.97,10.99,135200
2019-12-24,10.98,11.0,10.96,10.99,73500
2019-12-26,11.01,11.17,10.95,11.08,82500
2019-12-27,11.03,11.2,11.01,11.16,139200
2019-12-30,11.07,11.12,11.0,11.01,94500
2019-12-31,11.05,11.1,11.04,11.08,125800
2020-01-02,11.14,11.16,11.04,11.06,54100
2020-01-03,10.95,11.06,10.95,11.01,52000
2020-01-06,11.0,11.06,10.96,11.0,69700
2020-01-07,11.01,11.01,10.92,10.93,85400
2020-01-08,10.9,10.92,10.79,10.79,510100
2020-01-09,10.75,10.85,10.7,10.72,191100
2020-01-10,10.7,10.89,10.7,10.82,176300
2020-01-13,10.9,10.98,10.84,10.95,78100
2020-01-14,10.86,10.94,10.86,10.94,61100
2020-01-15,10.9,10.97,10.86,10.88,46400
2020-01-16,10.96,10.99,10.94,10.99,71300
2020-01-17,11.07,11.1,10.99,11.0,112700
2020-01-21,10.96,11.0,10.92,10.98,206600
2020-01-22,11.07,11.07,10.9,10.93,45700
2020-01-23,10.87,10.9,10.8,10.9,80700
2020-01-24,10.95,11.0,10.76,10.81,99400
2020-01-27,10.5,10.59,10.38,10.5,218700
2020-01-28,10.45,10.53,10.43,10.44,65800
2020-01-29,10.4,10.5,10.4,10.45,58600
2020-01-30,10.32,10.36,10.24,10.34,127100
2020-01-31,10.34,10.34,10.11,10.11,100900
2020-02-03,10.35,10.4,10.24,10.4,87700
2020-02-04,10.47,10.62,10.47,10.61,196500
2020-02-05,10.66,10.72,10.6,10.68,61000
2020-02-06,10.69,10.76,10.66,10.73,60600
2020-02-07,10.79,10.85,10.62,10.65,41100
