Date,Open,High,Low,Close,Volume
2025-08-01,7140.0,7140.0,7050.0,7080.0,31995
2025-08-04,6520.0,7030.0,6520.0,6860.0,1490
2025-08-05,6840.0,6850.0,6710.0,6740.0,41723
2025-08-06,6820.0,6820.0,6550.0,6550.0,6644
2025-08-07,6660.0,6660.0,6530.0,6530.0,9218
2025-08-08,6580.0,6590.0,6460.0,6540.0,4708
2025-08-11,6600.0,6600.0,6510.0,6550.0,2557
2025-08-12,6440.0,6500.0,6430.0,6460.0,182
2025-08-13,6400.0,6430.0,6300.0,6420.0,1095
2025-08-14,6460.0,6500.0,6410.0,6470.0,323
2025-08-18,6290.0,6370.0,6260.0,6380.0,1165
2025-08-19,6320.0,6320.0,6260.0,6420.0,9649
2025-08-20,6340.0,6430.0,6330.0,6440.0,9666
2025-08-21,6410.0,6550.0,6410.0,6550.0,6579
2025-08-22,6610.0,6640.0,6550.0,6650.0,843
2025-08-25,6760.0,6900.0,6760.0,6900.0,4442
2025-08-26,6770.0,6790.0,6680.0,6720.0,6245
2025-08-27,6720.0,6840.0,6720.0,6780.0,172
2025-08-28,6790.0,6790.0,6650.0,6770.0,2072
2025-08-29,6660.0,6770.0,6660.0,6790.0,195
2025-09-01,6800.0,6800.0,6790.0,6750.0,30
2025-09-02,6970.0,7040.0,6900.0,7000.0,53373
2025-09-03,6870.0,6880.0,6800.0,6850.0,13637
2025-09-04,6750.0,6840.0,6750.0,6800.0,1537
2025-09-05,6710.0,6750.0,6640.0,6690.0,448
2025-09-08,7040.0,7120.0,6990.0,7035.0,353
2025-09-09,7095.0,7120.0,7015.0,7050.0,1419
2025-09-10,7070.0,7160.0,7000.0,7160.0,477
2025-09-11,7005.0,7060.0,7000.0,7050.0,3644
2025-09-12,7230.0,7280.0,7175.0,7210.0,1291
2025-09-15,7270.0,7420.0,7265.0,7365.0,1288
2025-09-16,7380.0,7490.0,7375.0,7470.0,1850
2025-09-17,7440.0,7530.0,7425.0,7500.0,1370
2025-09-18,7515.0,7780.0,7515.0,7780.0,423
2025-09-19,7720.0,7725.0,7580.0,7660.0,62687
2025-09-22,7245.0,7245.0,6945.0,7030.0,3694
2025-09-23,6860.0,7090.0,6835.0,7060.0,1059
2025-09-24,6965.0,7135.0,6930.0,7105.0,3034
2025-09-25,6995.0,7175.0,6965.0,7165.0,2330
2025-09-26,7200.0,7590.0,7200.0,7520.0,5172
2025-09-29,7390.0,7430.0,7300.0,7430.0,88219
2025-09-30,7365.0,7600.0,7360.0,7600.0,276
2025-10-01,7620.0,7690.0,7475.0,7670.0,92214
2025-10-02,7650.0,7650.0,7355.0,7380.0,4667
2025-10-03,7480.0,7480.0,7300.0,7255.0,738
2025-10-06,7355.0,7450.0,7335.0,7385.0,9336
