Date,Open,High,Low,Close,Volume
2019-01-02,5.26,5.27,5.11,5.18,2353326
2019-01-03,5.19,5.19,5.06,5.1,1417443
2019-01-04,5.1,5.3,5.1,5.27,3479659
2019-01-07,5.3,5.49,5.26,5.44,4427437
2019-01-08,5.49,5.6,5.35,5.54,5149863
2019-01-09,5.55,5.68,5.5,5.6,4377486
2019-01-10,5.6,5.62,5.5,5.54,3346018
2019-01-11,5.54,5.55,5.46,5.5,1784068
2019-01-14,5.5,5.65,5.42,5.58,2690961
2019-01-15,5.62,5.68,5.55,5.61,3840861
2019-01-16,5.55,5.73,5.55,5.7,2910006
2019-01-17,5.7,5.78,5.6,5.76,1916656
2019-01-18,5.8,6.03,5.79,5.97,4982146
2019-01-21,6.03,6.1,5.9,6.05,1336055
2019-01-22,6.05,6.05,5.8,5.85,1413502
2019-01-23,5.9,5.96,5.8,5.94,1456206
2019-01-24,6.01,6.25,6.0,6.22,4187917
2019-01-25,6.22,6.33,6.12,6.15,1354661
2019-01-28,6.14,6.14,5.95,6.04,1145080
2019-01-29,6.0,6.2,5.96,6.09,1141093
2019-01-30,6.06,6.19,6.02,6.11,654543
2019-01-31,6.14,6.21,6.06,6.16,1846057
2019-02-01,6.15,6.17,6.1,6.15,1895735
2019-02-04,6.15,6.24,6.12,6.18,2174023
2019-02-05,6.16,6.27,6.16,6.25,2204232
2019-02-06,6.26,6.26,6.09,6.09,1045721
2019-02-07,6.09,6.09,5.87,5.9,1238450
2019-02-08,5.9,6.06,5.85,6.04,821164
2019-02-11,6.09,6.1,5.99,6.0,461141
2019-02-12,6.0,6.13,6.0,6.12,1236825
2019-02-13,6.15,6.25,6.1,6.14,1245306
2019-02-14,6.15,6.27,6.08,6.23,2134547
2019-02-15,6.26,6.69,6.26,6.68,6816074
2019-02-18,6.68,7.1,6.68,7.06,5303312
2019-02-19,7.09,7.1,6.73,6.79,2840350
2019-02-20,6.79,6.99,6.6,6.84,3343460
2019-02-21,6.86,7.15,6.76,7.11,3445989
2019-02-22,7.09,7.28,6.95,7.09,3008815
2019-02-25,7.1,7.2,7.03,7.11,2454677
2019-02-26,7.0,7.18,7.0,7.12,1692228
2019-02-27,7.12,7.16,6.98,7.0,1202619
2019-02-28,7.0,7.07,6.8,6.91,1384465
2019-03-01,7.09,7.1,6.75,6.76,756771
2019-03-06,6.71,6.71,6.1,6.3,1623527
2019-03-07,6.28,6.6,6.05,6.24,1944239
2019-03-08,6.22,6.5,6.18,6.37,1332102
2019-03-11,6.5,6.55,6.41,6.54,601751
2019-03-12,6.54,6.89,6.54,6.84,2105349
2019-03-13,6.89,7.0,6.71,6.85,1549004
2019-03-14,6.93,6.93,6.75,6.78,395568
2019-03-15,6.89,6.94,6.72,6.74,1186968
2019-03-18,6.78,6.85,6.61,6.79,3150880
2019-03-19,6.79,7.0,6.74,6.78,1320065
2019-03-20,6.8,6.9,6.64,6.7,988607
2019-03-21,6.7,6.85,6.4,6.43,1462125
2019-03-22,6.42,6.42,6.06,6.13,2169700
2019-03-25,6.17,6.29,6.1,6.25,1178363
2019-03-26,6.25,6.33,6.0,6.13,1299682
2019-03-27,5.85,6.17,5.85,6.09,3644835
2019-03-28,6.09,6.24,6.05,6.23,721245
2019-03-29,6.35,6.35,6.13,6.21,1753658
2019-04-01,6.3,6.3,6.12,6.13,605097
2019-04-03,6.1,6.1,5.82,5.85,1317799
2019-04-04,5.84,6.0,5.76,5.84,1253923
2019-04-05,5.95,6.0,5.76,5.84,1231992
2019-04-08,5.84,5.94,5.71,5.75,1627599
2019-04-09,5.8,5.85,5.54,5.66,3112226
2019-04-10,5.7,5.77,5.52,5.73,879776
2019-04-11,5.71,5.72,5.55,5.6,1300435
2019-04-12,5.66,5.7,5.52,5.65,1398744
2019-04-15,5.6,6.05,5.55,5.93,1245568
2019-04-16,6.0,6.23,6.0,6.18,1683748
2019-04-17,6.25,6.25,6.11,6.15,768168
2019-04-22,6.0,6.1,5.8,6.09,1018208
2019-04-23,6.0,6.17,6.0,6.14,874676
2019-04-24,6.15,6.15,5.7,6.0,2234921
2019-04-25,5.85,6.09,5.61,5.98,1759365
2019-04-26,6.01,6.25,5.95,6.04,1393558
2019-04-29,6.0,6.23,5.95,6.06,1146925
2019-04-30,5.6,5.7,5.45,5.62,616252
2019-05-02,5.75,5.84,5.67,5.8,1091770
2019-05-03,5.8,5.92,5.72,5.8,2178304
2019-05-06,5.7,5.95,5.5,5.94,2478611
2019-05-07,5.9,5.93,5.81,5.9,1545273
2019-05-08,5.98,6.03,5.9,6.0,2097897
2019-05-09,5.99,6.15,5.9,5.99,1197807
2019-05-10,6.0,6.06,5.9,5.94,973814
2019-05-13,5.9,6.0,5.76,5.99,684020
2019-05-14,6.05,6.09,5.97,5.99,1184784
2019-05-15,6.0,6.01,5.92,5.98,1293949
2019-05-16,6.03,6.05,5.95,5.99,1354678
2019-05-17,5.98,6.0,5.85,5.92,1129202
2019-05-20,5.8,5.92,5.8,5.92,1453181
2019-05-21,5.96,6.2,5.94,6.0,2455805
2019-05-22,6.04,6.04,5.91,5.98,1058489
2019-05-23,6.0,6.0,5.88,5.92,1462320
2019-05-24,6.06,6.06,5.83,5.88,1414856
2019-05-27,5.82,6.0,5.82,5.95,1128032
2019-05-28,5.91,5.95,5.79,5.9,1597265
2019-05-29,6.0,6.0,5.7,5.95,864621
2019-05-30,6.02,6.03,5.8,5.93,1396750
2019-05-31,5.93,6.2,5.85,6.03,2431195
2019-06-03,6.17,6.17,5.95,6.11,3366223
2019-06-04,6.12,6.56,6.08,6.54,3793944
2019-06-05,6.57,6.7,6.51,6.68,2579516
2019-06-06,6.69,6.92,6.55,6.9,2780103
2019-06-07,6.8,6.9,6.7,6.87,1898611
2019-06-10,6.87,6.94,6.8,6.9,736602
2019-06-11,6.93,7.25,6.87,7.23,3658700
2019-06-12,7.32,7.6,7.2,7.42,3504742
2019-06-13,7.25,7.44,6.9,7.38,1391176
2019-06-14,7.38,7.55,7.25,7.38,1481755
2019-06-18,7.35,7.42,7.3,7.36,725659
2019-06-19,7.49,7.5,7.2,7.3,1178986
2019-06-21,7.4,7.5,7.29,7.31,1636958
2019-06-24,7.49,7.49,7.2,7.29,989902
2019-06-25,7.31,7.35,7.24,7.27,819189
2019-06-26,7.21,7.48,7.0,7.47,5118603
2019-06-27,7.49,8.05,7.3,8.02,6880702
2019-06-28,8.05,8.22,7.91,8.18,3865335
2019-07-01,8.23,8.45,8.15,8.4,10167987
2019-07-02,8.4,8.6,8.31,8.59,5029066
2019-07-03,8.6,8.78,8.6,8.75,7599476
2019-07-04,8.88,8.89,8.71,8.76,1673164
2019-07-05,8.78,8.83,8.76,8.79,4811533
2019-07-10,8.9,8.98,8.8,8.96,3688073
