Date,Open,High,Low,Close,Volume
2025-01-14,5710.0,5750.0,5660.0,5670.0,4437
2025-01-15,5790.0,5800.0,5720.0,5730.0,6714
2025-01-16,5780.0,5830.0,5740.0,5780.0,6451
2025-01-17,5800.0,5840.0,5780.0,5770.0,11097
2025-01-20,5780.0,6200.0,5780.0,6150.0,562
2025-01-21,5910.0,5910.0,5820.0,5880.0,2752
2025-01-22,5930.0,5970.0,5890.0,5910.0,3040
2025-01-23,5920.0,5960.0,5850.0,5910.0,19547
2025-01-24,6000.0,6000.0,5700.0,5870.0,1774
2025-01-27,5870.0,5870.0,5790.0,5860.0,1180
2025-01-28,5870.0,5900.0,5820.0,5880.0,1896
2025-01-29,5760.0,5900.0,5760.0,5870.0,948
2025-01-30,5960.0,5970.0,5920.0,5960.0,1262
2025-01-31,5990.0,6040.0,5900.0,5920.0,1816
2025-02-03,5920.0,5920.0,5780.0,5890.0,4128
2025-02-04,5940.0,6000.0,5880.0,5990.0,984
2025-02-05,6030.0,6080.0,5960.0,6080.0,844
2025-02-06,6100.0,6130.0,6040.0,6070.0,1338
2025-02-07,6110.0,6110.0,6020.0,6050.0,3074
2025-02-10,6130.0,6130.0,6010.0,6030.0,1217
2025-02-11,6010.0,6070.0,6000.0,6070.0,3976
2025-02-12,6050.0,6080.0,6000.0,6040.0,4718
2025-02-13,6100.0,6160.0,6080.0,6160.0,8292
2025-02-14,6140.0,6250.0,6140.0,6190.0,2809
2025-02-17,6190.0,6600.0,6190.0,6400.0,536
2025-02-18,6300.0,6340.0,6220.0,6300.0,4463
2025-02-19,6380.0,6380.0,6210.0,6250.0,5257
2025-02-20,6300.0,6300.0,6230.0,6250.0,6536
2025-02-21,6290.0,6290.0,6210.0,6230.0,2570
2025-02-24,6230.0,6300.0,6190.0,6250.0,2362
2025-02-25,6310.0,6310.0,6240.0,6280.0,2125
2025-02-26,6340.0,6340.0,6250.0,6290.0,2911
2025-02-27,6220.0,6320.0,6220.0,6250.0,3394
2025-02-28,6300.0,6340.0,6190.0,6250.0,2820
2025-03-05,6390.0,6510.0,6330.0,6510.0,6858
2025-03-06,6500.0,6520.0,6420.0,6450.0,2620
2025-03-07,6490.0,6520.0,6350.0,6430.0,3696
2025-03-10,6430.0,6430.0,6240.0,6330.0,2611
2025-03-11,6330.0,6330.0,6240.0,6280.0,2686
2025-03-12,6310.0,6370.0,6290.0,6320.0,9162
2025-03-13,6330.0,6350.0,6300.0,6310.0,47314
2025-03-14,6380.0,6490.0,6380.0,6460.0,2345
2025-03-17,6510.0,6650.0,6510.0,6640.0,7072
2025-03-18,6640.0,6860.0,6640.0,6860.0,3044
2025-03-19,6860.0,6970.0,6770.0,6810.0,8394
2025-03-20,6790.0,6790.0,6680.0,6780.0,3918
2025-03-21,6750.0,6770.0,6670.0,6730.0,4885
2025-03-25,6810.0,6810.0,6740.0,6820.0,3677
2025-03-26,6760.0,6830.0,6710.0,6720.0,5504
2025-03-27,6720.0,6740.0,6660.0,6720.0,1955
2025-03-28,6700.0,6740.0,6640.0,6700.0,6252
2025-03-31,6650.0,6750.0,6630.0,6710.0,4098
