Date,Open,High,Low,Close,Volume
2025-05-15,4920.0,4975.0,4920.0,5020.0,21
2025-05-16,5050.0,5070.0,5020.0,5090.0,132
2025-05-19,5110.0,5110.0,5010.0,5070.0,276
2025-05-20,5130.0,5200.0,5120.0,5200.0,163
2025-05-21,5090.0,5100.0,5020.0,5030.0,369
2025-05-22,5030.0,5030.0,4935.0,4995.0,976
2025-05-23,4975.0,5020.0,4955.0,5030.0,202
2025-05-26,5030.0,5030.0,5030.0,5050.0,1
2025-05-27,5150.0,5200.0,5110.0,5210.0,2105
2025-05-28,5220.0,5220.0,5170.0,5180.0,1703
2025-05-29,5290.0,5300.0,5260.0,5310.0,203
2025-05-30,5310.0,5330.0,5230.0,5300.0,422
2025-06-02,5290.0,5290.0,5250.0,5280.0,1973
2025-06-03,5220.0,5330.0,5220.0,5310.0,2143
2025-06-04,5360.0,5360.0,5280.0,5280.0,274
2025-06-05,5270.0,5310.0,5270.0,5280.0,110
2025-06-06,5320.0,5350.0,5320.0,5370.0,41
2025-06-09,5350.0,5350.0,5270.0,5310.0,219
2025-06-10,5330.0,5340.0,5300.0,5350.0,115
2025-06-11,5350.0,5440.0,5350.0,5360.0,1282
2025-06-12,5400.0,5440.0,5380.0,5440.0,116
2025-06-13,5420.0,5450.0,5360.0,5400.0,214
2025-06-17,5320.0,5320.0,5180.0,5190.0,12
2025-06-18,5180.0,5180.0,5150.0,5210.0,172
2025-06-19,5180.0,5180.0,5150.0,5210.0,0
2025-06-23,5160.0,5250.0,5100.0,5240.0,63
2025-06-24,5210.0,5320.0,5210.0,5320.0,81
2025-06-25,5300.0,5330.0,5240.0,5320.0,323
2025-06-26,5330.0,5340.0,5250.0,5290.0,150
2025-06-27,5310.0,5310.0,5250.0,5270.0,11
2025-06-30,5300.0,5370.0,5290.0,5360.0,107
2025-07-01,5350.0,5550.0,5350.0,5560.0,183
2025-07-02,5600.0,5620.0,5570.0,5590.0,329
2025-07-03,5580.0,5660.0,5580.0,5650.0,37
2025-07-04,5900.0,5900.0,5900.0,5900.0,6
2025-07-07,5670.0,5840.0,5670.0,5830.0,2012
2025-07-08,5910.0,5910.0,5780.0,5850.0,1056
2025-07-10,6090.0,6090.0,6020.0,6060.0,187
2025-07-11,5980.0,6030.0,5900.0,5920.0,336
2025-07-14,5910.0,6100.0,5910.0,6090.0,405
2025-07-15,6090.0,6090.0,5900.0,5910.0,245
2025-07-16,5870.0,5920.0,5810.0,5950.0,71
2025-07-17,5880.0,5940.0,5880.0,5870.0,237
2025-07-18,5920.0,5970.0,5870.0,5880.0,592
2025-07-21,5920.0,5920.0,5850.0,5860.0,42
2025-07-22,5890.0,5890.0,5840.0,5910.0,345
2025-07-23,5980.0,6000.0,5950.0,6000.0,264
2025-07-24,6010.0,6010.0,5970.0,5990.0,34
2025-07-25,5960.0,6020.0,5960.0,6010.0,639
2025-07-28,6000.0,6020.0,5910.0,5910.0,291
2025-07-29,5960.0,6050.0,5960.0,5980.0,123
2025-07-30,5960.0,6130.0,5960.0,6140.0,43
2025-07-31,6230.0,6300.0,6220.0,6300.0,27
2025-08-01,6170.0,6290.0,6120.0,6290.0,968
2025-08-04,6300.0,6350.0,6200.0,6380.0,223
2025-08-05,5390.0,5420.0,4985.0,5010.0,102054
2025-08-06,5030.0,5180.0,4965.0,5120.0,15251
2025-08-07,5150.0,5150.0,4940.0,4950.0,5406
2025-08-08,4990.0,4990.0,4815.0,4840.0,3244
2025-08-11,4840.0,5020.0,4840.0,4930.0,9808
2025-08-12,4985.0,5100.0,4975.0,5100.0,1513
2025-08-13,5170.0,5190.0,5080.0,5180.0,10664
2025-08-14,5200.0,5200.0,5060.0,5060.0,1580
2025-08-18,5080.0,5100.0,5010.0,5020.0,5322
2025-08-19,5020.0,5080.0,5020.0,5150.0,8996
2025-08-20,5140.0,5170.0,5100.0,5110.0,15001
