Date,Open,High,Low,Close,Volume
2025-09-29,9700.0,9910.0,9685.0,9985.0,4730
2025-09-30,10040.0,10290.0,9955.0,10210.0,1753
2025-10-01,10570.0,10570.0,10300.0,10330.0,3673
2025-10-02,10330.0,10510.0,10240.0,10410.0,3455
2025-10-03,10370.0,10380.0,10070.0,10150.0,1795
2025-10-06,10070.0,10210.0,10040.0,10020.0,1705
2025-10-07,10010.0,10540.0,10010.0,10520.0,18734
2025-10-08,10550.0,10550.0,10220.0,10310.0,5248
2025-10-09,10300.0,10360.0,9630.0,9715.0,1353
2025-10-13,9805.0,10220.0,9805.0,9900.0,6400
2025-10-14,10610.0,10830.0,10090.0,10680.0,10658
2025-10-15,10370.0,10800.0,10280.0,10710.0,5359
2025-10-16,10610.0,12070.0,10510.0,11930.0,47682
2025-10-17,11790.0,12070.0,11420.0,11400.0,36874
2025-10-20,10960.0,10960.0,10600.0,10650.0,11616
2025-10-21,10810.0,10880.0,10600.0,10820.0,9128
2025-10-22,10950.0,11640.0,10840.0,11040.0,80473
2025-10-23,10940.0,10940.0,10400.0,10430.0,41867
2025-10-24,10150.0,10370.0,10080.0,10340.0,5814
2025-10-27,10300.0,10300.0,8705.0,9450.0,3802
2025-10-28,9405.0,9870.0,9400.0,9840.0,35430
2025-10-29,9790.0,9960.0,9620.0,9975.0,27621
2025-10-30,9930.0,10110.0,9735.0,10140.0,14737
2025-10-31,9835.0,10400.0,9835.0,10190.0,14719
2025-11-03,10190.0,10450.0,9995.0,10310.0,7088
2025-11-04,10380.0,10750.0,10320.0,10630.0,29661
2025-11-05,10640.0,10640.0,9995.0,10010.0,45190
2025-11-06,10010.0,10650.0,10000.0,10380.0,29901
2025-11-07,10660.0,11020.0,10360.0,10360.0,58770
2025-11-10,9740.0,9890.0,9645.0,9750.0,27120
2025-11-11,9710.0,9830.0,9625.0,9660.0,5983
2025-11-12,9565.0,9770.0,9550.0,9740.0,25303
2025-11-13,9820.0,10590.0,9740.0,10500.0,58566
2025-11-14,10850.0,10950.0,10100.0,10240.0,33955
2025-11-17,10380.0,10920.0,10250.0,10900.0,50263
2025-11-18,10860.0,11460.0,10700.0,10710.0,45429
2025-11-19,10850.0,11190.0,10530.0,10990.0,49135
2025-11-20,10140.0,11820.0,10100.0,11360.0,134241
2025-11-21,11470.0,12180.0,11110.0,11370.0,46122
2025-11-25,10380.0,10930.0,10320.0,10390.0,60617
2025-11-26,10310.0,10310.0,10000.0,10040.0,26736
2025-11-27,10060.0,10460.0,9730.0,10170.0,1028
2025-11-28,9965.0,10310.0,9755.0,10070.0,36486
2025-12-01,10050.0,10050.0,9580.0,9790.0,55461
2025-12-02,9750.0,9750.0,9600.0,9675.0,17877
2025-12-03,9680.0,9785.0,9495.0,9505.0,27162
2025-12-04,9505.0,9545.0,9390.0,9420.0,41469
2025-12-05,9420.0,9435.0,9240.0,9305.0,38994
2025-12-09,9410.0,9460.0,9235.0,9375.0,21960
2025-12-10,9460.0,9495.0,9075.0,9050.0,35298
2025-12-11,9050.0,9270.0,8925.0,8910.0,20171
2025-12-12,8900.0,9330.0,8775.0,9015.0,33157
2025-12-15,8920.0,9175.0,8830.0,9010.0,16231
2025-12-16,9065.0,9335.0,9045.0,9180.0,26199
2025-12-17,9155.0,9345.0,8975.0,9245.0,34561
2025-12-18,9155.0,9160.0,8915.0,9105.0,8482
2025-12-19,8925.0,8925.0,8670.0,8715.0,24031
2025-12-22,8480.0,8500.0,8325.0,8370.0,9958
2025-12-23,8410.0,8450.0,8240.0,8250.0,22753
2025-12-24,8215.0,8320.0,8215.0,8260.0,205
2025-12-26,8500.0,8500.0,8235.0,8305.0,3899
2025-12-29,8260.0,8370.0,8085.0,8115.0,15066
2025-12-30,8150.0,8150.0,7995.0,7995.0,6333
2026-01-02,7940.0,8130.0,7940.0,8090.0,15362
2026-01-05,8045.0,8070.0,7940.0,8075.0,5833
2026-01-06,8070.0,8155.0,7955.0,8025.0,16732
2026-01-07,8030.0,8140.0,8000.0,8040.0,12851
2026-01-08,8085.0,8185.0,7970.0,8120.0,14338
2026-01-09,8100.0,8100.0,7865.0,7890.0,15988
2026-01-12,7970.0,8060.0,7885.0,7930.0,11650
2026-01-13,7960.0,8180.0,7865.0,8085.0,17456
2026-01-14,8310.0,8490.0,8265.0,8400.0,17878
2026-01-15,8150.0,8480.0,7880.0,7945.0,22009
2026-01-16,8005.0,8070.0,7900.0,7980.0,34721
2026-01-19,8355.0,8430.0,8075.0,8395.0,3905
2026-01-20,8490.0,9020.0,8380.0,8990.0,51544
2026-01-21,8880.0,8995.0,8000.0,8015.0,94074
2026-01-22,8060.0,8060.0,7870.0,7930.0,28050
2026-01-23,7890.0,7990.0,7805.0,7915.0,14585
2026-01-26,8010.0,8105.0,7920.0,8030.0,8691
2026-01-27,8030.0,8115.0,7940.0,8095.0,4947
2026-01-28,8100.0,8235.0,8015.0,8015.0,21779
2026-01-29,8125.0,8685.0,8110.0,8265.0,39649
2026-01-30,8270.0,8365.0,8040.0,8275.0,12572
2026-02-02,8290.0,8370.0,7780.0,7830.0,16614
2026-02-03,7830.0,8500.0,7770.0,8315.0,19622
2026-02-04,8130.0,8600.0,8025.0,8200.0,59185
2026-02-05,8600.0,8965.0,8440.0,8645.0,77830
2026-02-06,8400.0,8630.0,8200.0,8260.0,66506
2026-02-09,8270.0,8270.0,7860.0,7875.0,20668
2026-02-10,7890.0,7970.0,7800.0,7970.0,12317
2026-02-11,7930.0,8160.0,7800.0,7975.0,15386
2026-02-12,7920.0,8435.0,7820.0,8270.0,47664
