Date,Open,High,Low,Close,Volume
2019-01-02,17.790001,18.82,17.639999,18.51,7803700
2019-01-03,18.379999,18.92,18.27,18.48,8359100
2019-01-04,18.84,20.540001,18.780001,20.34,10737800
2019-01-07,20.93,21.0,20.16,20.450001,12320700
2019-01-08,20.57,21.200001,20.360001,20.700001,8463400
2019-01-09,20.940001,21.0,20.15,20.84,9685600
2019-01-10,20.59,21.15,20.42,20.99,7419400
2019-01-11,20.84,21.08,20.51,21.040001,8024300
2019-01-14,20.780001,21.25,20.5,20.82,6607600
2019-01-15,20.860001,21.1,19.93,20.190001,9304300
2019-01-16,20.299999,20.969999,20.290001,20.629999,8014600
2019-01-17,20.6,21.530001,20.52,21.219999,10811900
2019-01-18,21.25,21.74,20.969999,21.5,8169100
2019-01-22,21.120001,21.15,20.379999,20.870001,10291400
2019-01-23,21.0,21.049999,20.309999,20.629999,5986200
2019-01-24,20.469999,20.92,20.360001,20.709999,7979100
2019-01-25,21.16,21.73,20.98,21.639999,12634500
2019-01-28,21.690001,21.780001,20.98,21.709999,13084200
2019-01-29,22.01,22.25,21.09,21.309999,13159000
2019-01-30,21.549999,22.809999,21.540001,22.219999,16396400
2019-01-31,20.51,22.860001,19.950001,22.540001,32882300
2019-02-01,22.32,22.6,21.610001,22.040001,13058500
2019-02-04,21.879999,22.879999,21.74,22.67,13516400
2019-02-05,22.75,23.23,22.51,23.09,10970400
2019-02-06,22.99,23.49,22.870001,23.17,10242400
2019-02-07,22.969999,23.280001,22.41,22.57,9424900
2019-02-08,22.41,22.639999,21.51,21.950001,10586000
2019-02-11,22.0,22.76,21.9,22.57,10005600
2019-02-12,22.75,23.110001,22.610001,22.809999,7727200
2019-02-13,23.0,23.120001,22.360001,22.75,10046400
2019-02-14,22.52,22.83,22.309999,22.65,7058500
2019-02-15,22.799999,23.32,22.73,22.92,8098600
2019-02-19,23.01,23.559999,22.76,23.030001,8689900
2019-02-20,23.389999,24.190001,23.299999,24.0,10874100
2019-02-21,24.42,24.74,23.879999,24.120001,11184300
2019-02-22,24.26,24.469999,23.85,24.1,8442700
2019-02-25,24.25,24.34,23.77,23.940001,7109900
2019-02-26,23.75,24.24,23.6,23.9,5679600
2019-02-27,24.02,24.440001,23.68,23.74,7928500
2019-02-28,23.74,23.74,22.360001,22.41,13492600
2019-03-01,22.549999,22.93,22.01,22.299999,9883300
2019-03-04,22.35,22.58,21.82,22.24,8968000
2019-03-05,22.129999,22.23,21.809999,21.9,7160000
2019-03-06,21.9,21.92,20.5,20.58,11275100
2019-03-07,20.440001,20.459999,19.870001,20.0,8857200
2019-03-08,19.5,19.6,19.059999,19.25,9836700
2019-03-11,19.379999,20.030001,19.190001,20.01,8712100
2019-03-12,20.209999,20.75,20.030001,20.42,7895300
2019-03-13,20.549999,20.66,20.280001,20.360001,6959200
2019-03-14,20.200001,20.26,19.700001,19.780001,7056800
2019-03-15,19.74,20.040001,19.57,19.66,7139700
2019-03-18,19.77,20.139999,19.719999,19.790001,8052600
2019-03-19,19.969999,20.440001,19.85,19.98,9177700
2019-03-20,20.0,20.030001,19.290001,19.780001,10229400
2019-03-21,19.6,20.540001,19.549999,20.299999,8435500
2019-03-22,19.969999,20.139999,18.98,19.09,15197000
2019-03-25,19.09,19.5,18.76,19.1,7287100
2019-03-26,19.51,19.73,19.01,19.219999,7460400
2019-03-27,19.200001,19.26,18.84,19.15,7219000
2019-03-28,19.17,19.440001,19.02,19.379999,5983800
2019-03-29,19.620001,19.84,19.379999,19.49,6855200
2019-04-01,19.950001,20.41,19.809999,20.15,9600400
2019-04-02,20.15,20.32,19.879999,19.93,7279300
2019-04-03,20.26,20.530001,19.91,20.040001,8634600
2019-04-04,20.0,20.139999,19.719999,19.950001,6131500
2019-04-05,20.059999,20.25,19.719999,19.84,9158600
2019-04-08,19.85,19.969999,19.540001,19.74,6982500
2019-04-09,18.82,19.139999,17.700001,17.77,27470700
2019-04-10,17.77,17.780001,17.120001,17.25,20677100
2019-04-11,16.809999,17.190001,16.57,16.690001,16960100
2019-04-12,16.879999,17.030001,16.5,16.74,9699600
2019-04-15,16.700001,17.08,16.620001,16.709999,8077000
2019-04-16,16.65,16.92,16.549999,16.76,6696500
2019-04-17,16.9,17.42,16.66,16.66,13508800
2019-04-18,16.639999,16.92,16.280001,16.42,11889100
2019-04-22,16.389999,16.48,15.87,16.110001,10015800
2019-04-23,16.1,16.41,16.01,16.15,11558800
2019-04-24,16.129999,16.200001,15.94,16.1,8454700
2019-04-25,16.15,16.190001,15.52,15.68,9934000
2019-04-26,15.5,15.82,15.49,15.67,7516700
2019-04-29,15.75,15.84,15.56,15.8,8312100
2019-04-30,15.98,15.98,15.48,15.6,8902300
2019-05-01,15.61,15.78,15.27,15.27,8280000
2019-05-02,14.72,14.84,14.16,14.39,25885800
2019-05-03,15.06,16.99,14.88,16.879999,43786600
2019-05-06,16.549999,16.860001,16.209999,16.629999,21709100
2019-05-07,16.450001,16.93,16.0,16.41,16487700
2019-05-08,15.52,15.78,15.18,15.4,20006600
2019-05-09,15.27,15.89,15.07,15.8,14328700
2019-05-10,15.8,15.97,15.39,15.66,11507300
2019-05-13,15.08,15.16,14.41,14.72,17781300
2019-05-14,14.88,15.22,14.65,15.11,10664900
2019-05-15,14.77,15.08,14.63,15.06,10149800
2019-05-16,15.17,15.22,14.82,14.86,8813300
2019-05-17,14.66,14.83,14.42,14.59,12975200
2019-05-20,14.44,14.57,14.13,14.26,8470100
2019-05-21,14.3,15.02,14.28,14.9,10039000
2019-05-22,14.8,14.85,13.92,14.25,17223200
2019-05-23,13.83,13.9,13.32,13.7,16216600
2019-05-24,13.81,13.89,13.5,13.63,8599000
2019-05-28,13.63,13.67,13.16,13.26,9145800
2019-05-29,13.04,13.15,12.64,12.85,14237800
2019-05-30,12.51,12.61,12.04,12.21,21122200
2019-05-31,11.82,12.06,11.67,11.82,15490000
2019-06-03,11.85,12.64,11.85,12.52,13816900
2019-06-04,12.75,13.29,12.41,13.29,16157100
2019-06-05,13.36,13.44,12.75,13.09,14949000
2019-06-06,13.12,13.28,12.76,13.21,10453600
2019-06-07,13.21,13.66,12.97,13.58,17675600
2019-06-10,13.8,14.07,13.73,13.8,10359300
2019-06-11,14.46,14.54,13.96,13.99,12968300
2019-06-12,13.83,13.95,13.61,13.75,7828200
2019-06-13,13.88,14.28,13.76,14.27,8567500
2019-06-14,14.19,14.19,13.67,13.78,8590200
2019-06-17,13.62,14.17,13.32,13.96,7516400
2019-06-18,14.15,14.87,14.1,14.58,15581400
2019-06-19,15.07,15.68,14.9,15.17,23579600
2019-06-20,15.45,15.62,14.49,14.55,14850100
2019-06-21,14.5,14.78,14.45,14.67,9280300
2019-06-24,14.63,14.75,14.35,14.45,9673800
2019-06-25,14.52,15.37,14.27,14.93,14053100
2019-06-26,15.18,15.3,14.72,15.25,11212300
2019-06-27,15.32,15.42,15.04,15.11,7752500
2019-06-28,15.18,15.34,14.94,15.31,10390900
2019-07-01,15.6,15.72,15.05,15.25,9582100
2019-07-02,15.07,15.09,14.65,14.68,8718300
2019-07-03,14.67,14.86,14.5,14.59,5393100
2019-07-05,14.47,14.79,14.4,14.75,8208200
2019-07-08,14.65,14.74,13.54,13.59,16216200
2019-07-09,13.45,13.76,13.18,13.73,15144500
2019-07-10,13.83,13.95,13.41,13.47,13279900
2019-07-11,13.46,13.92,13.36,13.79,14030100
2019-07-12,13.87,14.37,13.84,14.15,10600900
2019-07-15,14.45,14.64,14.27,14.61,9906900
2019-07-16,14.64,15.41,14.54,15.13,15430100
2019-07-17,15.13,15.13,14.7,14.94,10184000
2019-07-18,14.8,14.91,14.55,14.68,7823700
2019-07-19,14.86,15.27,14.82,15.07,10579800
2019-07-22,15.22,15.5,14.82,15.38,12327800
2019-07-23,15.5,15.87,15.47,15.62,9812400
2019-07-24,15.41,15.87,15.31,15.83,9483500
2019-07-25,15.85,15.88,15.13,15.28,8314600
2019-07-26,15.31,15.4,15.07,15.19,7068500
2019-07-29,15.12,15.3,14.87,15.27,8068400
2019-07-30,15.09,15.71,14.88,15.71,9549000
2019-07-31,15.71,15.9,14.8,15.03,11585100
2019-08-01,14.82,15.11,14.18,14.52,16524100
2019-08-02,14.14,14.14,13.02,13.27,23869300
2019-08-05,12.8,13.06,12.5,12.64,16681200
2019-08-06,12.87,12.94,12.08,12.57,15371400
2019-08-07,12.25,12.41,12.06,12.28,12927300
2019-08-08,12.33,12.78,12.28,12.73,9152400
2019-08-09,12.45,12.58,11.9,12.05,13589100
2019-08-12,11.97,11.98,11.52,11.68,10300500
2019-08-13,11.54,12.33,11.41,12.11,12881700
2019-08-14,11.61,11.86,11.47,11.56,12203400
2019-08-15,11.63,11.63,10.85,10.91,13411600
2019-08-16,11.05,11.51,10.95,11.28,10884200
2019-08-19,11.69,12.43,11.62,12.43,15558500
2019-08-20,12.3,12.5,12.17,12.31,8057400
