Date,Open,High,Low,Close,Volume
2025-01-13,5710.0,5730.0,5670.0,5700.0,333
2025-01-14,5720.0,5780.0,5720.0,5750.0,1541
2025-01-15,5790.0,5810.0,5750.0,5810.0,290
2025-01-16,5860.0,5890.0,5830.0,5850.0,2188
2025-01-17,2855.563,2870.182,2840.944,2850.69,1576
2025-01-19,5850.0,6100.0,5850.0,6100.0,16
2025-01-20,5940.0,5940.0,5840.0,5910.0,1547
2025-01-21,5960.0,5970.0,5860.0,5900.0,10119
2025-01-22,5900.0,5910.0,5830.0,5880.0,444
2025-01-23,5860.0,5860.0,5670.0,5800.0,287
2025-01-24,2855.563,2855.563,2762.977,2816.579,287
2025-01-26,5800.0,5810.0,5730.0,5780.0,363
2025-01-27,2826.325,2831.198,2792.214,2816.579,363
2025-01-28,5840.0,5840.0,5780.0,5780.0,70
2025-01-29,5810.0,5870.0,5800.0,5870.0,58
2025-01-30,5910.0,5920.0,5840.0,5840.0,3772
2025-01-31,2879.928,2884.801,2845.817,2845.817,3772
2025-02-02,5730.0,5910.0,5730.0,5850.0,498
2025-02-03,5820.0,5960.0,5820.0,5960.0,432
2025-02-04,5890.0,5990.0,5890.0,5970.0,316
2025-02-05,5960.0,5960.0,5920.0,5930.0,383
2025-02-06,5910.0,5950.0,5890.0,5910.0,915
2025-02-07,2879.928,2899.42,2870.182,2879.928,915
2025-02-09,6000.0,6000.0,5860.0,5890.0,2520
2025-02-10,5880.0,5960.0,5820.0,5930.0,1223
2025-02-11,5910.0,5910.0,5830.0,5890.0,178
2025-02-12,5910.0,6000.0,5910.0,6000.0,1083
2025-02-13,6040.0,6050.0,5990.0,6020.0,1034
2025-02-14,2943.277,2948.15,2918.912,2933.531,1034
2025-02-16,6300.0,6310.0,6000.0,6010.0,67
2025-02-17,6100.0,6130.0,6040.0,6120.0,1041
2025-02-18,6160.0,6160.0,6050.0,6080.0,790
2025-02-19,6050.0,6080.0,6010.0,6020.0,693
2025-02-20,6010.0,6070.0,5930.0,5970.0,130
2025-02-21,2928.658,2957.896,2889.674,2909.166,130
2025-02-23,5950.0,5970.0,5920.0,5930.0,413
2025-02-24,5930.0,6010.0,5890.0,6000.0,1531
2025-02-25,5980.0,6030.0,5970.0,5970.0,2431
2025-02-26,5990.0,6040.0,5990.0,6000.0,3309
2025-02-27,6030.0,6030.0,5950.0,6020.0,410
2025-02-28,2938.404,2938.404,2899.42,2933.531,410
2025-03-04,5890.0,6050.0,5890.0,6050.0,250
2025-03-05,6050.0,6080.0,6000.0,6000.0,1473
2025-03-06,6030.0,6030.0,5880.0,5950.0,78
2025-03-07,2938.404,2938.404,2865.309,2899.42,78
2025-03-09,5990.0,5990.0,5810.0,5870.0,799
2025-03-10,5800.0,5870.0,5780.0,5840.0,749
2025-03-11,5770.0,5840.0,5770.0,5820.0,585
2025-03-12,5850.0,5860.0,5800.0,5800.0,986
2025-03-13,5870.0,5950.0,5870.0,5940.0,1317
2025-03-14,2860.436,2899.42,2860.436,2899.42,1317
2025-03-16,5960.0,6050.0,5960.0,6050.0,112
2025-03-17,6140.0,6280.0,6110.0,6270.0,329
2025-03-18,6240.0,6360.0,6240.0,6260.0,159
2025-03-19,6250.0,6250.0,6180.0,6210.0,139
2025-03-20,6100.0,6130.0,6070.0,6090.0,394
2025-03-21,2986.783,3001.472,2972.093,2981.886,394
2025-03-24,6250.0,6260.0,6200.0,6260.0,325
2025-03-25,6290.0,6310.0,6240.0,6260.0,150
2025-03-26,6240.0,6250.0,6190.0,6250.0,355
2025-03-27,6190.0,6250.0,6150.0,6200.0,1267
2025-03-28,3030.85,3060.228,3011.264,3035.746,1267
2025-03-30,6250.0,6310.0,6210.0,6300.0,1791
2025-03-31,6270.0,6300.0,6230.0,6260.0,908
2025-04-01,3070.021,3084.71,3050.435,3065.124,908
2025-04-02,6200.0,6200.0,6070.0,6100.0,1157
2025-04-03,5900.0,5920.0,5770.0,5800.0,213
2025-04-04,2888.855,2898.648,2825.203,2839.892,213
2025-04-07,5880.0,5890.0,5610.0,5680.0,460
2025-04-08,5730.0,5820.0,5660.0,5740.0,3174
2025-04-09,5940.0,5990.0,5800.0,5950.0,1541
2025-04-10,6000.0,6060.0,5900.0,6020.0,2230
2025-04-11,2937.819,2967.197,2888.855,2952.508,2230
2025-04-13,5580.0,5700.0,5480.0,5660.0,485
2025-04-14,5690.0,5690.0,5560.0,5560.0,475
2025-04-15,5560.0,5560.0,5220.0,5220.0,854
2025-04-16,2722.379,2722.379,2555.902,2555.902,854
2025-04-20,4885.0,4990.0,4885.0,4985.0,3441
2025-04-21,5040.0,5260.0,5040.0,5260.0,1940
2025-04-22,5330.0,5440.0,5310.0,5390.0,990
2025-04-23,5490.0,5600.0,5490.0,5570.0,364
2025-04-24,5560.0,5560.0,5450.0,5540.0,1604
2025-04-25,2722.379,2722.379,2668.519,2712.586,1604
2025-04-27,5560.0,5560.0,5400.0,5500.0,28
2025-04-28,5500.0,5550.0,5500.0,5540.0,339
2025-04-29,5490.0,5600.0,5440.0,5600.0,2045
2025-04-30,2688.104,2741.964,2663.622,2741.964,2045
2025-05-04,5640.0,5720.0,5590.0,5720.0,166
2025-05-05,5660.0,5710.0,5610.0,5660.0,833
2025-05-06,5510.0,5510.0,5380.0,5420.0,130
2025-05-07,5420.0,5440.0,5390.0,5390.0,188
2025-05-08,5430.0,5430.0,5350.0,5380.0,113
2025-05-09,2658.726,2658.726,2619.555,2624.452,113
2025-05-11,5570.0,5580.0,5530.0,5580.0,115
2025-05-12,5580.0,5580.0,5510.0,5560.0,120
2025-05-13,5500.0,5500.0,5440.0,5490.0,162
2025-05-14,5520.0,5590.0,5520.0,5590.0,564
2025-05-15,5590.0,5680.0,5580.0,5680.0,290
2025-05-16,2737.068,2781.135,2732.172,2781.135,290
2025-05-18,5610.0,5670.0,5550.0,5670.0,131
2025-05-19,5670.0,5670.0,5610.0,5630.0,84
2025-05-20,5640.0,5640.0,5540.0,5540.0,702
2025-05-21,5540.0,5570.0,5510.0,5570.0,175
2025-05-22,5490.0,5550.0,5490.0,5500.0,430
2025-05-23,2688.104,2717.482,2688.104,2693.001,430
2025-05-25,5790.0,5790.0,5780.0,5790.0,57
2025-05-26,5590.0,5690.0,5550.0,5660.0,162
2025-05-27,5670.0,5670.0,5600.0,5600.0,246
2025-05-28,5690.0,5740.0,5640.0,5740.0,284
2025-05-29,5740.0,5800.0,5720.0,5790.0,67
2025-05-30,2810.513,2839.892,2800.721,2834.995,67
2025-06-01,5760.0,5790.0,5700.0,5730.0,2014
2025-06-02,5820.0,5850.0,5800.0,5850.0,669
2025-06-03,5820.0,5890.0,5820.0,5880.0,208
2025-06-04,5860.0,5890.0,5830.0,5830.0,111
2025-06-05,5840.0,5870.0,5830.0,5830.0,108
2025-06-06,2859.477,2874.166,2854.581,2854.581,108
2025-06-08,5880.0,5930.0,5830.0,5890.0,600
2025-06-09,5860.0,5910.0,5860.0,5910.0,325
2025-06-10,5880.0,5880.0,5830.0,5850.0,187
2025-06-11,5860.0,5870.0,5820.0,5860.0,951
2025-06-12,5860.0,5860.0,5760.0,5760.0,84
2025-06-13,2869.27,2869.27,2820.306,2820.306,84
2025-06-16,5810.0,5840.0,5700.0,5700.0,454
2025-06-17,5670.0,5670.0,5620.0,5620.0,50
2025-06-18,5700.0,5900.0,5700.0,5700.0,40
2025-06-19,2790.928,2888.855,2790.928,2790.928,40
2025-06-22,5640.0,5720.0,5600.0,5710.0,592
2025-06-23,5710.0,5810.0,5710.0,5800.0,1464
2025-06-24,5730.0,5790.0,5700.0,5770.0,387
2025-06-25,5850.0,5900.0,5840.0,5840.0,59
2025-06-26,5910.0,5910.0,5830.0,5840.0,671
2025-06-27,2925.67,2925.67,2886.067,2891.018,671
2025-06-29,5870.0,5940.0,5860.0,5940.0,355
2025-06-30,5920.0,6200.0,5920.0,6170.0,1594
2025-07-01,6280.0,6310.0,6230.0,6310.0,811
2025-07-02,6310.0,6330.0,6260.0,6330.0,130
2025-07-03,6330.0,6600.0,6300.0,6600.0,316
2025-07-04,3133.586,3267.246,3118.735,3262.296,316
2025-07-06,6340.0,6450.0,6310.0,6440.0,1278
2025-07-07,6420.0,6440.0,6350.0,6370.0,844
2025-07-08,3178.139,3188.04,3143.487,3153.388,844
2025-07-09,6490.0,6560.0,6490.0,6490.0,388
2025-07-10,6470.0,6490.0,6400.0,6480.0,702
2025-07-11,3202.891,3212.792,3168.239,3207.842,702
2025-07-13,6430.0,6580.0,6400.0,6580.0,389
2025-07-14,6530.0,6530.0,6340.0,6350.0,1064
2025-07-15,6200.0,6350.0,6200.0,6300.0,726
2025-07-16,6330.0,6440.0,6290.0,6390.0,638
2025-07-17,6460.0,6500.0,6430.0,6470.0,644
2025-07-18,3197.941,3217.742,3183.09,3202.891,644
2025-07-20,6540.0,6610.0,6500.0,6500.0,1016
2025-07-21,6470.0,6470.0,6410.0,6470.0,21641
2025-07-22,6490.0,6550.0,6460.0,6490.0,38192
2025-07-23,6490.0,6490.0,6400.0,6490.0,101
2025-07-24,6490.0,6630.0,6480.0,6600.0,1095
2025-07-25,3212.792,3282.097,3207.842,3267.246,1095
2025-07-27,6600.0,6600.0,6510.0,6540.0,694
2025-07-28,6570.0,6570.0,6470.0,6520.0,20005
2025-07-29,6480.0,6550.0,6450.0,6460.0,40764
2025-07-30,6640.0,6710.0,6550.0,6650.0,9658
2025-07-31,6460.0,6610.0,6460.0,6600.0,1466
2025-08-01,3197.941,3272.197,3197.941,3247.445,1466
2025-08-03,6330.0,6660.0,6330.0,6600.0,644
2025-08-04,6640.0,6640.0,6590.0,6600.0,514
2025-08-05,6520.0,6560.0,6480.0,6480.0,1875
2025-08-06,6580.0,6580.0,6480.0,6510.0,920
2025-08-07,6540.0,6580.0,6540.0,6560.0,356
2025-08-08,3237.544,3257.345,3237.544,3247.445,356
2025-08-10,6560.0,6560.0,6470.0,6510.0,440
2025-08-11,6460.0,6590.0,6460.0,6580.0,57
2025-08-12,6570.0,6710.0,6570.0,6710.0,854
2025-08-13,6590.0,6590.0,6500.0,6580.0,535
2025-08-14,3262.296,3262.296,3217.742,3257.345,535
2025-08-17,6540.0,6540.0,6460.0,6500.0,1404
2025-08-18,6520.0,6530.0,6480.0,6530.0,1128
2025-08-19,6520.0,6580.0,6510.0,6580.0,63219
2025-08-20,6580.0,6660.0,6550.0,6660.0,602
2025-08-21,6700.0,6850.0,6700.0,6850.0,1033
2025-08-22,3316.75,3391.005,3316.75,3386.055,1033
2025-08-24,6850.0,6960.0,6850.0,6960.0,1043
2025-08-25,6930.0,6970.0,6890.0,6950.0,1960
2025-08-26,6920.0,7030.0,6920.0,6970.0,1416
2025-08-27,6950.0,6950.0,6840.0,6910.0,2656
2025-08-28,6900.0,6960.0,6820.0,6960.0,1738
2025-08-29,3415.757,3445.46,3376.154,3445.46,1738
2025-08-31,6960.0,7350.0,6640.0,7100.0,3407
2025-09-01,7000.0,7000.0,6920.0,6960.0,6529
2025-09-02,6920.0,6970.0,6910.0,6950.0,2079
2025-09-03,6890.0,7010.0,6890.0,7010.0,1277
2025-09-04,7140.0,7140.0,7030.0,7110.0,1466
2025-09-05,3534.566,3534.566,3480.112,3519.715,1466
2025-09-07,7280.0,7455.0,7280.0,7385.0,529
2025-09-08,7255.0,7260.0,7180.0,7250.0,614
2025-09-09,7235.0,7260.0,7170.0,7245.0,1321
2025-09-10,7235.0,7455.0,7235.0,7455.0,2949
2025-09-11,7450.0,7565.0,7425.0,7560.0,3291
2025-09-12,3688.028,3744.957,3675.652,3737.532,3291
2025-09-14,7475.0,7575.0,7475.0,7575.0,3684
2025-09-15,7490.0,7490.0,7420.0,7455.0,4614
2025-09-16,7500.0,7655.0,7490.0,7580.0,1231
2025-09-17,7580.0,7890.0,7575.0,7890.0,4471
2025-09-18,7805.0,7940.0,7790.0,7915.0,2081
2025-09-19,3863.766,3930.596,3856.341,3918.22,2081
2025-09-21,7685.0,7685.0,7115.0,7235.0,1081
2025-09-22,6955.0,7140.0,6930.0,7055.0,1287
2025-09-23,6865.0,6995.0,6865.0,6875.0,1173
2025-09-24,6840.0,6870.0,6805.0,6860.0,2101
2025-09-25,6865.0,7285.0,6840.0,7270.0,64613
2025-09-26,3414.404,3623.297,3401.97,3615.836,64613
2025-09-28,7335.0,7405.0,7220.0,7400.0,7321
2025-09-29,7475.0,7695.0,7390.0,7695.0,2045
2025-09-30,7695.0,7795.0,7670.0,7765.0,7213
2025-10-01,7765.0,7845.0,7690.0,7705.0,4408
2025-10-02,7675.0,7740.0,7605.0,7635.0,4279
2025-10-03,3817.268,3849.597,3782.453,3792.4,4279
2025-10-05,7600.0,7670.0,7570.0,7585.0,1609
2025-10-06,7585.0,7755.0,7575.0,7755.0,1879
2025-10-07,7760.0,7830.0,7700.0,7760.0,1777
2025-10-08,7775.0,7810.0,7145.0,7145.0,14175
2025-10-09,3867.005,3884.413,3553.666,3576.047,14175
2025-10-12,6850.0,7065.0,6850.0,7065.0,1800
2025-10-13,6995.0,7335.0,6980.0,7315.0,813
2025-10-14,7320.0,7360.0,7110.0,7160.0,671
2025-10-15,7200.0,7350.0,7170.0,7315.0,541
2025-10-16,7330.0,7580.0,7260.0,7580.0,1304
2025-10-17,3645.678,3770.019,3610.862,3770.019,1304
2025-10-19,7645.0,7775.0,7615.0,7740.0,4835
2025-10-20,7670.0,7950.0,7620.0,7905.0,987
2025-10-21,7975.0,7990.0,7880.0,7925.0,1336
2025-10-22,7925.0,7925.0,7690.0,7690.0,2918
2025-10-23,7690.0,7790.0,7650.0,7760.0,2053
2025-10-24,3824.729,3874.465,3804.834,3859.544,2053
2025-10-26,6765.0,7260.0,6765.0,7160.0,3856
2025-10-27,7365.0,7420.0,7330.0,7335.0,4866
2025-10-28,7310.0,7350.0,7210.0,7240.0,9353
2025-10-29,7175.0,7210.0,7125.0,7160.0,575
2025-10-30,7125.0,7205.0,7040.0,7135.0,7348
2025-10-31,3543.718,3583.507,3501.442,3548.692,7348
2025-11-02,7085.0,7210.0,7035.0,7180.0,2912
2025-11-03,7180.0,7180.0,7090.0,7125.0,3254
2025-11-04,7355.0,7355.0,7075.0,7120.0,10721
2025-11-05,7075.0,7135.0,7075.0,7080.0,78
2025-11-06,7030.0,7110.0,7025.0,7050.0,635
2025-11-07,3496.469,3536.258,3493.982,3496.469,635
2025-11-09,7120.0,7145.0,6990.0,7145.0,1411
2025-11-10,7200.0,7205.0,7105.0,7195.0,6913
2025-11-11,7175.0,7275.0,7135.0,7270.0,5053
2025-11-12,7180.0,7265.0,7180.0,7235.0,2646
2025-11-13,7130.0,7245.0,7125.0,7230.0,1421
2025-11-14,3546.205,3603.402,3543.718,3590.968,1421
2025-11-16,7215.0,7215.0,7065.0,7065.0,2235
2025-11-17,7070.0,7080.0,6990.0,7000.0,1329
2025-11-18,6950.0,7065.0,6950.0,7025.0,56831
2025-11-19,7095.0,7150.0,7005.0,7065.0,2096
2025-11-20,3528.797,3556.152,3484.035,3511.39,2096
2025-11-21,3536.258,3625.783,3536.258,3603.402,52
2025-11-24,7315.0,7440.0,7185.0,7420.0,7767
2025-11-25,7380.0,7610.0,7380.0,7600.0,1084
2025-11-26,7280.0,7835.0,7280.0,7835.0,211
2025-11-27,7745.0,8000.0,7370.0,7520.0,4615
2025-11-28,3852.084,3978.912,3665.572,3757.585,4615
2025-12-01,7510.0,7525.0,7435.0,7470.0,966
2025-12-02,7455.0,7540.0,7455.0,7485.0,702
2025-12-03,7435.0,7460.0,7385.0,7450.0,361
2025-12-04,3715.0,3735.0,3682.5,3725.0,1710
2025-12-05,3695.414,3715.309,3663.086,3702.875,1710
2025-12-08,3655.0,3660.0,3592.5,3645.0,999
2025-12-09,3585.0,3680.0,3585.0,3680.0,2978
2025-12-10,3715.0,3795.0,3655.0,3787.5,1495
2025-12-11,3820.0,3820.0,3762.5,3800.0,2860
2025-12-12,3799.861,3799.861,3742.664,3787.427,2860
2025-12-14,3845.0,3845.0,3770.0,3845.0,8362
2025-12-15,3802.5,3882.5,3802.5,3835.0,3114
2025-12-16,3840.0,3912.5,3835.0,3905.0,18376
2025-12-17,3935.0,3937.5,3850.0,3892.5,4108
2025-12-18,3900.0,3917.5,3862.5,3917.5,24235
2025-12-19,3879.439,3896.847,3842.137,3896.847,24235
2025-12-21,3917.5,3932.5,3845.0,3910.0,4380
2025-12-22,3872.5,3960.0,3865.0,3865.0,4286
2025-12-23,3847.5,3900.0,3847.5,3897.5,22
2025-12-24,3847.5,3900.0,3847.5,3897.5,22
2025-12-25,3900.0,3937.5,3745.0,3930.0,1072
2025-12-26,3900.0,3937.5,3745.0,3927.5,1072
2025-12-28,3927.5,3927.5,3860.0,3860.0,4928
2025-12-29,3935.0,3937.5,3860.0,3877.5,1659
2025-12-30,3935.0,3937.5,3860.0,3877.5,1659
2026-01-01,3842.5,3960.0,3842.5,3960.0,7610
2026-01-02,3842.5,3960.0,3842.5,3960.0,7610
2026-01-04,3967.5,4005.0,3927.5,3995.0,7293
2026-01-05,4027.5,4062.5,3962.5,4040.0,5388
2026-01-06,4070.0,4070.0,3970.0,3995.0,3499
2026-01-07,3912.5,4057.5,3912.5,4057.5,11540
2026-01-08,4080.0,4120.0,4057.5,4112.5,118354
2026-01-09,4080.0,4120.0,4057.5,4112.5,118354
2026-01-11,4085.0,4140.0,4085.0,4127.5,9408
2026-01-12,4090.0,4152.5,4090.0,4140.0,35069
2026-01-13,4160.0,4285.0,4115.0,4137.5,187493
2026-01-14,4145.0,4150.0,4082.5,4140.0,46898
2026-01-15,4070.0,4115.0,4065.0,4115.0,22696
2026-01-16,4070.0,4115.0,4065.0,4115.0,22696
2026-01-18,4160.0,4300.0,3965.0,4000.0,4357
2026-01-19,4080.0,4090.0,4032.5,4077.5,5467
2026-01-20,4112.5,4157.5,4100.0,4147.5,6603
2026-01-21,4157.5,4177.5,4097.5,4127.5,8418
2026-01-22,4160.0,4190.0,4125.0,4170.0,27748
2026-01-23,4160.0,4190.0,4125.0,4177.5,27748
2026-01-25,4207.5,4260.0,4207.5,4230.0,65013
2026-01-26,4197.5,4245.0,4187.5,4195.0,11387
2026-01-27,4140.0,4222.5,4140.0,4162.5,12265
2026-01-28,4195.0,4242.5,4122.5,4172.5,46183
2026-01-29,4102.5,4152.5,4065.0,4120.0,4192
2026-01-30,4102.5,4152.5,4065.0,4105.0,4192
2026-02-01,4110.0,4150.0,4097.5,4142.5,5671
2026-02-02,4122.5,4255.0,4115.0,4185.0,5847
2026-02-03,4185.0,4322.5,4185.0,4322.5,8489
2026-02-04,4317.5,4317.5,4215.0,4252.5,9282
2026-02-05,4295.0,4307.5,4227.5,4247.5,2664
2026-02-06,4295.0,4307.5,4227.5,4247.5,2664
2026-02-08,4250.0,4295.0,4235.0,4267.5,117010
2026-02-09,4247.5,4335.0,4237.5,4335.0,12912
2026-02-10,4372.5,4385.0,4327.5,4370.0,6857
2026-02-11,4337.5,4412.5,4300.0,4310.0,5292
2026-02-12,4337.5,4412.5,4300.0,4330.0,5292
2026-02-13,4310.0,4397.5,4262.5,4370.0,5224
