Date,Open,High,Low,Close,Volume
2025-01-14,6020.0,6050.0,5980.0,5980.0,1956
2025-01-15,6120.0,6130.0,6070.0,6090.0,1533
2025-01-16,6100.0,6100.0,6050.0,6090.0,9550
2025-01-17,6170.0,6170.0,6080.0,6100.0,2093
2025-01-20,6020.0,6380.0,5980.0,6100.0,195
2025-01-21,6100.0,6190.0,6090.0,6170.0,2784
2025-01-22,6240.0,6260.0,6200.0,6240.0,1430
2025-01-23,6230.0,6230.0,6170.0,6170.0,1743
2025-01-24,6230.0,6230.0,6020.0,6170.0,1571
2025-01-27,6100.0,6250.0,6100.0,6210.0,998
2025-01-28,6270.0,6310.0,6220.0,6300.0,834
2025-01-29,6360.0,6360.0,6270.0,6340.0,924
2025-01-30,6340.0,6400.0,6280.0,6350.0,1354
2025-01-31,6410.0,6470.0,6370.0,6390.0,5629
2025-02-03,6390.0,6470.0,6270.0,6460.0,754
2025-02-04,6530.0,6530.0,6390.0,6530.0,4256
2025-02-05,6460.0,6490.0,6410.0,6480.0,501
2025-02-06,6510.0,6510.0,6470.0,6480.0,1205
2025-02-07,6500.0,6550.0,6470.0,6480.0,1823
2025-02-10,6510.0,6580.0,6470.0,6490.0,573
2025-02-11,6470.0,6500.0,6440.0,6510.0,474
2025-02-12,6490.0,6510.0,6420.0,6510.0,1197
2025-02-13,6560.0,6560.0,6500.0,6540.0,584
2025-02-14,6620.0,6660.0,6600.0,6660.0,709
2025-02-17,6600.0,6600.0,6480.0,6730.0,136
2025-02-18,6790.0,6790.0,6620.0,6630.0,2613
2025-02-19,6710.0,6740.0,6660.0,6710.0,673
2025-02-20,6720.0,6720.0,6650.0,6680.0,316
2025-02-21,6650.0,6710.0,6590.0,6620.0,685
2025-02-24,6600.0,6670.0,6570.0,6630.0,484
2025-02-25,6600.0,6600.0,6480.0,6540.0,461
2025-02-26,6540.0,6560.0,6510.0,6500.0,773
2025-02-27,6500.0,6570.0,6460.0,6460.0,585
2025-02-28,6520.0,6550.0,6480.0,6550.0,558
2025-03-05,6500.0,6600.0,6390.0,6580.0,749
2025-03-06,6570.0,6610.0,6470.0,6480.0,616
2025-03-07,6480.0,6520.0,6350.0,6430.0,741
2025-03-10,6400.0,6400.0,6250.0,6340.0,504
2025-03-11,6270.0,6290.0,6190.0,6220.0,857
2025-03-12,6220.0,6290.0,6180.0,6290.0,247
2025-03-13,6240.0,6260.0,6170.0,6140.0,342
2025-03-14,6220.0,6310.0,6220.0,6300.0,112
2025-03-17,6350.0,6470.0,6340.0,6400.0,784
2025-03-18,6350.0,6570.0,6350.0,6520.0,201
2025-03-19,6520.0,6650.0,6520.0,6560.0,1944
2025-03-20,6560.0,6610.0,6530.0,6540.0,3576
2025-03-21,6550.0,6650.0,6550.0,6630.0,7872
2025-03-25,6810.0,6850.0,6770.0,6840.0,496
2025-03-26,6840.0,6880.0,6770.0,6780.0,1344
2025-03-27,6700.0,6780.0,6700.0,6740.0,608
2025-03-28,6710.0,6710.0,6570.0,6610.0,362
2025-03-31,6570.0,6700.0,6570.0,6690.0,2321
2025-04-01,6660.0,6720.0,6650.0,6680.0,392
2025-04-03,6590.0,6590.0,6450.0,6450.0,2504
2025-04-04,6350.0,6360.0,6130.0,6120.0,1285
2025-04-07,6030.0,6350.0,6000.0,6310.0,4478
2025-04-08,6380.0,6490.0,6230.0,6240.0,1930
2025-04-09,6240.0,6670.0,6190.0,6640.0,1804
2025-04-10,6520.0,6550.0,6320.0,6540.0,2047
2025-04-11,6530.0,6580.0,6290.0,6490.0,1887
2025-04-14,6010.0,6120.0,5900.0,6100.0,838
2025-04-15,6110.0,6110.0,6000.0,6000.0,5531
2025-04-16,5970.0,5970.0,5510.0,5530.0,486
2025-04-21,5500.0,5550.0,5080.0,5230.0,1456
2025-04-22,5270.0,5490.0,5270.0,5480.0,317
2025-04-23,5590.0,5810.0,5590.0,5760.0,2891
2025-04-24,5910.0,5990.0,5860.0,5950.0,2310
2025-04-25,5990.0,6040.0,5890.0,6000.0,663
2025-04-28,6000.0,6000.0,5840.0,5970.0,584
2025-04-29,6000.0,6020.0,5940.0,5940.0,2205
2025-04-30,5890.0,6030.0,5810.0,6040.0,1510
2025-05-05,6080.0,6270.0,6080.0,6270.0,370
2025-05-06,6270.0,6290.0,6180.0,6250.0,1006
2025-05-07,6210.0,6230.0,5930.0,6010.0,2524
2025-05-08,6070.0,6070.0,5920.0,5940.0,1257
2025-05-09,5940.0,5990.0,5820.0,5940.0,2039
2025-05-12,6050.0,6060.0,5940.0,6060.0,899
2025-05-13,6020.0,6120.0,6020.0,6080.0,604
2025-05-14,6080.0,6150.0,6070.0,6110.0,2382
2025-05-15,6170.0,6230.0,6110.0,6210.0,2735
2025-05-16,6210.0,6280.0,6190.0,6300.0,979
2025-05-19,6310.0,6310.0,6160.0,6270.0,1459
2025-05-20,6270.0,6270.0,6210.0,6270.0,1695
2025-05-21,6270.0,6300.0,6160.0,6160.0,5604
2025-05-22,6260.0,6260.0,6120.0,6170.0,343
2025-05-23,6110.0,6140.0,6060.0,6100.0,2010
2025-05-26,6090.0,6380.0,6030.0,6270.0,191
2025-05-27,6200.0,6300.0,6170.0,6270.0,810
2025-05-28,6340.0,6340.0,6290.0,6330.0,1197
2025-05-29,6360.0,6360.0,6250.0,6320.0,288
2025-05-30,6370.0,6450.0,6340.0,6440.0,779
2025-06-02,6420.0,6420.0,6320.0,6370.0,1683
2025-06-03,6330.0,6410.0,6320.0,6380.0,563
2025-06-04,6410.0,6480.0,6390.0,6480.0,1463
2025-06-05,6510.0,6560.0,6420.0,6470.0,663
2025-06-06,6520.0,6580.0,6490.0,6560.0,5293
2025-06-09,6590.0,6590.0,6500.0,6510.0,579
2025-06-10,6510.0,6590.0,6510.0,6550.0,733
2025-06-11,6600.0,6610.0,6520.0,6520.0,1139
2025-06-12,6490.0,6570.0,6480.0,6460.0,1220
2025-06-13,6450.0,6520.0,6420.0,6420.0,1214
2025-06-17,6480.0,6520.0,6390.0,6440.0,737
2025-06-18,6440.0,6440.0,6320.0,6340.0,382
2025-06-19,6400.0,6600.0,6300.0,6600.0,145
2025-06-23,6370.0,6490.0,6320.0,6470.0,404
2025-06-24,6500.0,6600.0,6500.0,6550.0,721
2025-06-25,6580.0,6660.0,6550.0,6620.0,559
2025-06-26,6660.0,6740.0,6660.0,6740.0,625
2025-06-27,6750.0,6800.0,6720.0,6780.0,1079
2025-06-30,6860.0,6930.0,6800.0,6950.0,342
2025-07-01,6940.0,7030.0,6840.0,7030.0,1583
2025-07-02,7000.0,7090.0,6970.0,7040.0,1032
2025-07-03,7040.0,7100.0,6970.0,7000.0,1493
2025-07-04,7000.0,7350.0,7000.0,7350.0,407
2025-07-07,7140.0,7220.0,7060.0,7170.0,2240
2025-07-08,7210.0,7210.0,7070.0,7070.0,1120
2025-07-10,7090.0,7170.0,7070.0,7150.0,896
2025-07-11,7130.0,7130.0,7070.0,7110.0,605
2025-07-14,7160.0,7330.0,7110.0,7330.0,216
2025-07-15,7320.0,7340.0,7140.0,7120.0,1264
2025-07-16,7100.0,7180.0,7050.0,7150.0,1256
2025-07-17,7080.0,7230.0,7080.0,7180.0,333
2025-07-18,7180.0,7260.0,7130.0,7250.0,501
2025-07-21,7320.0,7370.0,7260.0,7250.0,701
2025-07-22,7300.0,7300.0,7150.0,7190.0,828
2025-07-23,7160.0,7240.0,7160.0,7210.0,487
2025-07-24,7280.0,7320.0,7250.0,7310.0,2201
2025-07-25,7270.0,7320.0,7220.0,7280.0,1100
2025-07-28,7310.0,7330.0,7250.0,7280.0,502
2025-07-29,7350.0,7350.0,7210.0,7250.0,1232
2025-07-30,7260.0,7430.0,7210.0,7400.0,3731
2025-07-31,7500.0,7820.0,7500.0,7710.0,2752
2025-08-01,7520.0,7700.0,7490.0,7650.0,1423
2025-08-04,7350.0,7760.0,7350.0,7700.0,507
2025-08-05,7740.0,7760.0,7580.0,7580.0,1197
2025-08-06,7600.0,7620.0,7520.0,7590.0,1134
2025-08-07,7630.0,7630.0,7480.0,7530.0,858
2025-08-08,7530.0,7590.0,7510.0,7580.0,372
2025-08-11,7610.0,7650.0,7550.0,7570.0,888
2025-08-12,7640.0,7720.0,7610.0,7710.0,917
2025-08-13,7690.0,7770.0,7690.0,7710.0,1014
2025-08-14,7720.0,7750.0,7660.0,7700.0,809
2025-08-18,7630.0,7660.0,7570.0,7580.0,3323
2025-08-19,7600.0,7600.0,7500.0,7580.0,250
2025-08-20,7500.0,7600.0,7480.0,7550.0,263
2025-08-21,7550.0,7650.0,7550.0,7650.0,195
2025-08-22,7710.0,7830.0,7710.0,7830.0,509
2025-08-25,7830.0,8010.0,7800.0,8020.0,1191
2025-08-26,7940.0,7960.0,7900.0,7940.0,779
2025-08-27,7900.0,8020.0,7900.0,7970.0,3731
2025-08-28,7950.0,7960.0,7860.0,7930.0,2001
2025-08-29,7850.0,7970.0,7750.0,7960.0,2896
2025-09-01,7960.0,8310.0,7830.0,8100.0,270
2025-09-02,8060.0,8060.0,7930.0,8030.0,2080
2025-09-03,8060.0,8180.0,8050.0,8170.0,1556
2025-09-04,8200.0,8290.0,8160.0,8300.0,1702
2025-09-05,8380.0,8410.0,8310.0,8340.0,2684
2025-09-08,8720.0,8860.0,8655.0,8730.0,1329
2025-09-09,8645.0,8750.0,8645.0,8760.0,506
2025-09-10,8650.0,8670.0,8555.0,8670.0,1173
2025-09-11,8665.0,8875.0,8630.0,8880.0,879
2025-09-12,8885.0,9120.0,8885.0,9110.0,3201
2025-09-15,9150.0,9325.0,9150.0,9295.0,3916
2025-09-16,9295.0,9295.0,9175.0,9230.0,3157
2025-09-17,9300.0,9380.0,9210.0,9390.0,4215
2025-09-18,9375.0,9770.0,9375.0,9770.0,2896
2025-09-19,9715.0,9860.0,9630.0,9850.0,1993
2025-09-22,9580.0,9580.0,8905.0,8990.0,2317
2025-09-23,8865.0,8870.0,8570.0,8790.0,2946
2025-09-24,8575.0,8670.0,8520.0,8630.0,1117
2025-09-25,8565.0,8665.0,8490.0,8660.0,998
2025-09-26,8690.0,9170.0,8585.0,9155.0,1174
2025-09-29,9245.0,9325.0,9155.0,9345.0,5260
2025-09-30,9345.0,9630.0,9275.0,9565.0,2549
2025-10-01,9655.0,9750.0,9470.0,9670.0,2664
2025-10-02,9725.0,9725.0,9460.0,9540.0,2839
2025-10-03,9575.0,9575.0,9350.0,9360.0,2676
2025-10-06,9410.0,9410.0,9220.0,9350.0,4058
2025-10-07,9330.0,9540.0,9320.0,9510.0,4060
2025-10-08,9525.0,9555.0,9410.0,9440.0,5019
2025-10-09,9440.0,9480.0,8820.0,8840.0,15421
2025-10-13,8360.0,8630.0,8305.0,8565.0,968
2025-10-14,8515.0,8950.0,8515.0,8835.0,1013
2025-10-15,8930.0,9015.0,8735.0,8820.0,3337
2025-10-16,8860.0,9020.0,8810.0,8985.0,1182
2025-10-17,8900.0,9365.0,8900.0,9330.0,1031
2025-10-20,9330.0,9635.0,9330.0,9585.0,1614
2025-10-21,9620.0,9920.0,9540.0,9870.0,2750
2025-10-22,9860.0,9925.0,9750.0,9830.0,1138
2025-10-23,9830.0,9830.0,9425.0,9460.0,3376
2025-10-24,9465.0,9595.0,9395.0,9550.0,1364
2025-10-27,8430.0,9065.0,8405.0,9000.0,2642
2025-10-28,9040.0,9205.0,9040.0,9180.0,640
2025-10-29,9135.0,9145.0,8990.0,9120.0,1733
