Date,Open,High,Low,Close,Volume
2022-01-17,6963.5,7054.0,6745.0,6882.0,10445
2022-01-18,7062.5,7062.5,6718.0,6936.5,10840
2022-01-19,6926.0,7210.0,6866.0,7183.0,30201
2022-01-20,7085.5,7100.0,6940.0,7014.5,13212
2022-01-23,6905.5,7029.0,6763.0,7013.0,15823
2022-01-24,7100.0,7520.0,6970.0,7468.5,8049
2022-01-25,7500.0,7700.0,7470.5,7595.0,11237
2022-01-26,7700.5,7808.0,7610.5,7649.5,11174
2022-01-27,7835.0,7835.0,7250.5,7314.0,10379
2022-01-30,7538.5,7538.5,7240.5,7383.0,6580
2022-01-31,7366.5,7682.0,7251.0,7611.0,11031
2022-02-01,7816.5,7816.5,7449.0,7511.0,8947
2022-02-02,7589.5,7589.5,7352.5,7514.5,7198
2022-02-03,7600.0,7758.0,7588.0,7611.0,6997
2022-02-06,7653.0,7719.0,7500.0,7703.0,7189
2022-02-07,7722.0,7723.0,7324.0,7365.5,4760
2022-02-08,7443.0,7457.5,7312.5,7352.5,7550
2022-02-09,7400.0,7471.0,7263.5,7381.0,9245
2022-02-10,7390.0,7552.5,7385.0,7493.5,11914
2022-02-13,7505.0,7562.0,7277.0,7328.0,3702
2022-02-14,7249.0,7260.5,7128.5,7201.0,3983
2022-02-15,7300.0,7373.0,7259.5,7320.5,4058
2022-02-16,7499.0,7499.0,7167.0,7215.0,2858
2022-02-17,7295.0,7295.0,6990.0,7046.0,3770
2022-02-20,7100.0,7100.0,6650.5,7034.5,790
2022-02-21,7112.0,7264.0,6700.0,6741.0,10220
2022-02-22,6741.0,6920.0,6721.0,6846.5,5957
2022-02-23,7061.5,7186.0,6656.5,6762.0,21538
2022-02-24,6891.0,7015.5,6780.0,6891.5,5957
2022-03-01,7264.5,7474.0,7242.0,7408.5,10546
2022-03-02,7325.0,7436.0,7247.5,7361.0,4814
2022-03-03,7451.0,7550.0,7343.5,7530.0,12047
2022-03-06,7620.0,7766.5,7438.5,7598.5,14084
2022-03-07,7700.0,8013.0,7531.0,7738.0,13278
2022-03-08,7505.5,7559.5,7170.0,7255.0,9246
2022-03-09,7294.5,7470.0,7294.5,7392.5,2841
2022-03-10,7450.0,7450.0,7236.0,7391.0,3193
2022-03-13,7123.5,7148.5,6910.0,6998.5,4933
2022-03-14,6782.5,6850.0,6591.0,6783.5,4551
2022-03-15,6850.0,6954.0,6759.5,6938.5,22255
2022-03-16,7000.5,7272.5,7000.0,7258.0,9196
2022-03-17,7350.0,7350.0,7207.0,7214.0,3389
2022-03-20,7334.0,7538.0,7334.0,7516.0,3065
2022-03-21,7518.0,7588.0,7424.5,7575.0,5584
2022-03-22,7644.0,7779.5,7644.0,7740.0,3023
2022-03-24,7789.5,7890.0,7688.0,7875.0,3040
2022-03-25,7789.5,7890.0,7688.0,7875.0,0
2022-03-27,7794.5,7794.5,7480.0,7519.0,3442
2022-03-28,7400.0,7410.0,7270.5,7378.5,5072
2022-03-29,7549.0,7549.0,7400.5,7473.5,4882
2022-03-30,7500.0,7540.0,7305.5,7317.5,3237
2022-03-31,7320.0,7408.5,7230.0,7320.0,2539
2022-04-03,7200.0,7352.0,7200.0,7341.5,3935
2022-04-04,7400.0,7519.0,7202.0,7219.0,1609
2022-04-05,7340.0,7386.0,7222.0,7230.0,6136
2022-04-06,7260.0,7400.0,7171.5,7394.5,2447
2022-04-07,7394.5,7605.5,7394.5,7591.0,17022
2022-04-08,7394.5,7605.5,7394.5,7591.0,17022
2022-04-10,7523.5,7523.5,7315.0,7365.0,2855
2022-04-11,7507.5,7642.5,7490.0,7499.5,1160
2022-04-12,7650.0,7650.0,7410.0,7583.5,1247
2022-04-13,7650.0,7650.0,7410.0,7583.5,1247
2022-04-17,7649.0,7761.0,7606.0,7656.0,2515
2022-04-18,7700.0,7750.0,7595.0,7677.5,1869
2022-04-19,7745.0,7900.0,7585.0,7889.0,3616
2022-04-20,7900.0,8034.5,7894.5,7926.0,16965
2022-04-21,8040.0,8113.0,7930.0,8023.0,4283
2022-04-22,8040.0,8113.0,7930.0,8023.0,4283
2022-04-24,8000.0,8000.0,7395.0,7739.0,5204
2022-04-25,7739.0,7973.5,7739.0,7936.5,5003
2022-04-26,8000.0,8061.0,7824.5,7878.0,2289
2022-04-27,7950.0,8009.0,7696.5,7974.0,1737
2022-04-28,7974.0,7974.0,7750.0,7776.0,1075
2022-04-29,7974.0,7974.0,7750.0,7776.0,1075
2022-05-01,7780.0,8050.0,7780.0,8035.0,2685
2022-05-02,8090.0,8200.5,8088.5,8174.0,5361
2022-05-03,8300.0,8383.5,8199.5,8350.5,4426
2022-05-04,8350.5,8476.5,8135.0,8303.5,7528
2022-05-05,8303.0,8647.5,8300.0,8639.0,2435
2022-05-06,8303.0,8647.5,8300.0,8639.0,2435
2022-05-08,8599.0,8599.0,7869.5,7894.5,5306
2022-05-09,8105.0,8162.5,7785.5,7987.0,2937
2022-05-10,8226.5,8325.0,8076.0,8119.5,1411
2022-05-11,7960.0,8112.0,7861.0,8030.0,2739
2022-05-12,8331.5,8619.0,8326.5,8604.5,5076
2022-05-13,8331.5,8619.0,8326.5,8604.5,5076
2022-05-15,8705.5,8957.5,8679.5,8850.0,9798
2022-05-16,9000.0,9000.0,8788.0,8858.0,4050
2022-05-17,9000.0,9000.0,8788.0,8858.0,4050
2022-05-18,8492.5,8726.5,8466.5,8596.0,1606
2022-05-19,8767.5,8808.0,8480.0,8632.0,2079
2022-05-20,8767.5,8808.0,8480.0,8632.0,2079
2022-05-22,8759.0,8894.0,8700.0,8869.5,7274
2022-05-23,8891.5,9040.0,8777.5,8981.5,9704
2022-05-24,8891.5,9040.0,8777.5,8981.5,9704
2022-05-25,9157.0,9330.0,9157.0,9324.5,7715
2022-05-26,9331.5,9419.5,9308.0,9392.5,3658
2022-05-27,9331.5,9419.5,9308.0,9392.5,3658
2022-05-29,9420.0,9725.0,9281.0,9400.0,608
2022-05-30,9550.0,9600.0,9140.0,9185.5,4738
2022-05-31,9358.0,9406.0,9193.5,9384.0,4712
2022-06-01,9241.5,9383.0,9163.0,9244.0,7609
2022-06-02,9353.5,9426.0,9249.0,9390.5,13978
2022-06-03,9353.5,9426.0,9249.0,9390.5,13978
2022-06-05,9391.0,9452.5,9296.5,9415.5,11401
2022-06-06,9566.0,9699.0,9533.0,9673.5,7907
2022-06-07,9700.0,9760.0,9636.0,9726.0,2937
2022-06-08,9685.5,10002.5,9587.5,9980.5,5471
2022-06-09,9988.0,10156.0,9750.5,10137.0,5212
2022-06-10,9988.0,10156.0,9750.5,10137.0,5212
2022-06-12,9668.0,10193.0,9596.5,10095.0,22342
2022-06-13,10200.0,10413.5,10000.5,10160.0,10242
2022-06-14,10135.5,10154.0,9701.0,9876.0,26492
2022-06-15,9493.5,9604.5,9319.0,9402.0,11284
2022-06-16,9493.5,9604.5,9319.0,9402.0,11284
2022-06-20,9162.5,9253.0,9041.0,9226.0,8381
2022-06-21,8897.5,8950.5,8713.5,8723.0,4768
2022-06-22,8672.0,8721.5,8211.0,8387.0,3398
2022-06-23,8449.5,8648.0,8400.0,8510.5,1699
2022-06-24,8449.5,8648.0,8400.0,8510.5,1699
2022-06-26,8657.5,9058.0,8631.0,9018.0,3592
2022-06-27,9290.5,9594.0,9172.0,9463.5,7551
2022-06-28,9465.0,9551.5,9150.0,9184.5,8343
2022-06-29,9149.0,9255.0,8962.5,9091.0,9827
2022-06-30,9200.0,9200.0,8893.0,9170.0,1583
2022-07-01,9200.0,9200.0,8893.0,9170.0,1583
