Date,Open,High,Low,Close,Volume
2022-01-18,4272.0,4323.5,4193.0,4238.5,68080
2022-01-19,4339.0,4400.0,4164.0,4226.0,78496
2022-01-20,4300.0,4406.0,4230.0,4394.5,68890
2022-01-21,4351.0,4372.5,4295.0,4296.5,37499
2022-01-24,4248.5,4295.0,4170.0,4263.0,14441
2022-01-25,4300.0,4499.0,4240.0,4417.5,20521
2022-01-26,4490.5,4628.0,4424.0,4472.5,16578
2022-01-27,4517.0,4587.0,4443.0,4480.5,13910
2022-01-28,4472.5,4472.5,4220.5,4340.0,71797
2022-01-31,4437.5,4437.5,4291.0,4356.0,9769
2022-02-01,4535.0,4535.0,4347.5,4410.5,17867
2022-02-02,4427.0,4440.0,4365.0,4375.0,11064
2022-02-03,4440.0,4440.0,4340.0,4363.0,7742
2022-02-04,4448.5,4448.5,4382.0,4433.0,25309
2022-02-07,4467.5,4467.5,4393.0,4449.5,4939
2022-02-08,4580.0,4580.0,4390.0,4393.5,6089
2022-02-09,4452.0,4452.0,4390.0,4395.5,6418
2022-02-10,4430.5,4441.0,4350.0,4365.5,4653
2022-02-11,4397.5,4432.5,4300.0,4311.0,16913
2022-02-14,4310.0,4338.5,4210.0,4229.0,8338
2022-02-15,4247.5,4315.0,4247.5,4275.5,8004
2022-02-16,4269.5,4269.5,4230.0,4243.0,13459
2022-02-17,4250.0,4252.5,4135.0,4141.5,6162
2022-02-18,4141.0,4156.0,4036.0,4065.0,7848
2022-02-21,4067.0,4100.0,3810.5,3938.0,1357
2022-02-22,3994.5,4080.0,3917.0,3923.5,17856
2022-02-23,3930.0,3998.0,3905.5,3912.0,8698
2022-02-24,3803.5,3845.5,3683.5,3809.0,11398
2022-02-25,3878.0,3947.5,3868.5,3912.0,5728
2022-03-02,3759.0,3856.5,3733.5,3852.0,9766
2022-03-03,3865.0,3902.5,3796.0,3837.5,4140
2022-03-04,3803.0,3803.0,3700.0,3722.5,3758
2022-03-07,3723.0,3727.0,3600.0,3602.5,5804
2022-03-08,3598.0,3650.5,3546.5,3605.0,9664
2022-03-09,3605.0,3670.0,3580.0,3596.0,2609
2022-03-10,3580.0,3580.0,3490.0,3513.5,4066
2022-03-11,3510.0,3575.0,3466.5,3475.0,2695
2022-03-14,3499.0,3556.5,3443.0,3460.0,5883
2022-03-15,3489.0,3550.0,3468.0,3543.5,3034
2022-03-16,3592.5,3731.0,3592.5,3718.5,1916
2022-03-17,3780.0,3813.0,3743.0,3810.0,12809
2022-03-18,3848.5,3848.5,3777.0,3829.5,8126
2022-03-21,3870.5,3872.5,3780.0,3818.0,3053
2022-03-22,3873.0,3961.0,3873.0,3952.0,5309
2022-03-23,3960.0,3963.0,3890.0,3901.0,8397
2022-03-25,3997.0,3997.0,3928.0,3951.5,3053
2022-03-28,3960.0,3962.0,3842.5,3863.5,2785
2022-03-29,3850.0,3889.0,3782.0,3790.0,5296
2022-03-30,3790.5,3835.5,3750.5,3768.0,7224
2022-03-31,3800.0,3800.0,3658.5,3678.0,7536
2022-04-01,3678.0,3678.0,3591.0,3616.5,5680
2022-04-04,3600.0,3645.0,3582.5,3610.0,7118
2022-04-05,3610.0,3658.5,3569.0,3574.0,2730
2022-04-06,3600.0,3611.5,3548.5,3550.0,12061
2022-04-07,3555.0,3597.0,3513.0,3588.0,7698
2022-04-08,3576.0,3634.5,3576.0,3615.0,2443
2022-04-11,3565.0,3651.0,3565.0,3610.5,4134
2022-04-12,3585.0,3646.0,3553.0,3562.0,7369
2022-04-13,3650.0,3650.0,3517.0,3551.0,6102
2022-04-18,3559.0,3559.0,3474.0,3494.0,2086
2022-04-19,3501.0,3650.0,3501.0,3587.0,4179
2022-04-20,3587.0,3715.0,3587.0,3715.0,3417
2022-04-21,3716.0,3805.0,3716.0,3801.0,5750
2022-04-22,3801.5,3833.0,3776.5,3805.0,3348
2022-04-25,3850.0,3850.0,3667.0,3807.0,2719
2022-04-26,3807.0,3816.5,3737.5,3796.0,2300
2022-04-27,3800.0,3837.0,3699.0,3710.5,2572
2022-04-28,3710.5,3732.0,3660.0,3682.5,3365
2022-04-29,3663.0,3663.0,3570.0,3572.0,4549
2022-05-02,3580.0,3648.0,3556.5,3647.5,5914
2022-05-03,3644.0,3673.5,3622.5,3650.0,2645
2022-05-04,3700.0,3705.5,3620.0,3680.0,5066
2022-05-05,3670.0,3670.0,3570.5,3594.0,3544
2022-05-06,3561.0,3644.0,3533.0,3641.5,4516
2022-05-09,3612.5,3626.0,3503.5,3516.5,4090
2022-05-10,3562.5,3566.0,3450.0,3509.0,2805
2022-05-11,3526.0,3569.0,3462.0,3465.0,2064
2022-05-12,3397.0,3466.0,3386.5,3449.5,4102
2022-05-13,3497.0,3577.5,3491.5,3614.5,3235
2022-05-16,3508.0,3585.5,3499.0,3614.5,1563
2022-05-17,3600.0,3625.0,3580.0,3614.5,1948
2022-05-19,3508.5,3526.5,3449.0,3463.0,2560
2022-05-20,3497.5,3497.5,3401.0,3462.0,1333
2022-05-23,3536.0,3611.0,3522.5,3605.0,1655
2022-05-24,3565.0,3633.0,3531.5,3604.0,8675
2022-05-26,3683.0,3745.0,3668.5,3731.0,2637
2022-05-27,3780.0,3810.0,3740.0,3794.0,18606
2022-05-30,3810.0,3989.5,3750.5,3918.5,406
2022-05-31,3778.5,3783.0,3730.0,3734.5,1824
2022-06-01,3733.5,3733.5,3635.0,3705.0,778
2022-06-02,3697.5,3700.0,3653.0,3696.0,3403
2022-06-03,3662.0,3679.0,3629.0,3657.5,1369
2022-06-06,3700.0,3726.5,3670.5,3685.5,1706
2022-06-07,3674.0,3714.5,3655.0,3700.0,3565
2022-06-08,3686.5,3693.5,3616.5,3640.0,2613
2022-06-09,3640.0,3732.5,3609.5,3716.5,4475
2022-06-10,3639.0,3715.0,3594.5,3700.5,5615
2022-06-13,3650.0,3819.5,3632.0,3792.5,58314
2022-06-14,3794.5,3794.5,3740.0,3781.0,9329
2022-06-15,3827.0,3847.0,3740.0,3787.0,23662
2022-06-16,3684.0,3752.5,3675.0,3752.5,1967
2022-06-21,3789.0,3796.0,3744.5,3792.0,8135
2022-06-22,3744.5,3784.5,3708.5,3708.5,1693
2022-06-23,3709.0,3709.0,3617.0,3692.5,5592
2022-06-24,3780.0,3846.0,3759.5,3835.5,8545
2022-06-27,3817.5,3956.0,3783.5,3956.0,6349
2022-06-28,3995.0,4108.5,3930.0,3993.0,8777
2022-06-29,3995.0,4026.0,3944.0,3979.5,3548
2022-06-30,3911.5,4023.0,3911.5,4005.5,4927
2022-07-01,4005.0,4034.0,3947.0,4026.5,1504
2022-07-04,4050.0,4444.0,4050.0,4391.5,3411
2022-07-05,4391.5,4440.5,4122.5,4382.0,5622
2022-07-06,4400.0,4474.5,4290.5,4457.0,11457
2022-07-07,4540.0,4781.0,4423.5,4770.5,8602
2022-07-08,4771.0,4872.0,4689.5,4849.5,5774
2022-07-11,4848.0,4850.0,4670.0,4779.5,8434
2022-07-12,4767.0,4813.0,4617.0,4620.0,3183
2022-07-13,4558.5,4593.0,4500.0,4566.5,4458
2022-07-14,4464.0,4573.5,4460.0,4557.0,8202
2022-07-15,4628.5,4803.0,4628.5,4788.5,8824
2022-07-18,4807.0,4853.0,4785.0,4819.5,2588
2022-07-19,4886.0,5042.5,4879.0,5022.0,3514
2022-07-20,5041.0,5129.5,5000.0,5113.0,6707
2022-07-21,5160.5,5585.5,5112.0,5493.0,6706
2022-07-22,5449.0,5449.0,5262.5,5315.5,5420
2022-07-25,5421.5,5460.0,5260.0,5450.0,27700
2022-07-26,5448.5,5482.0,5355.0,5408.0,11186
2022-07-27,5400.0,5524.0,5398.0,5505.0,3968
2022-07-28,5500.0,5500.0,5057.0,5214.0,10541
2022-07-29,5280.5,5337.0,4812.5,4872.5,4201
2022-08-01,4872.0,4872.0,4556.0,4698.0,2406
2022-08-02,4600.0,4835.5,4544.5,4778.0,16796
2022-08-03,4800.0,4888.0,4756.5,4857.5,4723
2022-08-04,4826.5,4940.0,4741.5,4909.5,14056
2022-08-05,4990.5,4990.5,4793.0,4811.0,2956
2022-08-08,4824.5,4866.5,4705.0,4804.0,5852
2022-08-09,4853.0,4928.0,4809.0,4862.0,14305
2022-08-10,4909.0,5002.5,4909.0,4980.0,22232
2022-08-11,5032.0,5050.0,4986.5,4987.0,50301
2022-08-12,4989.0,5101.0,4975.0,5097.0,9648
2022-08-16,5100.0,5100.0,5021.0,5053.5,14154
2022-08-17,5000.0,5131.0,4990.0,5110.0,8476
2022-08-18,5110.0,5259.5,5087.0,5247.0,10404
2022-08-19,5205.5,5295.5,5190.0,5280.0,3133
2022-08-22,5236.5,5236.5,5089.5,5104.0,4423
2022-08-23,5104.0,5160.0,5050.0,5098.5,4943
2022-08-24,5098.5,5161.0,5053.5,5126.0,2365
2022-08-25,5126.0,5227.0,5126.0,5143.0,3466
2022-08-26,5143.0,5165.5,4950.0,4954.5,3416
2022-08-29,4956.0,4956.0,4833.5,4920.0,8239
2022-08-30,4900.0,4944.5,4876.5,4923.0,7764
2022-08-31,4930.0,4987.0,4882.5,4898.0,3599
2022-09-01,4872.0,4872.0,4797.5,4806.0,5199
2022-09-02,4872.0,4872.0,4797.5,4806.0,0
2022-09-05,5000.0,5000.0,4550.0,4702.0,761
2022-09-06,4703.0,4703.0,4627.5,4676.5,2693
2022-09-07,4657.0,4743.0,4657.0,4724.5,1455
2022-09-08,4764.0,4837.5,4750.0,4836.5,2066
2022-09-09,4850.0,4900.0,4811.0,4829.0,3238
2022-09-12,4863.0,4900.0,4833.0,4860.0,2552
2022-09-13,4802.0,4802.0,4672.5,4686.0,4834
2022-09-14,4674.0,4720.0,4635.0,4712.5,5690
2022-09-15,4752.5,4980.0,4752.5,4940.0,2038
2022-09-16,4888.5,4997.0,4794.5,4981.0,1894
2022-09-19,4985.0,5055.0,4930.0,5053.0,2293
2022-09-20,5030.5,5035.0,4897.5,4959.5,3073
2022-09-21,4959.0,5061.5,4914.0,4941.0,1430
2022-09-22,4902.0,4980.0,4850.0,4958.0,3944
2022-09-23,4946.0,4949.0,4778.0,4837.0,4516
2022-09-26,4869.5,4869.5,4698.0,4753.0,2115
2022-09-27,4753.0,4778.0,4577.5,4663.0,2356
2022-09-28,4678.5,4774.5,4678.5,4770.0,5639
2022-09-29,4730.0,4761.0,4660.0,4702.5,2916
2022-09-30,4700.0,4776.5,4699.5,4733.0,1977
2022-10-03,4735.0,4847.0,4734.0,4817.0,2130
2022-10-04,4851.0,5013.0,4851.0,4998.5,2148
2022-10-05,4982.0,5021.5,4934.5,5013.5,1577
2022-10-06,5000.0,5000.0,4852.0,4868.5,9071
2022-10-11,4740.5,4740.5,4630.0,4636.5,9824
2022-10-12,4630.0,4717.0,4630.0,4661.0,1419
2022-10-13,4633.0,4952.5,4633.0,4940.5,1806
2022-10-14,4960.0,5014.0,4824.0,4856.5,1065
2022-10-17,4926.0,4983.0,4878.0,4903.0,1623
2022-10-18,4945.0,5010.0,4877.5,4918.0,1828
2022-10-19,4902.0,4908.5,4790.0,4822.0,2609
2022-10-20,4822.0,4841.5,4731.0,4732.5,1058
2022-10-21,4857.0,4898.0,4780.0,4898.0,1273
2022-10-24,4898.0,4990.0,4898.0,4951.0,2109
2022-10-25,4953.0,5060.5,4941.0,5045.0,3865
2022-10-26,5100.0,5115.0,5046.5,5064.0,3151
2022-10-27,5094.5,5168.5,5094.5,5122.0,1855
2022-10-28,5145.0,5258.5,5130.5,5240.5,8860
2022-10-31,5235.0,5281.0,5210.0,5234.5,8632
2022-11-01,5245.0,5260.5,5155.0,5167.0,1874
2022-11-02,5160.0,5225.0,5100.0,5100.5,817
2022-11-03,5100.0,5126.0,5041.0,5090.0,2741
2022-11-04,5090.0,5208.0,5090.0,5165.0,1023
2022-11-07,5175.0,5218.0,5142.0,5172.5,1403
2022-11-08,5172.5,5263.0,5157.0,5246.0,1922
2022-11-09,5245.0,5245.0,5168.0,5174.5,1327
2022-11-10,5272.0,5500.0,5272.0,5496.5,12368
2022-11-11,5500.0,5580.0,5480.0,5556.0,3430
2022-11-14,5555.0,5586.0,5470.0,5479.0,1977
2022-11-15,5479.0,5666.5,5479.0,5659.5,1709
2022-11-16,5711.0,5767.0,5668.5,5733.0,1355
2022-11-17,5900.0,5900.0,5692.5,5899.5,1004
2022-11-18,5900.0,5978.5,5805.5,5897.5,2483
2022-11-22,6000.0,6000.0,5854.0,5932.0,2026
2022-11-23,6000.0,6000.0,5852.0,5853.5,2875
