Date,Open,High,Low,Close,Volume
2025-01-14,5710.0,5750.0,5690.0,5720.0,1098
2025-01-15,5830.0,5830.0,5740.0,5730.0,2904
2025-01-16,5800.0,5840.0,5780.0,5830.0,720
2025-01-17,5890.0,5910.0,5820.0,5850.0,5158
2025-01-20,5880.0,6100.0,5880.0,6100.0,68
2025-01-21,5970.0,5980.0,5870.0,5960.0,10478
2025-01-22,6010.0,6010.0,5960.0,5990.0,42243
2025-01-23,5910.0,6030.0,5910.0,6020.0,4812
2025-01-24,6000.0,6000.0,5740.0,5910.0,2941
2025-01-27,5910.0,5910.0,5750.0,5830.0,9928
2025-01-28,5780.0,5880.0,5780.0,5820.0,1114
2025-01-29,5860.0,5860.0,5780.0,5830.0,1422
2025-01-30,5830.0,5880.0,5810.0,5840.0,879
2025-01-31,5930.0,5930.0,5860.0,5860.0,4032
2025-02-03,5860.0,5860.0,5720.0,5820.0,6946
2025-02-04,5800.0,5880.0,5740.0,5890.0,13183
2025-02-05,5900.0,5910.0,5860.0,5910.0,690
2025-02-06,5930.0,5940.0,5850.0,5880.0,2103
2025-02-07,5930.0,5940.0,5870.0,5910.0,3617
2025-02-10,5910.0,5950.0,5880.0,5910.0,888
2025-02-11,6000.0,6000.0,5830.0,5900.0,35370
2025-02-12,5890.0,5890.0,5800.0,5890.0,708
2025-02-13,5890.0,5920.0,5850.0,5900.0,1754
2025-02-14,5940.0,5950.0,5870.0,5900.0,2925
2025-02-17,6230.0,6230.0,5700.0,5800.0,300
2025-02-18,6020.0,6040.0,5960.0,6020.0,49261
2025-02-19,6070.0,6070.0,5970.0,6020.0,79416
2025-02-20,5980.0,6040.0,5950.0,5990.0,4743
2025-02-21,5990.0,5990.0,5830.0,5850.0,4609
2025-02-24,5920.0,5920.0,5820.0,5850.0,954
2025-02-25,5790.0,5870.0,5790.0,5870.0,3357
2025-02-26,5870.0,5920.0,5840.0,5860.0,4153
2025-02-27,5840.0,5930.0,5840.0,5890.0,1932
2025-02-28,5840.0,5960.0,5840.0,5910.0,2909
2025-03-05,5820.0,5930.0,5790.0,5940.0,1239
2025-03-06,5890.0,5910.0,5810.0,5840.0,3623
2025-03-07,5800.0,5890.0,5740.0,5830.0,1151
2025-03-10,5840.0,5890.0,5740.0,5780.0,3470
2025-03-11,5730.0,5750.0,5690.0,5690.0,1106
2025-03-12,5680.0,5760.0,5680.0,5700.0,878
2025-03-13,5650.0,5730.0,5650.0,5690.0,2510
2025-03-14,5730.0,5830.0,5730.0,5800.0,3600
2025-03-17,5840.0,5990.0,5840.0,5980.0,3409
2025-03-18,5980.0,6130.0,5970.0,6130.0,1003
2025-03-19,6100.0,6260.0,6100.0,6170.0,1587
2025-03-20,6160.0,6170.0,6070.0,6130.0,331
2025-03-21,6080.0,6120.0,6040.0,6050.0,237
2025-03-25,6240.0,6240.0,6170.0,6200.0,811
2025-03-26,6230.0,6280.0,6180.0,6200.0,1023
2025-03-27,6100.0,6180.0,6100.0,6130.0,9511
2025-03-28,6140.0,6140.0,6050.0,6090.0,2700
2025-03-31,6080.0,6190.0,6080.0,6180.0,4888
2025-04-01,6160.0,6230.0,6110.0,6180.0,2072
2025-04-03,6110.0,6110.0,5940.0,5900.0,2258
2025-04-04,5770.0,5810.0,5620.0,5610.0,4514
2025-04-07,5610.0,5830.0,5550.0,5680.0,3855
2025-04-08,5870.0,5950.0,5660.0,5670.0,9638
2025-04-09,5760.0,6150.0,5720.0,6100.0,5989
2025-04-10,5950.0,6070.0,5840.0,6050.0,968
