Date,Open,High,Low,Close,Volume
2025-01-13,5930.0,5960.0,5880.0,5880.0,1181
2025-01-14,6030.0,6050.0,5960.0,6020.0,4251
2025-01-15,6070.0,6080.0,5990.0,6030.0,2619
2025-01-16,6040.0,6110.0,6030.0,6050.0,9023
2025-01-17,2994.76,3029.467,2989.802,2999.718,8775
2025-01-19,6550.0,7070.0,6050.0,6780.0,3499
2025-01-20,6150.0,6150.0,6030.0,6090.0,33710
2025-01-21,6260.0,6270.0,6160.0,6260.0,5148
2025-01-22,6240.0,6240.0,6170.0,6230.0,5640
2025-01-23,6170.0,6230.0,5940.0,6090.0,8292
2025-01-24,3059.217,3088.966,2945.178,3024.509,8292
2025-01-26,5950.0,5950.0,5740.0,5780.0,10072
2025-01-27,2950.136,2950.136,2846.014,2855.93,10072
2025-01-28,5970.0,6000.0,5860.0,5950.0,4194
2025-01-29,5950.0,5980.0,5880.0,5970.0,10188
2025-01-30,5970.0,6090.0,5940.0,5960.0,10040
2025-01-31,2960.052,3019.551,2945.178,2955.094,10040
2025-02-02,5960.0,5960.0,5770.0,5920.0,6144
2025-02-03,5950.0,6020.0,5870.0,6010.0,2597
2025-02-04,6010.0,6120.0,5960.0,6120.0,3484
2025-02-05,6170.0,6170.0,6090.0,6100.0,8361
2025-02-06,6110.0,6180.0,6050.0,6090.0,4391
2025-02-07,3029.467,3064.175,2999.718,3014.593,4391
2025-02-09,6100.0,6190.0,6100.0,6110.0,4703
2025-02-10,6020.0,6170.0,6020.0,6150.0,7120
2025-02-11,6100.0,6130.0,6010.0,6130.0,3742
2025-02-12,6090.0,6220.0,6090.0,6220.0,3093
2025-02-13,6200.0,6260.0,6170.0,6220.0,10849
2025-02-14,3074.091,3103.841,3059.217,3093.924,10849
2025-02-16,6220.0,7000.0,6020.0,6390.0,605
2025-02-17,6350.0,6410.0,6320.0,6380.0,12238
2025-02-18,6430.0,6430.0,6330.0,6420.0,3156
2025-02-19,6420.0,6420.0,6300.0,6380.0,6427
2025-02-20,6350.0,6400.0,6200.0,6220.0,3204
2025-02-21,3148.465,3173.256,3074.091,3093.924,3204
2025-02-23,6270.0,6270.0,6100.0,6160.0,5940
2025-02-24,6140.0,6150.0,6000.0,6070.0,2927
2025-02-25,6990.0,6990.0,6050.0,6100.0,2823
2025-02-26,6180.0,6180.0,5970.0,6000.0,1423
2025-02-27,5940.0,5990.0,5840.0,5910.0,4119
2025-02-28,2945.178,2969.969,2895.596,2950.136,4119
2025-03-04,5870.0,5970.0,5780.0,5970.0,3429
2025-03-05,6300.0,6300.0,5770.0,5770.0,2023
2025-03-06,5760.0,5860.0,5650.0,5800.0,4805
2025-03-07,2855.93,2905.512,2801.39,2875.763,4805
2025-03-09,6000.0,6000.0,5530.0,5590.0,3877
2025-03-10,5640.0,5660.0,5510.0,5590.0,3199
2025-03-11,5630.0,5700.0,5590.0,5680.0,3075
2025-03-12,5610.0,5660.0,5560.0,5560.0,6664
2025-03-13,5670.0,5790.0,5650.0,5780.0,7324
2025-03-14,2811.306,2870.805,2801.39,2855.93,7324
2025-03-16,5830.0,5930.0,5780.0,5900.0,4172
2025-03-17,5880.0,6000.0,5860.0,6000.0,888
2025-03-18,6080.0,6140.0,5980.0,6040.0,3409
2025-03-19,6020.0,6020.0,5930.0,5960.0,1621
2025-03-20,5950.0,6010.0,5910.0,6000.0,678
2025-03-21,2955.741,2985.547,2935.871,2970.644,678
2025-03-24,6160.0,6180.0,6120.0,6180.0,3099
2025-03-25,6130.0,6140.0,6010.0,6020.0,4265
2025-03-26,5990.0,6000.0,5930.0,5980.0,1467
2025-03-27,5960.0,5960.0,5840.0,5870.0,3683
2025-03-28,2960.709,2960.709,2901.097,2920.968,3683
2025-03-30,5790.0,5930.0,5790.0,5890.0,3447
2025-03-31,5910.0,5970.0,5860.0,5940.0,2995
2025-04-01,2935.871,2965.677,2911.033,2945.806,2995
2025-04-02,5760.0,5760.0,5600.0,5620.0,4292
2025-04-03,5470.0,5480.0,5280.0,5290.0,6127
2025-04-04,2717.295,2722.263,2622.91,2637.813,6127
2025-04-07,5700.0,5700.0,5290.0,5380.0,13862
2025-04-08,5440.0,6200.0,5410.0,6200.0,7270
2025-04-09,5770.0,5830.0,5570.0,5800.0,4336
2025-04-10,5800.0,5850.0,5590.0,5790.0,2326
2025-04-11,2881.227,2906.065,2776.907,2871.292,2326
2025-04-13,5790.0,5790.0,5270.0,5500.0,2456
2025-04-14,5500.0,5560.0,5390.0,5560.0,3753
2025-04-15,5280.0,5280.0,4880.0,4935.0,4364
2025-04-16,2622.91,2622.91,2424.205,2451.527,4364
2025-04-20,4730.0,4730.0,4450.0,4600.0,3625
2025-04-21,4680.0,4830.0,4650.0,4820.0,7382
2025-04-22,5070.0,5210.0,5010.0,5120.0,4154
2025-04-23,5270.0,5460.0,5260.0,5460.0,4837
2025-04-24,5420.0,5450.0,5340.0,5410.0,3193
2025-04-25,2692.457,2707.36,2652.716,2707.36,3193
2025-04-27,5450.0,5450.0,5270.0,5420.0,1433
2025-04-28,5420.0,5450.0,5370.0,5370.0,2808
2025-04-29,5320.0,5490.0,5290.0,5490.0,2260
2025-04-30,2642.78,2727.23,2627.878,2712.327,2260
2025-05-04,5570.0,5730.0,5570.0,5720.0,3709
2025-05-05,5610.0,5690.0,5580.0,5630.0,2142
2025-05-06,5570.0,5600.0,5390.0,5490.0,3551
2025-05-07,5490.0,5530.0,5420.0,5490.0,2208
2025-05-08,5500.0,5530.0,5370.0,5490.0,923
2025-05-09,2732.198,2747.101,2667.619,2727.23,923
2025-05-11,5610.0,5750.0,5610.0,5750.0,1641
2025-05-12,5750.0,5880.0,5750.0,5880.0,4616
2025-05-13,5900.0,5910.0,5840.0,5900.0,4611
2025-05-14,5890.0,5960.0,5840.0,5940.0,2295
2025-05-15,5960.0,6000.0,5930.0,6000.0,2668
2025-05-16,2960.709,2980.579,2945.806,2980.579,2668
2025-05-18,5930.0,5960.0,5850.0,5920.0,3727
2025-05-19,5930.0,5940.0,5870.0,5910.0,3649
2025-05-20,5930.0,5960.0,5790.0,5830.0,4667
2025-05-21,5830.0,5870.0,5770.0,5770.0,2390
2025-05-22,5710.0,5750.0,5680.0,5750.0,3003
2025-05-23,2836.518,2856.389,2821.615,2846.453,3003
2025-05-25,5800.0,6100.0,5800.0,6100.0,210
2025-05-26,5800.0,5940.0,5800.0,5940.0,2710
2025-05-27,5920.0,5970.0,5900.0,5900.0,2231
2025-05-28,6000.0,6020.0,5950.0,5980.0,1806
2025-05-29,6000.0,6100.0,5980.0,6070.0,2051
2025-05-30,2980.579,3030.256,2970.644,3015.353,2051
2025-06-01,6030.0,6060.0,5970.0,6050.0,1510
2025-06-02,6110.0,6170.0,6060.0,6170.0,2971
2025-06-03,6190.0,6190.0,6110.0,6160.0,1767
2025-06-04,6190.0,6270.0,6100.0,6130.0,4638
2025-06-05,6200.0,6250.0,6180.0,6230.0,3181
2025-06-06,3079.932,3104.77,3069.997,3094.835,3181
2025-06-08,6260.0,6270.0,6220.0,6260.0,2502
2025-06-09,6250.0,6270.0,6200.0,6250.0,3156
2025-06-10,6310.0,6310.0,6190.0,6200.0,6343
2025-06-11,6230.0,6320.0,6230.0,6290.0,1784
2025-06-12,6250.0,6280.0,6180.0,6180.0,5840
2025-06-13,3104.77,3119.673,3069.997,3079.932,5840
2025-06-16,6290.0,6330.0,6170.0,6170.0,1477
2025-06-17,6240.0,6240.0,6080.0,6110.0,1953
2025-06-18,6250.0,6340.0,6000.0,6010.0,320
2025-06-19,3104.77,3149.479,2980.579,2985.547,320
2025-06-22,6120.0,6300.0,6090.0,6300.0,15270
2025-06-23,6420.0,6420.0,6320.0,6400.0,5647
2025-06-24,6410.0,6520.0,6380.0,6480.0,5738
2025-06-25,6520.0,6600.0,6510.0,6550.0,5353
2025-06-26,6600.0,6610.0,6510.0,6570.0,10719
2025-06-27,3291.108,3296.095,3246.229,3276.149,10719
2025-06-29,6570.0,6700.0,6560.0,6700.0,4224
2025-06-30,6690.0,6760.0,6570.0,6720.0,6214
2025-07-01,6790.0,6860.0,6770.0,6830.0,5247
2025-07-02,6900.0,6960.0,6870.0,6950.0,6340
2025-07-03,6920.0,7450.0,6920.0,7100.0,1842
2025-07-04,3450.677,3714.963,3450.677,3555.394,1842
2025-07-06,7000.0,7100.0,6920.0,7100.0,13261
2025-07-07,7150.0,7150.0,6990.0,7050.0,4357
2025-07-08,3565.367,3565.367,3485.583,3515.502,4357
2025-07-09,7080.0,7140.0,7050.0,7120.0,4402
2025-07-10,7130.0,7140.0,7060.0,7090.0,6246
2025-07-11,3555.394,3560.381,3520.488,3535.448,6246
2025-07-13,7010.0,7240.0,7010.0,7230.0,5132
2025-07-14,7280.0,7350.0,7160.0,7200.0,6940
2025-07-15,7020.0,7190.0,7020.0,7190.0,5814
2025-07-16,7220.0,7310.0,7150.0,7260.0,5375
2025-07-17,7260.0,7380.0,7260.0,7330.0,4987
2025-07-18,3620.219,3680.057,3620.219,3655.125,4987
2025-07-20,7410.0,7440.0,7290.0,7290.0,4720
2025-07-21,7210.0,7250.0,7080.0,7080.0,4590
2025-07-22,7130.0,7180.0,7090.0,7170.0,4375
2025-07-23,7190.0,7260.0,7150.0,7260.0,3807
2025-07-24,7270.0,7380.0,7250.0,7320.0,7217
2025-07-25,3625.205,3680.057,3615.232,3660.111,7217
2025-07-27,7360.0,7470.0,7350.0,7470.0,3368
2025-07-28,7500.0,7580.0,7400.0,7450.0,3666
2025-07-29,7480.0,7620.0,7410.0,7600.0,1768
2025-07-30,7650.0,7900.0,7650.0,7780.0,11325
2025-07-31,7690.0,7740.0,7510.0,7660.0,5019
2025-08-01,3834.64,3859.572,3744.882,3809.707,5019
2025-08-03,7660.0,7780.0,7300.0,7710.0,9096
2025-08-04,7760.0,7780.0,7600.0,7640.0,7317
2025-08-05,7650.0,7670.0,7560.0,7660.0,11531
2025-08-06,7770.0,7770.0,7570.0,7630.0,5283
2025-08-07,7620.0,7730.0,7620.0,7720.0,4830
2025-08-08,3799.734,3854.586,3799.734,3849.599,4830
2025-08-10,7720.0,7780.0,7580.0,7580.0,11044
2025-08-11,7650.0,7750.0,7620.0,7740.0,6804
2025-08-12,7790.0,7790.0,7650.0,7740.0,4987
2025-08-13,7710.0,7750.0,7590.0,7610.0,3188
2025-08-14,3844.613,3864.559,3784.774,3794.747,3188
2025-08-17,7600.0,7600.0,7500.0,7510.0,4549
2025-08-18,7530.0,7540.0,7390.0,7420.0,49259
2025-08-19,7390.0,7430.0,7240.0,7430.0,4299
2025-08-20,7360.0,7450.0,7350.0,7420.0,7928
2025-08-21,7480.0,7650.0,7440.0,7630.0,5502
2025-08-22,3729.922,3814.693,3709.976,3804.72,5502
2025-08-24,7650.0,7790.0,7600.0,7790.0,8137
2025-08-25,7800.0,7800.0,7710.0,7750.0,6126
2025-08-26,7750.0,7880.0,7730.0,7820.0,8722
2025-08-27,7850.0,7850.0,7750.0,7820.0,4018
2025-08-28,7770.0,7770.0,7570.0,7700.0,8834
2025-08-29,3874.532,3874.532,3774.801,3854.586,8834
2025-08-31,7700.0,8310.0,7350.0,7750.0,5046
2025-09-01,7750.0,7770.0,7630.0,7760.0,9576
2025-09-02,7760.0,7800.0,7710.0,7800.0,5801
2025-09-03,7730.0,7880.0,7730.0,7880.0,4134
2025-09-04,7930.0,7990.0,7850.0,7950.0,7203
2025-09-05,3954.316,3984.235,3914.424,3949.33,7203
2025-09-07,8435.0,8440.0,8220.0,8270.0,11373
2025-09-08,8315.0,8320.0,8200.0,8315.0,6586
2025-09-09,8465.0,8470.0,8375.0,8435.0,6024
2025-09-10,8475.0,8540.0,8445.0,8540.0,7329
2025-09-11,8575.0,8725.0,8515.0,8725.0,11545
2025-09-12,4275.947,4350.745,4246.028,4325.813,11545
2025-09-14,8725.0,8860.0,8705.0,8860.0,18726
2025-09-15,8860.0,8860.0,8720.0,8730.0,12102
2025-09-16,8775.0,8860.0,8705.0,8850.0,6580
2025-09-17,8955.0,9385.0,8925.0,9330.0,31752
2025-09-18,9385.0,9505.0,9280.0,9480.0,13762
2025-09-19,4679.856,4739.694,4627.497,4734.708,13762
2025-09-21,9000.0,9090.0,8620.0,8855.0,9688
2025-09-22,8585.0,8655.0,8390.0,8640.0,7113
2025-09-23,8390.0,8505.0,8325.0,8430.0,7292
2025-09-24,8300.0,8490.0,8295.0,8440.0,9564
2025-09-25,8465.0,8930.0,8395.0,8880.0,6039
2025-09-26,4226.161,4458.313,4191.213,4450.824,6039
2025-09-28,8990.0,9125.0,8955.0,9125.0,7216
2025-09-29,9125.0,9450.0,9045.0,9425.0,15576
2025-09-30,9435.0,9755.0,9425.0,9685.0,14150
2025-10-01,9775.0,9865.0,9610.0,9685.0,27353
2025-10-02,9735.0,9760.0,9440.0,9460.0,10460
2025-10-03,4860.21,4872.691,4712.931,4720.419,10460
2025-10-05,9600.0,9625.0,9490.0,9490.0,47294
2025-10-06,9540.0,9705.0,9490.0,9690.0,25683
2025-10-07,9790.0,9860.0,9670.0,9805.0,29845
2025-10-08,9955.0,9955.0,9150.0,9160.0,21421
2025-10-09,4970.045,4970.045,4568.148,4590.614,21421
2025-10-12,8670.0,9030.0,8455.0,9030.0,16527
2025-10-13,8805.0,9145.0,8655.0,8980.0,21095
2025-10-14,9125.0,9215.0,8870.0,8965.0,20059
2025-10-15,9025.0,9275.0,9025.0,9210.0,6571
2025-10-16,9220.0,9630.0,9130.0,9610.0,8421
2025-10-17,4603.095,4807.788,4558.163,4795.307,8421
2025-10-19,9675.0,9880.0,9605.0,9835.0,15603
2025-10-20,9835.0,10150.0,9725.0,10150.0,16227
2025-10-21,10130.0,10140.0,9880.0,10030.0,44051
2025-10-22,9995.0,9995.0,9760.0,9795.0,17774
2025-10-23,9780.0,10350.0,9780.0,10350.0,28878
2025-10-24,4882.676,5167.249,4882.676,5007.489,28878
2025-10-26,9270.0,9540.0,8645.0,9500.0,22616
2025-10-27,9595.0,9860.0,9595.0,9805.0,19255
2025-10-28,9860.0,9865.0,9750.0,9850.0,15819
2025-10-29,9815.0,9840.0,9705.0,9775.0,7504
2025-10-30,9780.0,9895.0,9745.0,9820.0,56658
2025-10-31,4882.676,4940.09,4865.202,4925.112,56658
2025-11-02,9790.0,10020.0,9375.0,10000.0,27834
2025-11-03,9990.0,9990.0,9650.0,9715.0,44162
2025-11-04,9715.0,9720.0,9505.0,9710.0,30740
2025-11-05,9800.0,9805.0,9395.0,9530.0,3408
2025-11-06,9460.0,9460.0,9120.0,9180.0,8383
2025-11-07,4722.916,4722.916,4553.17,4595.607,8383
2025-11-09,9485.0,9525.0,9315.0,9525.0,11610
2025-11-10,9520.0,9520.0,9345.0,9420.0,7436
2025-11-11,9505.0,9535.0,9300.0,9385.0,10221
2025-11-12,9385.0,9435.0,9190.0,9190.0,10367
2025-11-13,9090.0,9420.0,8910.0,9355.0,7853
2025-11-14,4538.193,4702.946,4448.328,4670.494,7853
2025-11-16,9325.0,9325.0,9120.0,9120.0,4885
2025-11-17,9495.0,9495.0,8875.0,8950.0,13322
2025-11-18,8860.0,9065.0,8860.0,8960.0,5679
2025-11-19,9095.0,9305.0,8850.0,8890.0,38219
2025-11-20,4540.689,4645.532,4418.372,4438.342,38219
