Date,Open,High,Low,Close,Volume
2025-01-14,5340.0,5340.0,5280.0,5290.0,2311
2025-01-15,5450.0,5480.0,5320.0,5330.0,10860
2025-01-16,5340.0,5420.0,5320.0,5420.0,7038
2025-01-17,5510.0,5510.0,5430.0,5430.0,8313
2025-01-20,5450.0,7000.0,5440.0,6050.0,1675
2025-01-21,5530.0,5530.0,5440.0,5520.0,12936
2025-01-22,5560.0,5560.0,5430.0,5450.0,22643
2025-01-23,5480.0,5480.0,5380.0,5430.0,4157
2025-01-24,5480.0,5480.0,5280.0,5400.0,2668
2025-01-27,5420.0,5490.0,5330.0,5480.0,3961
2025-01-28,5500.0,5500.0,5400.0,5410.0,7555
2025-01-29,5420.0,5470.0,5330.0,5380.0,2666
2025-01-30,5440.0,5490.0,5340.0,5470.0,1382
2025-01-31,5500.0,5520.0,5410.0,5460.0,2765
2025-02-03,5440.0,5490.0,5360.0,5480.0,4593
2025-02-04,5520.0,5520.0,5400.0,5520.0,2612
2025-02-05,5550.0,5630.0,5510.0,5630.0,2761
2025-02-06,5670.0,5670.0,5560.0,5600.0,3110
2025-02-07,5680.0,5680.0,5550.0,5620.0,667
2025-02-10,5620.0,5670.0,5550.0,5580.0,579
2025-02-11,5600.0,5600.0,5510.0,5600.0,4062
2025-02-12,5560.0,5590.0,5470.0,5570.0,4370
2025-02-13,5550.0,5610.0,5550.0,5610.0,2018
2025-02-14,5590.0,5660.0,5590.0,5630.0,4631
2025-02-17,5630.0,6000.0,5600.0,5900.0,3276
2025-02-18,5720.0,5730.0,5640.0,5700.0,4630
2025-02-19,5710.0,5720.0,5640.0,5710.0,3135
2025-02-20,5650.0,5750.0,5650.0,5750.0,902
2025-02-21,5770.0,5770.0,5680.0,5700.0,674
2025-02-24,5760.0,5770.0,5650.0,5750.0,2182
2025-02-25,5690.0,5830.0,5690.0,5810.0,11827
2025-02-26,5840.0,5850.0,5730.0,5780.0,3894
2025-02-27,5790.0,5840.0,5720.0,5810.0,920
2025-02-28,5780.0,5900.0,5780.0,5880.0,1213
2025-03-05,5880.0,5990.0,5800.0,5940.0,12108
2025-03-06,5960.0,5960.0,5800.0,5810.0,5304
2025-03-07,5840.0,5840.0,5700.0,5790.0,3297
2025-03-10,5800.0,5870.0,5690.0,5750.0,4704
2025-03-11,5760.0,5760.0,5640.0,5710.0,2560
2025-03-12,5660.0,5700.0,5630.0,5690.0,398
2025-03-13,5680.0,5680.0,5560.0,5590.0,1306
2025-03-14,5620.0,5740.0,5600.0,5730.0,938
2025-03-17,5760.0,5910.0,5760.0,5900.0,1740
2025-03-18,5950.0,6070.0,5940.0,6070.0,2354
2025-03-19,6080.0,6110.0,5980.0,6040.0,2775
2025-03-20,5970.0,6020.0,5950.0,6010.0,2839
2025-03-21,5940.0,5970.0,5890.0,5890.0,18508
2025-03-25,6010.0,6010.0,5910.0,5930.0,4048
