Date,Open,High,Low,Close,Volume
2019-01-02,52.71,52.76,51.7,52.01,25173900
2019-01-03,52.01,52.44,51.76,52.0,21587500
2019-01-04,51.76,52.8,51.69,52.77,19003500
2019-01-07,52.44,52.67,52.12,52.41,16267700
2019-01-08,52.46,53.12,52.17,53.06,16643500
2019-01-09,53.03,53.25,52.59,52.74,18074700
2019-01-10,52.8,53.53,52.73,53.43,25458100
2019-01-11,53.36,53.47,52.9,53.23,24842500
2019-01-14,52.6,53.24,51.54,52.03,23489800
2019-01-15,51.81,52.96,51.76,52.67,27093100
2019-01-16,52.57,52.88,52.27,52.86,18348200
2019-01-17,52.82,53.2,52.74,53.08,20785900
2019-01-18,53.15,53.32,52.9,53.14,14154700
2019-01-22,53.13,53.53,52.72,53.24,16914400
2019-01-23,53.25,53.81,53.16,53.78,14211100
2019-01-24,53.74,54.11,53.34,54.06,21924100
2019-01-25,53.89,54.14,53.24,53.32,18154100
2019-01-28,53.33,53.53,52.83,53.07,14183800
2019-01-29,53.32,53.47,53.04,53.22,12618500
2019-01-30,53.08,53.86,53.0,53.63,18578900
2019-01-31,53.61,54.92,53.37,54.76,23081600
2019-02-01,54.53,54.76,54.08,54.55,15562400
2019-02-04,54.31,54.67,53.93,54.64,18065700
2019-02-05,54.64,54.85,54.33,54.75,12296100
2019-02-06,54.67,54.94,54.45,54.72,9204200
2019-02-07,54.64,55.44,54.47,55.44,16075400
2019-02-08,55.31,55.71,55.19,55.68,14633700
2019-02-11,55.68,55.95,55.47,55.66,14729100
2019-02-12,55.67,56.07,55.35,55.79,14753300
2019-02-13,55.62,55.77,55.4,55.63,13381800
2019-02-14,55.67,55.83,55.34,55.54,19094000
2019-02-15,55.72,55.92,55.51,55.71,9344500
2019-02-19,55.75,56.1,55.58,56.04,14489300
2019-02-20,56.02,56.39,55.72,56.29,14358400
2019-02-21,56.12,56.79,55.93,56.7,19100000
2019-02-22,56.8,57.06,56.54,57.05,15247500
2019-02-25,57.1,57.14,56.45,56.68,13080100
2019-02-26,56.8,56.88,56.32,56.61,13702700
2019-02-27,56.48,56.86,56.42,56.68,11956300
2019-02-28,56.71,57.15,56.41,57.01,12808100
2019-03-01,57.03,57.17,56.65,57.13,13418000
2019-03-04,57.2,57.35,56.67,57.23,12337600
2019-03-05,57.23,57.37,57.06,57.16,12045500
2019-03-06,57.22,57.37,56.96,57.16,11304300
2019-03-07,57.26,57.71,57.19,57.35,15128500
2019-03-08,57.42,57.6,57.01,57.55,18015900
2019-03-11,57.57,57.98,57.53,57.96,14458800
2019-03-12,58.06,58.42,57.95,58.36,17102100
2019-03-13,58.25,58.56,58.21,58.42,15887600
2019-03-14,58.39,58.74,58.19,58.41,15155400
2019-03-15,58.07,58.38,57.74,58.19,17714900
2019-03-18,58.22,58.3,57.72,57.97,15008800
2019-03-19,57.88,57.97,57.1,57.31,22635800
2019-03-20,57.42,57.92,57.17,57.46,18880500
2019-03-21,57.5,58.19,57.41,58.07,15371800
2019-03-22,58.29,58.9,58.07,58.49,20452500
2019-03-25,58.54,58.72,58.3,58.54,13763000
2019-03-26,58.57,59.0,58.49,58.96,15699700
2019-03-27,59.02,59.07,58.28,58.55,17323500
2019-03-28,58.54,58.74,57.66,57.86,24748800
2019-03-29,57.78,58.24,57.64,58.17,21835100
2019-04-01,58.17,58.17,57.43,57.77,26681900
2019-04-02,57.89,57.96,57.49,57.85,24978100
2019-04-03,57.73,58.0,57.33,57.76,15450500
2019-04-04,57.86,57.91,57.22,57.56,16264600
2019-04-05,57.56,58.13,57.38,58.1,15419300
2019-04-08,57.97,58.05,57.54,57.69,14681700
2019-04-09,57.74,57.89,57.57,57.83,12993900
2019-04-10,57.95,58.34,57.52,57.65,16891200
2019-04-11,57.64,57.96,57.57,57.94,17420000
2019-04-12,57.73,58.27,57.44,58.21,15926600
2019-04-15,58.26,58.46,58.05,58.2,15253100
2019-04-16,58.2,58.33,57.29,57.48,19688700
2019-04-17,57.42,57.57,57.21,57.26,15194800
2019-04-18,57.4,57.69,57.26,57.29,16039400
2019-04-22,57.27,57.46,57.12,57.24,10685500
2019-04-23,57.26,57.58,56.98,57.4,17068200
2019-04-24,57.54,57.97,57.45,57.77,16428400
2019-04-25,57.51,58.24,57.45,58.01,15253300
2019-04-26,58.33,58.68,58.04,58.1,14517400
2019-04-29,58.05,58.07,57.52,57.76,20775900
2019-04-30,57.77,58.75,57.67,58.71,22016700
2019-05-01,58.54,58.7,58.06,58.11,26412700
2019-05-02,58.0,58.31,57.55,57.98,23463800
2019-05-03,57.98,58.4,57.89,58.3,16071300
2019-05-06,58.3,58.46,57.86,57.98,13389500
2019-05-07,57.89,58.03,57.53,57.8,12542200
2019-05-08,57.73,57.79,56.96,57.01,28692400
2019-05-09,57.01,57.26,56.66,56.94,16173800
2019-05-10,56.93,57.99,56.82,57.96,25158000
2019-05-13,57.78,58.71,57.7,58.58,20096300
2019-05-14,58.59,58.64,58.08,58.19,17609400
2019-05-15,58.22,58.44,58.02,58.09,14577500
2019-05-16,58.03,58.66,57.87,58.48,13908300
2019-05-17,58.22,59.01,58.14,58.78,10477100
2019-05-20,58.91,59.23,58.71,58.86,9118700
2019-05-21,58.95,59.45,58.81,58.97,11504400
2019-05-22,59.06,59.47,58.88,59.41,9257900
2019-05-23,59.47,59.93,59.41,59.92,15164500
2019-05-24,59.96,60.27,59.76,59.83,8712400
2019-05-28,59.91,59.96,58.75,58.85,16397900
2019-05-29,58.99,59.05,57.93,58.07,20119100
2019-05-30,58.08,58.4,57.8,57.98,16822600
2019-05-31,58.0,58.41,57.74,58.25,18257000
2019-06-03,58.44,58.91,58.14,58.83,20335400
2019-06-04,58.89,58.96,57.79,58.88,18528900
2019-06-05,59.1,60.34,58.89,60.14,31755300
2019-06-06,60.22,60.62,60.05,60.51,25511200
2019-06-07,60.82,61.19,60.03,60.06,18993100
2019-06-10,59.88,60.0,59.35,59.65,13700300
2019-06-11,59.63,59.79,58.95,59.29,18036100
2019-06-12,59.59,60.15,59.52,60.06,12350200
2019-06-13,60.2,60.36,59.78,60.18,16212000
2019-06-14,60.25,60.92,60.23,60.81,14242700
2019-06-17,60.81,60.99,60.26,60.64,11462100
2019-06-18,60.91,61.01,59.98,60.39,23145300
2019-06-19,60.12,61.11,60.1,60.85,21595900
2019-06-20,61.17,61.38,60.54,61.24,19137800
2019-06-21,60.7,61.1,60.27,60.99,15058200
2019-06-24,61.1,61.19,60.78,61.01,9887200
2019-06-25,61.06,61.06,60.5,60.64,12145400
2019-06-26,60.49,60.62,59.3,59.32,16888500
2019-06-27,59.51,59.68,59.17,59.4,14135500
2019-06-28,59.42,59.96,59.3,59.63,16133200
2019-07-01,59.67,59.73,58.94,59.48,17923400
2019-07-02,59.7,60.39,59.69,60.29,21359500
2019-07-03,60.47,61.08,60.42,60.71,15786600
2019-07-05,60.33,60.77,59.75,60.68,15946400
2019-07-08,60.72,60.96,60.39,60.77,9418200
2019-07-09,60.67,60.87,60.34,60.85,17482700
2019-07-10,60.92,61.32,60.71,60.99,11486000
2019-07-11,60.92,61.24,60.49,61.01,19998000
2019-07-12,60.99,61.06,60.39,60.61,11245300
2019-07-15,60.62,60.94,60.39,60.85,9345300
2019-07-16,60.7,60.91,60.18,60.5,14374600
2019-07-17,60.71,61.08,60.5,60.73,13354700
2019-07-18,60.74,61.27,60.4,61.26,14733200
2019-07-19,61.12,61.29,60.34,60.37,15308300
2019-07-22,60.52,60.58,59.89,60.24,13176500
2019-07-23,60.31,60.35,59.75,59.86,16790600
2019-07-24,60.03,60.18,59.45,59.91,13560700
2019-07-25,59.72,60.15,59.46,59.76,14148300
2019-07-26,59.81,60.21,59.68,59.98,13879000
2019-07-29,60.15,60.38,59.81,60.29,16621700
2019-07-30,60.15,60.43,59.53,59.83,18995600
2019-07-31,59.85,60.14,59.19,59.55,24381000
2019-08-01,59.45,60.5,59.25,60.16,29493100
2019-08-02,60.25,60.65,60.02,60.15,14939300
2019-08-05,60.28,60.44,58.97,59.29,26576800
2019-08-06,59.35,60.26,58.69,60.03,27035900
2019-08-07,60.05,60.54,59.2,60.18,24954700
2019-08-08,60.15,60.96,59.82,60.8,17057500
2019-08-09,60.85,61.14,60.65,60.87,11813500
2019-08-12,60.88,61.04,60.44,60.75,13624800
2019-08-13,60.74,61.01,60.38,60.79,17747200
2019-08-14,60.87,61.18,60.13,60.29,20290500
2019-08-15,60.5,61.28,60.14,61.07,22085800
2019-08-16,61.1,61.57,61.01,61.38,16121500
2019-08-19,61.25,61.98,61.15,61.77,14234000
2019-08-20,61.91,61.92,61.41,61.67,15524400
2019-08-21,61.57,62.08,61.52,62.08,14397900
2019-08-22,62.04,62.22,61.61,62.14,14917100
2019-08-23,62.26,62.46,61.17,61.48,21297900
2019-08-26,61.63,62.21,61.48,62.19,12850700
2019-08-27,62.49,62.74,62.23,62.3,19224400
2019-08-28,62.37,62.59,61.91,62.13,15895800
