Date,Open,High,Low,Close,Volume
2025-01-14,6260.0,6260.0,6150.0,6160.0,671
2025-01-15,6260.0,6310.0,6240.0,6290.0,981
2025-01-16,6300.0,6300.0,6240.0,6270.0,303
2025-01-17,6290.0,6400.0,6290.0,6370.0,1428
2025-01-20,6500.0,6700.0,6370.0,6600.0,304
2025-01-21,6480.0,6480.0,6340.0,6370.0,1562
2025-01-22,6410.0,6410.0,6340.0,6390.0,7694
2025-01-23,6410.0,6410.0,6320.0,6380.0,2378
2025-01-24,6380.0,6380.0,6130.0,6270.0,264
2025-01-27,6230.0,6290.0,6200.0,6290.0,181
2025-01-28,6330.0,6350.0,6310.0,6310.0,193
2025-01-29,6310.0,6380.0,6310.0,6350.0,1460
2025-01-30,6410.0,6440.0,6320.0,6400.0,2339
2025-01-31,6460.0,6500.0,6360.0,6410.0,5171
2025-02-03,6310.0,6380.0,6230.0,6370.0,569
2025-02-04,6390.0,6450.0,6310.0,6450.0,668
2025-02-05,6460.0,6460.0,6410.0,6440.0,217
2025-02-06,6450.0,6450.0,6380.0,6400.0,117
2025-02-07,6420.0,6430.0,6300.0,6290.0,3270
2025-02-10,6290.0,6360.0,6290.0,6300.0,681
2025-02-11,6240.0,6260.0,6200.0,6180.0,365
2025-02-12,6180.0,6250.0,6140.0,6240.0,694
2025-02-13,6300.0,6310.0,6240.0,6320.0,2069
2025-02-14,6360.0,6360.0,6290.0,6340.0,621
2025-02-17,6340.0,0.0,0.0,6200.0,0
2025-02-18,6410.0,6410.0,6320.0,6370.0,665
2025-02-19,6370.0,6390.0,6350.0,6390.0,1175
2025-02-20,6420.0,6420.0,6280.0,6340.0,356
2025-02-21,6320.0,6320.0,6150.0,6150.0,370
2025-02-24,6170.0,6250.0,6150.0,6180.0,340
2025-02-25,6150.0,6170.0,6030.0,6080.0,170
2025-02-26,6140.0,6180.0,6090.0,6070.0,1350
2025-02-27,6090.0,6150.0,6040.0,6030.0,1377
2025-02-28,6100.0,6130.0,6050.0,6110.0,620
2025-03-05,5970.0,6090.0,5910.0,6080.0,762
2025-03-06,6020.0,6040.0,5910.0,5920.0,692
2025-03-07,5860.0,5910.0,5690.0,5850.0,1559
2025-03-10,5750.0,5780.0,5610.0,5650.0,397
2025-03-11,5650.0,5650.0,5560.0,5630.0,369
2025-03-12,5650.0,5670.0,5590.0,5630.0,684
2025-03-13,5570.0,5580.0,5500.0,5510.0,283
2025-03-14,5590.0,5680.0,5580.0,5700.0,1350
2025-03-17,5680.0,5790.0,5650.0,5750.0,3165
2025-03-18,5690.0,5850.0,5690.0,5820.0,603
2025-03-19,5820.0,6000.0,5820.0,5920.0,4186
2025-03-20,5900.0,5930.0,5850.0,5900.0,852
2025-03-21,5900.0,5930.0,5860.0,5890.0,4114
2025-03-25,6170.0,6220.0,6130.0,6200.0,7123
2025-03-26,6190.0,6230.0,6110.0,6150.0,8529
2025-03-27,6150.0,6200.0,6110.0,6110.0,8450
2025-03-28,6070.0,6070.0,5970.0,5970.0,504
2025-03-31,5910.0,6050.0,5910.0,6030.0,2206
2025-04-01,6060.0,6140.0,6030.0,6070.0,3363
2025-04-03,5910.0,5940.0,5850.0,5840.0,1993
2025-04-04,5780.0,5870.0,5650.0,5690.0,9235
2025-04-07,5610.0,5780.0,5560.0,5690.0,2634
2025-04-08,5880.0,5950.0,5550.0,5640.0,2028
2025-04-09,5720.0,6110.0,5650.0,6140.0,973
2025-04-10,5990.0,6010.0,5780.0,6000.0,948
2025-04-11,5930.0,5980.0,5740.0,5930.0,3628
2025-04-14,5490.0,5590.0,5360.0,5570.0,3520
2025-04-15,5600.0,5600.0,5440.0,5490.0,1294
2025-04-16,5420.0,5420.0,4990.0,4990.0,577
2025-04-21,4810.0,4810.0,4600.0,4775.0,856
2025-04-22,4800.0,4990.0,4800.0,4975.0,697
2025-04-23,5180.0,5330.0,5180.0,5200.0,10906
2025-04-24,5330.0,5460.0,5330.0,5450.0,474
2025-04-25,5470.0,5530.0,5430.0,5550.0,651
2025-04-28,5550.0,5550.0,5350.0,5510.0,184
2025-04-29,5450.0,5500.0,5430.0,5770.0,372
2025-04-30,5350.0,5500.0,5350.0,5510.0,5706
2025-05-05,5540.0,5660.0,5510.0,5660.0,2298
2025-05-06,5520.0,5640.0,5520.0,5590.0,619
2025-05-07,5570.0,5570.0,5380.0,5430.0,372
2025-05-08,5370.0,5470.0,5350.0,5400.0,103
2025-05-09,5420.0,5470.0,5350.0,5420.0,819
2025-05-12,5620.0,5730.0,5610.0,5690.0,756
2025-05-13,5730.0,5820.0,5730.0,5810.0,933
2025-05-14,5810.0,5850.0,5780.0,5800.0,4942
2025-05-15,5790.0,5850.0,5740.0,5850.0,1011
2025-05-16,5850.0,5930.0,5850.0,5950.0,81
2025-05-19,5830.0,5890.0,5790.0,5900.0,783
2025-05-20,5900.0,5900.0,5830.0,5880.0,271
2025-05-21,5860.0,5860.0,5740.0,5710.0,257
2025-05-22,5750.0,5770.0,5710.0,5710.0,763
2025-05-23,5680.0,5690.0,5640.0,5690.0,5002
2025-05-26,5680.0,5680.0,5680.0,5830.0,7
2025-05-27,5770.0,5920.0,5770.0,5900.0,3616
2025-05-28,5900.0,5930.0,5870.0,5860.0,165
2025-05-29,5910.0,5980.0,5910.0,5940.0,416
2025-05-30,6020.0,6060.0,5960.0,5970.0,289
2025-06-02,5870.0,5950.0,5870.0,5920.0,379
2025-06-03,5990.0,6030.0,5960.0,6010.0,147
2025-06-04,5920.0,6020.0,5920.0,6010.0,390
2025-06-05,5980.0,6030.0,5790.0,5810.0,219
2025-06-06,5930.0,5940.0,5900.0,5920.0,709
2025-06-09,5890.0,5950.0,5860.0,5970.0,363
2025-06-10,5940.0,6000.0,5940.0,5980.0,983
2025-06-11,6040.0,6050.0,5940.0,5930.0,175
2025-06-12,5940.0,5970.0,5900.0,5890.0,372
2025-06-13,5910.0,5930.0,5850.0,5840.0,115
2025-06-17,5900.0,5930.0,5760.0,5760.0,89
2025-06-18,5760.0,5770.0,5710.0,5700.0,163
2025-06-19,5700.0,5750.0,5700.0,5470.0,18
2025-06-23,5810.0,5960.0,5800.0,5900.0,686
2025-06-24,5950.0,5980.0,5930.0,5940.0,646
2025-06-25,5880.0,5960.0,5860.0,5950.0,295
2025-06-26,6000.0,6030.0,5990.0,6040.0,374
2025-06-27,6100.0,6100.0,6020.0,6110.0,903
2025-06-30,6110.0,6150.0,6040.0,6160.0,586
2025-07-01,6130.0,6290.0,6120.0,6270.0,59052
2025-07-02,6270.0,6370.0,6270.0,6360.0,1005
2025-07-03,6370.0,6410.0,6310.0,6400.0,28541
2025-07-04,6760.0,6760.0,6370.0,6500.0,373
2025-07-07,6360.0,6490.0,6360.0,6470.0,4448
2025-07-08,6490.0,6490.0,6390.0,6410.0,16480
2025-07-10,6470.0,6550.0,6470.0,6520.0,734
2025-07-11,6560.0,6570.0,6490.0,6530.0,1147
2025-07-14,6570.0,6710.0,6530.0,6720.0,1066
2025-07-15,6690.0,6710.0,6510.0,6500.0,2233
2025-07-16,6500.0,6530.0,6400.0,6520.0,559
2025-07-17,6530.0,6600.0,6470.0,6590.0,730
2025-07-18,6600.0,6710.0,6600.0,6670.0,1451
2025-07-21,6720.0,6770.0,6680.0,6700.0,189
2025-07-22,6700.0,6700.0,6580.0,6660.0,132
2025-07-23,6660.0,6690.0,6630.0,6650.0,292
2025-07-24,6600.0,6640.0,6540.0,6630.0,1098
2025-07-25,6670.0,6760.0,6670.0,6720.0,463
2025-07-28,6760.0,6870.0,6730.0,6850.0,1065
2025-07-29,6840.0,6840.0,6770.0,6780.0,629
2025-07-30,6760.0,6880.0,6720.0,6840.0,38038
2025-07-31,6900.0,7110.0,6900.0,6970.0,31238
2025-08-01,6750.0,6920.0,6740.0,6890.0,699
2025-08-04,6890.0,6930.0,6540.0,6880.0,1455
2025-08-05,6890.0,6950.0,6830.0,6880.0,6364
2025-08-06,6870.0,6960.0,6870.0,6960.0,109
2025-08-07,6960.0,7010.0,6860.0,6920.0,219
2025-08-08,6970.0,6970.0,6920.0,6910.0,50
2025-08-11,6980.0,7000.0,6920.0,6930.0,763
2025-08-12,6950.0,7000.0,6910.0,7010.0,520
2025-08-13,7080.0,7080.0,7020.0,7100.0,365
2025-08-14,7050.0,7050.0,6960.0,7020.0,182
2025-08-18,6980.0,6990.0,6940.0,6950.0,110
2025-08-19,7000.0,7010.0,6940.0,6930.0,300
2025-08-20,6860.0,6960.0,6840.0,6920.0,620
2025-08-21,6920.0,6970.0,6880.0,6980.0,118
2025-08-22,7050.0,7240.0,7050.0,7250.0,1461
2025-08-25,7240.0,7400.0,7220.0,7380.0,2009
2025-08-26,7350.0,7380.0,7320.0,7380.0,1544
2025-08-27,7440.0,7480.0,7370.0,7400.0,917
2025-08-28,7400.0,7410.0,7280.0,7350.0,1913
2025-08-29,7320.0,7320.0,7170.0,7310.0,2850
2025-09-01,7310.0,7490.0,6980.0,7400.0,211
2025-09-02,7350.0,7380.0,7280.0,7350.0,3328
2025-09-03,7320.0,7410.0,7310.0,7380.0,749
2025-09-04,7410.0,7560.0,7410.0,7560.0,47587
2025-09-05,7550.0,7690.0,7540.0,7610.0,2354
2025-09-08,8110.0,8110.0,7850.0,7930.0,2454
2025-09-09,7870.0,7890.0,7830.0,7895.0,427
2025-09-10,7880.0,7880.0,7720.0,7780.0,2798
2025-09-11,7905.0,7990.0,7905.0,8000.0,463
2025-09-12,8070.0,8185.0,8065.0,8165.0,9478
2025-09-15,8235.0,8365.0,8235.0,8360.0,4203
2025-09-16,8315.0,8350.0,8285.0,8330.0,2364
2025-09-17,8315.0,8420.0,8295.0,8435.0,1108
2025-09-18,8470.0,8750.0,8450.0,8750.0,4770
2025-09-19,8745.0,8810.0,8670.0,8790.0,5044
2025-09-22,8255.0,8330.0,7980.0,8055.0,3540
2025-09-23,7730.0,7875.0,7625.0,7850.0,1951
2025-09-24,7610.0,7810.0,7605.0,7765.0,1162
2025-09-25,7645.0,7720.0,7620.0,7730.0,4402
2025-09-26,7725.0,8215.0,7690.0,8210.0,3153
