Date,Open,High,Low,Close,Volume
2021-03-08,1638.0,1643.5,1573.0,1573.0,136
2021-03-09,1649.5,1739.0,1630.0,1727.0,7731
2021-03-10,1834.5,1834.5,1710.0,1741.5,5192
2021-03-11,1772.0,1850.0,1750.0,1813.0,12350
2021-03-12,1820.0,1831.0,1745.0,1816.5,12800
2021-03-15,1818.0,1960.0,1818.0,1928.0,3716
2021-03-16,1960.0,1960.0,1810.0,1842.5,4246
2021-03-17,1839.0,1897.0,1771.0,1894.5,2937
2021-03-18,1805.0,1816.0,1695.0,1705.0,4549
2021-03-19,1711.0,1735.5,1675.0,1697.0,3401
2021-03-22,1700.0,1730.0,1688.5,1692.5,3221
2021-03-23,1695.0,1700.0,1658.0,1658.0,2265
2021-03-25,1592.0,1592.0,1490.0,1549.0,4313
2021-03-26,1600.0,1606.0,1500.0,1557.0,5800
2021-03-29,1545.0,1545.0,1465.0,1503.0,10547
2021-03-30,1530.0,1600.0,1506.0,1577.5,960
2021-03-31,1649.0,1714.5,1600.0,1693.0,2482
2021-04-05,1702.5,1715.5,1656.0,1715.0,2530
2021-04-06,1730.0,1799.5,1715.5,1794.0,11473
2021-04-07,1805.0,1892.0,1805.0,1854.5,9905
2021-04-08,1910.0,1960.5,1900.0,1945.5,6949
2021-04-09,1999.0,2023.0,1979.0,1996.5,10875
2021-04-12,1983.0,2028.5,1956.5,2017.5,7609
2021-04-13,2058.0,2092.5,2028.0,2069.0,5824
2021-04-14,2093.0,2093.0,1949.0,1961.0,13905
2021-04-15,2007.0,2028.0,1986.0,1989.5,4752
2021-04-16,2000.0,2000.0,1928.5,1943.0,3675
2021-04-19,1999.0,1999.0,1840.0,1862.0,4255
2021-04-20,1877.5,1980.0,1855.5,1894.0,5636
2021-04-21,1892.5,1930.0,1862.0,1878.0,9613
2021-04-22,1885.0,1965.5,1862.5,1887.0,4968
2021-04-23,1885.0,1909.0,1850.5,1905.0,6778
2021-04-26,1906.5,1993.0,1905.0,1990.5,7068
2021-04-27,1990.0,2003.0,1959.5,1979.5,5421
2021-04-28,1985.0,2030.5,1985.0,2004.5,2513
