Date,Open,High,Low,Close,Volume
2019-01-02,502.15,525.0,495.0,513.6,23892
2019-01-03,515.0,525.0,513.6,518.5,30199
2019-01-04,518.7,549.0,518.7,538.55,67302
2019-01-07,538.0,548.5,536.0,539.0,42956
2019-01-08,540.0,547.0,520.0,536.5,141699
2019-01-09,536.5,555.0,536.0,538.5,86921
2019-01-10,538.0,544.5,533.5,535.2,95589
2019-01-11,534.0,550.0,529.0,549.7,70847
2019-01-14,548.9,548.9,532.0,536.6,41343
2019-01-15,540.85,548.0,532.0,532.35,40586
2019-01-16,535.0,557.0,535.0,554.35,65750
2019-01-17,554.35,564.0,550.15,563.25,73151
2019-01-18,563.0,583.5,563.0,578.25,83584
2019-01-21,575.05,598.0,572.05,596.5,49939
2019-01-22,598.5,598.5,562.05,572.15,142265
2019-01-23,572.0,580.0,561.05,567.45,62894
2019-01-24,568.0,593.0,568.0,591.95,149252
2019-01-25,590.0,592.5,574.5,575.45,57030
2019-01-28,575.0,575.0,562.0,567.7,53546
2019-01-29,567.7,591.45,567.7,589.0,96063
2019-01-30,587.0,601.0,587.0,595.55,63838
2019-01-31,585.0,607.5,585.0,606.3,93339
2019-02-01,606.0,617.0,600.0,614.75,163974
2019-02-04,610.0,622.0,605.75,615.65,87228
2019-02-05,620.0,620.0,609.0,613.1,112079
2019-02-06,613.0,616.0,603.75,604.6,115850
2019-02-07,606.0,606.0,577.0,581.9,108890
2019-02-08,582.0,593.0,576.4,591.45,71615
2019-02-11,592.0,598.0,582.25,584.6,63024
2019-02-12,585.1,608.0,585.1,605.55,74467
2019-02-13,605.55,610.0,592.05,599.55,101363
2019-02-14,597.0,606.0,594.0,605.2,59145
2019-02-15,605.0,606.95,599.0,603.45,52008
2019-02-18,605.05,605.2,593.0,594.1,22375
2019-02-19,594.1,599.0,579.5,580.9,55083
2019-02-20,590.0,603.0,585.0,588.5,169590
2019-02-21,590.0,590.0,578.0,578.4,54682
2019-02-22,578.8,595.0,578.8,592.35,109551
2019-02-25,594.0,597.0,570.05,578.15,66342
2019-02-26,585.0,585.0,563.0,567.2,42256
2019-02-27,561.05,575.0,558.0,561.0,39693
2019-02-28,560.0,563.0,545.0,554.2,51156
2019-03-01,555.0,566.45,545.0,550.15,32854
2019-03-06,526.0,535.0,501.0,502.25,222249
2019-03-07,511.0,543.0,511.0,541.95,99747
2019-03-08,545.0,545.0,524.0,535.9,67197
2019-03-11,540.5,566.0,540.5,560.7,79787
2019-03-12,567.05,572.25,563.0,568.0,57520
2019-03-13,567.5,582.45,567.5,576.1,83421
2019-03-14,578.0,585.0,566.55,571.5,30385
2019-03-15,574.0,580.95,568.0,576.85,111812
2019-03-18,576.0,589.0,576.0,584.9,54881
2019-03-19,585.0,594.0,575.0,577.95,111538
2019-03-20,575.1,597.5,575.1,592.45,183430
2019-03-21,587.0,596.0,584.25,593.5,42417
2019-03-22,592.0,592.0,575.05,577.75,63788
2019-03-25,561.05,581.5,561.05,580.15,139560
2019-03-26,586.0,598.0,578.0,589.35,117786
2019-03-27,580.0,594.0,579.0,591.1,70041
2019-03-28,591.1,598.0,582.25,595.4,37713
2019-03-29,596.1,613.05,596.1,610.0,79339
2019-04-01,610.0,620.0,610.0,616.15,83634
2019-04-03,616.5,626.0,612.0,614.7,77477
2019-04-04,620.0,630.0,620.0,629.65,65338
2019-04-05,632.0,640.0,630.0,638.75,51926
2019-04-08,640.0,656.5,640.0,652.15,110682
2019-04-09,651.0,657.5,633.0,637.05,129801
2019-04-10,636.7,649.95,636.7,641.95,66409
2019-04-11,639.8,639.8,620.15,632.0,56719
2019-04-12,630.0,630.0,617.7,621.15,71292
2019-04-15,615.0,624.15,612.0,623.2,108322
2019-04-16,630.0,640.0,625.05,638.15,112685
2019-04-17,639.95,639.95,621.05,631.9,132737
2019-04-22,625.0,625.0,610.0,615.0,93078
2019-04-23,615.05,634.0,615.05,629.4,50691
2019-04-24,629.35,641.9,618.0,624.65,102088
2019-04-25,621.95,623.95,591.05,612.5,126349
2019-04-26,610.0,626.0,596.0,615.0,60483
2019-04-29,605.0,608.0,585.0,586.35,63661
2019-04-30,605.0,605.0,591.0,600.0,33682
2019-05-02,606.0,612.0,598.0,610.25,51312
2019-05-03,615.0,646.95,615.0,642.8,134715
2019-05-06,642.5,665.0,640.0,659.2,115253
2019-05-07,653.0,672.0,646.6,669.0,71665
2019-05-08,675.0,685.0,670.0,679.0,108967
2019-05-09,676.0,700.0,670.0,682.0,122528
2019-05-10,675.0,678.0,658.5,659.8,149549
2019-05-13,660.0,660.0,635.0,641.65,131677
2019-05-14,645.5,662.65,645.5,657.75,86554
2019-05-15,670.8,687.75,658.0,684.4,51197
2019-05-16,684.0,705.0,684.0,704.35,104182
2019-05-17,704.05,716.0,690.5,697.15,65922
2019-05-20,697.5,708.0,697.0,699.1,58152
2019-05-21,705.0,705.0,680.05,687.65,83695
2019-05-22,686.95,686.95,671.4,685.0,134750
2019-05-23,679.5,683.0,664.9,672.25,42504
2019-05-24,680.0,693.0,673.05,691.45,78417
2019-05-27,690.0,702.0,688.45,699.4,20880
2019-05-28,699.4,716.95,694.1,698.4,80606
2019-05-29,680.0,680.0,662.55,669.8,163983
2019-05-30,671.0,683.9,666.0,669.95,65360
2019-05-31,668.9,672.0,657.05,663.15,56815
2019-06-03,670.1,680.0,658.0,670.25,69352
2019-06-04,678.0,679.85,662.5,674.2,34321
2019-06-05,674.0,680.0,667.0,675.35,52103
2019-06-06,681.1,687.95,670.0,686.25,72639
2019-06-07,689.8,705.0,680.0,700.75,60483
